일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/21","30600","100","0.33","30350","30600","30200","1139981","34645.0","7990021.0","261111808"
"2023/04/20","30500","-150","-0.49","30600","30600","30250","1129982","34374.0","7963910.0","261111808"
"2023/04/19","30650","50","0.16","30600","30950","30550","965694","29671.0","8003077.0","261111808"
"2023/04/18","30600","-300","-0.97","30900","31100","30600","882541","27192.0","7990021.0","261111808"
"2023/04/17","30900","150","0.49","30650","30950","30550","877823","26993.0","8068355.0","261111808"
"2023/04/14","30750","300","0.99","30500","30900","30450","913727","28068.0","8029188.0","261111808"
"2023/04/13","30450","-200","-0.65","30600","30850","30450","1269867","38834.0","7950855.0","261111808"
"2023/04/12","30650","-250","-0.81","30750","30800","30500","1301207","39861.0","8003077.0","261111808"
"2023/04/11","30900","200","0.65","30650","31050","30400","889870","27438.0","8068355.0","261111808"
"2023/04/10","30700","0","0.00","30750","30900","30450","944748","29031.0","8016133.0","261111808"
"2023/04/07","30700","-50","-0.16","30750","30850","30400","727415","22326.0","8016133.0","261111808"
"2023/04/06","30750","100","0.33","30750","30900","30500","1119518","34367.0","8029188.0","261111808"
"2023/04/05","30650","-50","-0.16","30750","31000","30400","1204930","37044.0","8003077.0","261111808"
"2023/04/04","30700","900","3.02","29850","30900","29800","2042323","62195.0","8016133.0","261111808"
"2023/04/03","29800","350","1.19","29600","29800","29450","1041411","30905.0","7781132.0","261111808"
"2023/03/31","29450","450","1.55","29000","29450","28850","2383744","69842.0","7689743.0","261111808"
"2023/03/30","29000","-200","-0.68","29300","29350","28900","3461410","100500.0","7572242.0","261111808"
"2023/03/29","29200","-850","-2.83","30050","30050","29000","3201682","93999.0","7624465.0","261111808"
"2023/03/28","30050","-150","-0.50","30300","30300","29850","767770","23024.0","7846410.0","261111808"
"2023/03/27","30200","250","0.83","30000","30350","29900","861725","25941.0","7885577.0","261111808"
"2023/03/24","29950","-100","-0.33","29750","30050","29600","937227","27977.0","7820299.0","261111808"
"2023/03/23","30050","-400","-1.31","30300","30300","29700","1388679","41589.0","7846410.0","261111808"
"2023/03/22","30450","50","0.16","30550","30550","30300","619912","18886.0","7950855.0","261111808"
"2023/03/21","30400","150","0.50","30450","30550","30200","845960","25741.0","7937799.0","261111808"
"2023/03/20","30250","600","2.02","29800","30450","29800","1012882","30617.0","7898632.0","261111808"
"2023/03/17","29650","-50","-0.17","29850","30000","29250","1006895","29929.0","7741965.0","261111808"
"2023/03/16","29700","-400","-1.33","29900","29900","29500","665384","19716.0","7755021.0","261111808"
"2023/03/15","30100","850","2.91","29450","30100","29450","1000204","29889.0","7859465.0","261111808"
"2023/03/14","29250","-500","-1.68","29650","29700","29150","1258823","36950.0","7637520.0","261111808"
"2023/03/13","29750","-300","-1.00","29650","29900","29500","1152552","34222.0","7768076.0","261111808"
"2023/03/10","30050","-600","-1.96","30300","30550","29850","1159190","34923.0","7846410.0","261111808"
"2023/03/09","30650","450","1.49","30350","30850","30100","1371999","41910.0","8003077.0","261111808"
"2023/03/08","30200","-600","-1.95","30500","30500","30150","970157","29394.0","7885577.0","261111808"
"2023/03/07","30800","300","0.98","30500","30900","30350","1266161","38854.0","8042244.0","261111808"
"2023/03/06","30500","50","0.16","30450","30650","30200","935924","28537.0","7963910.0","261111808"
"2023/03/03","30450","0","0.00","30350","30550","30150","869456","26357.0","7950855.0","261111808"
"2023/03/02","30450","0","0.00","30900","30950","30300","1152602","35262.0","7950855.0","261111808"
"2023/02/28","30450","500","1.67","30000","30600","29800","1577819","47916.0","7950855.0","261111808"
"2023/02/27","29950","-500","-1.64","30450","30550","29850","2058108","61868.0","7820299.0","261111808"
"2023/02/24","30450","-1250","-3.94","31500","31500","30250","4433265","135901.0","7950855.0","261111808"
"2023/02/23","31700","-500","-1.55","32200","32250","31600","1469534","46937.0","8277244.0","261111808"
"2023/02/22","32200","-200","-0.62","32200","32300","31900","1070930","34452.0","8407800.0","261111808"
"2023/02/21","32400","-450","-1.37","32650","32800","32250","983130","31906.0","8460023.0","261111808"
"2023/02/20","32850","500","1.55","32350","32850","32300","938551","30622.0","8577523.0","261111808"
"2023/02/17","32350","100","0.31","32150","32500","31850","1590060","51204.0","8446967.0","261111808"
"2023/02/16","32250","-950","-2.86","33000","33050","31750","2536287","81557.0","8420856.0","261111808"
"2023/02/15","33200","-150","-0.45","33450","33650","33000","1030075","34245.0","8668912.0","261111808"
"2023/02/14","33350","-200","-0.60","33850","33900","33300","1323394","44303.0","8708079.0","261111808"
"2023/02/13","33550","50","0.15","33300","33650","33150","1337943","44670.0","8760301.0","261111808"
"2023/02/10","33500","-450","-1.33","34000","34050","33300","1789509","59876.0","8747246.0","261111808"
"2023/02/09","33950","200","0.59","33950","34950","33750","1571352","53808.0","8864746.0","261111808"
"2023/02/08","33750","-50","-0.15","33800","33900","33500","985290","33180.0","8812524.0","261111808"
"2023/02/07","33800","-500","-1.46","34000","34150","33700","885037","29963.0","8825579.0","261111808"
"2023/02/06","34300","0","0.00","34150","34500","33850","724886","24718.0","8956135.0","261111808"
"2023/02/03","34300","-400","-1.15","34400","34450","32900","2207294","74733.0","8956135.0","261111808"
"2023/02/02","34700","200","0.58","34650","35050","34550","941206","32744.0","9060580.0","261111808"
"2023/02/01","34500","-550","-1.57","34900","35000","34350","976047","33781.0","9008357.0","261111808"
"2023/01/31","35050","-150","-0.43","34900","35400","34850","792921","27825.0","9151969.0","261111808"
"2023/01/30","35200","-300","-0.85","35500","35550","35100","766369","27036.0","9191136.0","261111808"
"2023/01/27","35500","100","0.28","35400","35700","35200","839112","29778.0","9269469.0","261111808"
"2023/01/26","35400","-600","-1.67","35900","36100","35250","1000886","35544.0","9243358.0","261111808"
"2023/01/25","36000","-250","-0.69","36250","36300","35900","478877","17266.0","9400025.0","261111808"
"2023/01/20","36250","200","0.55","36250","36600","35700","552577","19975.0","9465303.0","261111808"
"2023/01/19","36050","1150","3.30","35200","36400","35100","1435165","51670.0","9413081.0","261111808"
"2023/01/18","34900","400","1.16","34900","35800","34800","1339032","47207.0","9112802.0","261111808"
"2023/01/17","34500","-150","-0.43","34600","34900","34400","438246","15165.0","9008357.0","261111808"
"2023/01/16","34650","300","0.87","34550","34800","34400","424506","14720.0","9047524.0","261111808"
"2023/01/13","34350","350","1.03","34200","34650","34150","697105","23996.0","8969191.0","261111808"
"2023/01/12","34000","-300","-0.87","34300","34550","34000","1039564","35559.0","8877801.0","261111808"
"2023/01/11","34300","50","0.15","34400","34450","34100","625323","21455.0","8956135.0","261111808"
"2023/01/10","34250","0","0.00","34200","34450","34050","659669","22594.0","8943079.0","261111808"
"2023/01/09","34250","300","0.88","34250","34400","33950","854348","29184.0","8943079.0","261111808"
"2023/01/06","33950","200","0.59","33550","34200","33550","722679","24548.0","8864746.0","261111808"
"2023/01/05","33750","0","0.00","33550","34000","33250","630898","21243.0","8812524.0","261111808"
"2023/01/04","33750","400","1.20","33500","34050","33400","857358","28966.0","8812524.0","261111808"
"2023/01/03","33350","850","2.62","32650","33500","31900","802959","26309.0","8708079.0","261111808"
"2023/01/02","32500","-1300","-3.85","33800","33950","32500","1069022","35233.0","8486134.0","261111808"
"2022/12/29","33800","-50","-0.15","33800","34100","33300","745365","25226.0","8825579.0","261111808"
"2022/12/28","33850","-2450","-6.75","34700","34700","33800","1861568","63609.0","8838635.0","261111808"
"2022/12/27","36300","300","0.83","36100","36400","36000","1555270","56373.0","9478359.0","261111808"
"2022/12/26","36000","200","0.56","35800","36150","35800","829204","29871.0","9400025.0","261111808"
"2022/12/23","35800","0","0.00","35900","36050","35700","600129","21517.0","9347803.0","261111808"
"2022/12/22","35800","0","0.00","35900","36000","35300","848424","30334.0","9347803.0","261111808"
"2022/12/21","35800","50","0.14","35850","36100","35450","517776","18564.0","9347803.0","261111808"
"2022/12/20","35750","-300","-0.83","36050","36150","35600","806365","28890.0","9334747.0","261111808"
"2022/12/19","36050","-250","-0.69","36350","36500","35950","409404","14813.0","9413081.0","261111808"
"2022/12/16","36300","-350","-0.95","36400","36700","36300","632006","23053.0","9478359.0","261111808"
"2022/12/15","36650","-350","-0.95","37050","37050","36650","613162","22553.0","9569748.0","261111808"
"2022/12/14","37000","-600","-1.60","37700","37700","36900","919480","34142.0","9661137.0","261111808"
"2022/12/13","37600","-350","-0.92","37950","37950","37550","577108","21742.0","9817804.0","261111808"
"2022/12/12","37950","250","0.66","37700","38000","37500","698865","26400.0","9909193.0","261111808"
"2022/12/09","37700","100","0.27","37600","37750","37300","715978","26882.0","9843915.0","261111808"
"2022/12/08","37600","200","0.53","37200","37600","37200","1260567","47260.0","9817804.0","261111808"
"2022/12/07","37400","100","0.27","37600","37650","37300","560199","20990.0","9765582.0","261111808"
"2022/12/06","37300","-250","-0.67","37350","37650","37300","677018","25384.0","9739470.0","261111808"
"2022/12/05","37550","100","0.27","37600","38100","37400","1068050","40322.0","9804748.0","261111808"
"2022/12/02","37450","50","0.13","37300","37750","37050","768267","28729.0","9778637.0","261111808"
"2022/12/01","37400","0","0.00","37450","37500","37050","640292","23855.0","9765582.0","261111808"
"2022/11/30","37400","250","0.67","37000","37600","36350","776390","28821.0","9765582.0","261111808"
"2022/11/29","37150","0","0.00","37200","37350","37000","404190","15035.0","9700304.0","261111808"
"2022/11/28","37150","50","0.13","37050","37200","36900","464790","17238.0","9700304.0","261111808"
"2022/11/25","37100","450","1.23","36800","37200","36650","439679","16279.0","9687248.0","261111808"
"2022/11/24","36650","-500","-1.35","36950","37150","36650","705950","25996.0","9569748.0","261111808"
"2022/11/23","37150","300","0.81","36900","37200","36750","440681","16333.0","9700304.0","261111808"
"2022/11/22","36850","300","0.82","36450","37200","36450","748624","27664.0","9621970.0","261111808"
"2022/11/21","36550","-50","-0.14","36600","36750","35950","710466","25817.0","9543637.0","261111808"
"2022/11/18","36600","300","0.83","36350","36900","36200","759452","27857.0","9556692.0","261111808"
"2022/11/17","36300","0","0.00","36150","36600","36150","601811","21937.0","9478359.0","261111808"
"2022/11/16","36300","-150","-0.41","36400","36650","36250","752081","27402.0","9478359.0","261111808"
"2022/11/15","36450","-250","-0.68","36750","36800","36300","615778","22473.0","9517525.0","261111808"
"2022/11/14","36700","100","0.27","36600","36800","36350","1071798","39244.0","9582803.0","261111808"
"2022/11/11","36600","50","0.14","37050","37150","36300","1380838","50526.0","9556692.0","261111808"
