일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/21","397500","-12000","-2.93","404000","408000","392500","1597382","637114.0","3.3617064E7","84571230"
"2023/04/20","409500","-2500","-0.61","409000","426000","405000","1735312","719320.0","3.4631919E7","84571230"
"2023/04/19","412000","-2500","-0.60","415500","426000","411000","1910849","796060.0","3.4843347E7","84571230"
"2023/04/18","414500","-9000","-2.13","431000","434000","413000","2542208","1071825.0","3.5054775E7","84571230"
"2023/04/17","423500","7500","1.80","419500","436000","416500","2943959","1258117.0","3.5815916E7","84571230"
"2023/04/14","416000","24500","6.26","406000","421000","396000","2744732","1121889.0","3.5181632E7","84571230"
"2023/04/13","391500","-15000","-3.69","394000","398500","376000","2625269","1024721.0","3.3109637E7","84571230"
"2023/04/12","406500","9500","2.39","401500","433000","399000","4199534","1745349.0","3.4378205E7","84571230"
"2023/04/11","397000","-1500","-0.38","402500","411500","391500","2388116","955312.0","3.3574778E7","84571230"
"2023/04/10","398500","29000","7.85","389000","409500","386000","3400129","1356745.0","3.3701635E7","84571230"
"2023/04/07","369500","7000","1.93","365500","372000","361500","1161822","426685.0","3.1249069E7","84571230"
"2023/04/06","362500","-11000","-2.95","368500","369000","361000","1599156","581494.0","3.0657071E7","84571230"
"2023/04/05","373500","6500","1.77","362500","378000","358000","1920793","706143.0","3.1587354E7","84571230"
"2023/04/04","367000","-25000","-6.38","392000","394500","366000","2636739","1001802.0","3.1037641E7","84571230"
"2023/04/03","392000","24000","6.52","385000","401500","381500","2647969","1039999.0","3.3151922E7","84571230"
"2023/03/31","368000","28500","8.39","338000","392000","337000","3767223","1403427.0","3.1122213E7","84571230"
"2023/03/30","339500","-1500","-0.44","341000","344000","335000","700132","237072.0","2.8711933E7","84571230"
"2023/03/29","341000","2000","0.59","344000","344500","336500","711759","241686.0","2.8838789E7","84571230"
"2023/03/28","339000","7000","2.11","334000","344000","332500","822344","277961.0","2.8669647E7","84571230"
"2023/03/27","332000","10000","3.11","327000","336000","325500","788021","261150.0","2.8077648E7","84571230"
