일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/04/21","109900","-1900","-1.70","111600","111600","107900","182105","19928.0","9756165.0","88773116"
"2023/04/20","111800","1800","1.64","110000","113200","108900","302837","33881.0","9924834.0","88773116"
"2023/04/19","110000","4600","4.36","106000","110800","105400","393437","42910.0","9765043.0","88773116"
"2023/04/18","105400","-300","-0.28","104700","105700","103300","126831","13288.0","9356686.0","88773116"
"2023/04/17","105700","1000","0.96","104900","106000","103900","171736","18094.0","9383318.0","88773116"
"2023/04/14","104700","3400","3.36","101400","106000","100700","389199","40524.0","9294545.0","88773116"
"2023/04/13","101300","900","0.90","100500","101500","99200","148576","14959.0","8992717.0","88773116"
"2023/04/12","100400","2000","2.03","98400","101500","98300","215972","21666.0","8912821.0","88773116"
"2023/04/11","98400","-800","-0.81","99300","99300","96900","208791","20477.0","8735275.0","88773116"
"2023/04/10","99200","-700","-0.70","99800","99800","97700","184809","18254.0","8806293.0","88773116"
"2023/04/07","99900","800","0.81","99100","100700","98600","99679","9943.0","8868434.0","88773116"
"2023/04/06","99100","-1900","-1.88","100900","100900","99100","141291","14090.0","8797416.0","88773116"
"2023/04/05","101000","-400","-0.39","101700","102300","100600","143228","14493.0","8966085.0","88773116"
"2023/04/04","101400","1000","1.00","100900","101800","99700","149257","15040.0","9001594.0","88773116"
"2023/04/03","100400","400","0.40","100800","101700","99700","149304","15049.0","8912821.0","88773116"
"2023/03/31","100000","800","0.81","99900","100700","99300","156153","15616.0","8877312.0","88773116"
"2023/03/30","99200","-300","-0.30","99800","100200","98000","176816","17535.0","8806293.0","88773116"
"2023/03/29","99500","-200","-0.20","99800","100400","98500","137578","13649.0","8832925.0","88773116"
"2023/03/28","99700","2600","2.68","97700","101500","97700","279512","27951.0","8850680.0","88773116"
"2023/03/27","97100","-300","-0.31","97000","98000","95200","179355","17260.0","8619870.0","88773116"
"2023/03/24","97400","-1000","-1.02","97600","98200","96700","157974","15353.0","8646501.0","88773116"
"2023/03/23","98400","200","0.20","98100","99200","96700","125592","12349.0","8735275.0","88773116"
"2023/03/22","98200","-2400","-2.39","101200","101700","97900","181799","18015.0","8717520.0","88773116"
"2023/03/21","100600","4300","4.47","97700","100800","97600","289548","28681.0","8930575.0","88773116"
"2023/03/20","96300","600","0.63","96000","98700","95900","153249","14896.0","8548851.0","88773116"
"2023/03/17","95700","900","0.95","95500","97900","94700","261343","25101.0","8495587.0","88773116"
"2023/03/16","94800","-1900","-1.96","94700","95000","93700","160613","15152.0","8415691.0","88773116"
"2023/03/15","96700","2900","3.09","95200","98900","95000","215525","20937.0","8584360.0","88773116"
"2023/03/14","93800","-4600","-4.67","97400","98000","93800","205203","19507.0","8326918.0","88773116"
"2023/03/13","98400","3500","3.69","94300","98500","91500","327103","31091.0","8735275.0","88773116"
"2023/03/10","94900","-1600","-1.66","95200","95800","94200","261082","24763.0","8424569.0","88773116"
"2023/03/09","96500","-900","-0.92","97900","98900","96500","233882","22754.0","8566606.0","88773116"
"2023/03/08","97400","-2800","-2.79","99400","99500","96700","425715","41506.0","8646501.0","88773116"
"2023/03/07","100200","-1900","-1.86","102400","103000","100100","358275","36259.0","8895066.0","88773116"
"2023/03/06","102100","-2100","-2.02","104800","105300","101300","407037","41808.0","9063735.0","88773116"
"2023/03/03","104200","-1700","-1.61","106400","106500","103900","295958","30910.0","9250159.0","88773116"
"2023/03/02","105900","-500","-0.47","106400","108300","105800","200557","21349.0","9401073.0","88773116"
