date,price,price_cr
2022-06-28,1824.82,0.0006635190638349408
2022-06-27,1823.61,-0.0021504317278965516
2022-06-24,1827.54,0.00155642023346299
2022-06-23,1824.7,-0.006517229551307544
2022-06-22,1836.67,0.0028830560394017507
2022-06-21,1831.39,-0.004230169043644673
2022-06-20,1839.17,-0.0005868767830457422
2022-06-17,1840.25,-0.005813042609170124
2022-06-16,1851.01,0.009329843502917224
2022-06-15,1833.9,0.012650539207836643
2022-06-14,1810.99,-0.005486056958341118
2022-06-13,1820.98,-0.027051575915922593
2022-06-10,1871.61,0.013274935168291736
2022-06-09,1847.09,-0.0030925831975043548
2022-06-08,1852.82,-0.0004315879198540988
2022-06-07,1853.62,0.007599312909047308
2022-06-06,1839.64,-0.006190913510885317
2022-06-03,1851.1,-0.010022247892867844
2022-06-02,1869.84,0.012886974892337675
2022-06-01,1846.05,0.005232950708980364
2022-05-31,1836.44,-0.008680068231382078
2022-05-30,1852.52,-0.0005179446230874012
2022-05-27,1853.48,0.000237447653585489
2022-05-26,1853.04,-0.0005663155510250066
2022-05-25,1854.09,-0.007148824058604365
2022-05-24,1867.44,0.007281789054661963
2022-05-23,1853.94,0.004012932365030669
2022-05-20,1846.53,0.0023667739676576536
2022-05-19,1842.17,0.014304670766825067
2022-05-18,1816.19,0.0008651949168421839
2022-05-17,1814.62,-0.006498803716417894
2022-05-16,1826.49,0.008503166601328532
2022-05-13,1811.09,-0.005278189707255521
2022-05-12,1820.7,-0.01803531556408904
2022-05-11,1854.14,0.011174433506939715
2022-05-10,1833.65,-0.011365535684439204
2022-05-09,1854.73,-0.015462932489675391
2022-05-06,1883.86,0.00504694835680741
2022-05-05,1874.4,-0.010390268626457085
2022-05-04,1894.08,0.013706401494270659
2022-05-03,1868.47,0.0027854106736507956
2022-05-02,1863.28,-0.017749545322754988
2022-04-29,1896.95,0.000712175564465149
2022-04-28,1895.6,0.0052340472920300845
2022-04-27,1885.73,-0.010961749264408977
2022-04-26,1906.63,0.0037324826010508576
2022-04-25,1899.54,-0.0167808857326239
2022-04-22,1931.96,-0.009896118937922454
2022-04-21,1951.27,-0.0029024757914101348
2022-04-20,1956.95,0.0036361584934303725
2022-04-19,1949.86,-0.013897458201422122
2022-04-18,1977.34,0.0012862061980959912
2022-04-15,1974.8,0.0007601479754725587
2022-04-14,1973.3,-0.0019977241117714226
2022-04-13,1977.25,0.005701816850114971
2022-04-12,1966.04,0.006692371106570985
2022-04-11,1952.97,0.002772685962507171
2022-04-08,1947.57,0.007495809795766347
2022-04-07,1933.08,0.004766335223581064
2022-04-06,1923.91,0.0016764808480285872
2022-04-05,1920.69,-0.005643019481359845
2022-04-04,1931.59,0.0035276392352452013
2022-04-01,1924.8,-0.006185524427141967
2022-03-31,1936.78,0.0014477916007404185
2022-03-30,1933.98,0.009136589667461526
2022-03-29,1916.47,-0.003991372813969838
2022-03-28,1924.15,-0.01748374940640016
2022-03-25,1958.39,-0.0004950596113015474
2022-03-24,1959.36,0.006756722039245437
2022-03-23,1946.21,0.01389395375975498
2022-03-22,1919.54,-0.008261303105609321
2022-03-21,1935.53,0.007306829595782421
2022-03-18,1921.49,-0.011604639798359068
2022-03-17,1944.05,0.008858420948842196
2022-03-16,1926.98,0.004519603192393342
2022-03-15,1918.31,-0.017440431068040708
2022-03-14,1952.36,-0.017922625365318794
2022-03-11,1987.99,-0.003818381347056735
2022-03-10,1995.61,0.0027787827625019965
2022-03-09,1990.08,-0.02629866476174633
2022-03-08,2043.83,0.022533632847872947
2022-03-07,1998.79,0.014264111880163141
2022-03-04,1970.68,0.018460329929300877
2022-03-03,1934.96,0.0030064898712392723
2022-03-02,1929.16,-0.006831649016952982
2022-03-01,1942.43,0.018894151835124648
2022-02-28,1906.41,0.009120359097597909
2022-02-25,1889.18,-0.009058721707886377
2022-02-24,1906.45,-0.0023078613817861353
2022-02-23,1910.86,0.006632354722984569
2022-02-22,1898.27,-0.005896738988127964
2022-02-21,1909.53,0.006414175485938395
2022-02-18,1897.36,-0.0014367740475451259
2022-02-17,1900.09,0.01617242024761345
2022-02-16,1869.85,0.009049798173851093
2022-02-15,1853.08,-0.009662455375275313
2022-02-14,1871.16,0.006709026249670481
2022-02-11,1858.69,0.01738992402513519
2022-02-10,1826.92,-0.003181012140226396
2022-02-09,1832.75,0.0037021013258561057
2022-02-08,1825.99,0.0021348992920257395
2022-02-07,1822.1,0.007826543875660202
2022-02-04,1807.95,0.0012127857522594666
2022-02-03,1805.76,-0.001183693788373306
2022-02-02,1807.9,0.0039594173603514655
2022-02-01,1800.77,0.0015851650796475422
2022-01-31,1797.92,0.003241988494009951
2022-01-28,1792.11,-0.0028987603765606774
2022-01-27,1797.32,-0.01355096843595812
2022-01-26,1822.01,-0.014959344319017383
2022-01-25,1849.68,0.0033142218630158485
2022-01-24,1843.57,0.004900304156809738
2022-01-21,1834.58,-0.002408904791164846
2022-01-20,1839.01,0.00023387614354559698
2022-01-19,1838.58,0.01336581548009458
2022-01-18,1814.33,-0.0026879651718869075
2022-01-17,1819.22,0.000984907259151639
2022-01-14,1817.43,-0.002048145138263534
2022-01-13,1821.16,-0.0023009159836962674
2022-01-12,1825.36,0.002460348842317885
2022-01-11,1820.88,0.010746480749589307
2022-01-10,1801.52,0.002844562210185815
2022-01-07,1796.41,0.002679154503491375
2022-01-06,1791.61,-0.010313321696091253
2022-01-05,1810.28,-0.0019846957902397823
2022-01-04,1813.88,0.005326253831189416
2022-01-03,1804.27,-0.013548016729996431
2021-12-31,1829.05,
