date,price,open,high,low,volume,change(%)
2022-06-24,3911.74,3821.75,3913.65,3821.75,-,3.06%
2022-06-23,3795.73,3774.71,3802.58,3743.52,-,0.95%
2022-06-22,3759.89,3733.89,3801.79,3717.69,-,-0.13%
2022-06-21,3764.79,3715.31,3779.65,3715.31,-,2.45%
2022-06-17,3674.84,3665.9,3707.71,3636.87,-,0.22%
2022-06-16,3666.77,3728.18,3728.18,3639.77,-,-3.25%
2022-06-15,3789.99,3764.05,3837.56,3722.3,-,1.46%
2022-06-14,3735.48,3763.52,3778.18,3705.68,-,-0.38%
2022-06-13,3749.63,3838.15,3838.15,3734.3,-,-3.88%
2022-06-10,3900.86,3974.39,3974.39,3900.16,-,-2.91%
2022-06-09,4017.82,4101.65,4119.1,4017.17,-,-2.38%
2022-06-08,4115.77,4147.12,4160.14,4107.2,-,-1.08%
2022-06-07,4160.68,4096.47,4164.86,4080.19,-,0.95%
2022-06-06,4121.43,4134.72,4168.78,4109.18,-,0.31%
2022-06-03,4108.54,4137.57,4142.67,4098.67,-,-1.63%
2022-06-02,4176.82,4095.41,4177.51,4074.37,-,1.84%
2022-06-01,4101.23,4149.78,4166.54,4073.85,-,-0.75%
2022-05-31,4132.15,4151.09,4168.34,4104.88,-,-0.63%
2022-05-27,4158.24,4077.43,4158.49,4077.43,-,2.47%
2022-05-26,4057.84,3984.6,4075.14,3984.6,-,1.99%
2022-05-25,3978.73,3929.59,3999.33,3925.03,-,0.95%
