Date,Open,High,Low,Close*,Adj Close**,Volume
2022-06-24,29.07,29.72,26.83,27.23,27.23,-
2022-06-23,29.29,29.77,28.74,29.05,29.05,-
2022-06-22,31.45,31.57,28.78,28.95,28.95,-
2022-06-21,30.63,30.65,29.33,30.19,30.19,-
2022-06-17,32.84,33.31,30.47,31.13,31.13,-
2022-06-16,30.35,34.82,30.35,32.95,32.95,-
2022-06-15,32.39,32.77,27.76,29.62,29.62,-
2022-06-14,33.01,34.00,32.06,32.69,32.69,-
2022-06-13,31.37,35.05,31.29,34.02,34.02,-
2022-06-10,26.26,29.63,26.05,27.75,27.75,-
2022-06-09,24.29,26.24,23.82,26.09,26.09,-
2022-06-08,24.37,24.78,23.74,23.96,23.96,-
2022-06-07,25.54,26.24,23.88,24.02,24.02,-
2022-06-06,25.37,25.81,24.82,25.07,25.07,-
2022-06-03,24.91,25.96,24.76,24.79,24.79,-
2022-06-02,25.73,26.50,24.33,24.72,24.72,-
2022-06-01,26.05,27.73,25.38,25.69,25.69,-
2022-05-31,27.47,28.35,25.94,26.19,26.19,-
2022-05-27,27.50,27.54,25.57,25.72,25.72,-
2022-05-26,28.42,28.46,27.11,27.50,27.50,-
2022-05-25,29.33,30.23,28.16,28.37,28.37,-
2022-05-24,29.43,31.07,29.04,29.45,29.45,-
2022-05-23,28.98,30.39,28.29,28.48,28.48,-
2022-05-20,28.78,32.91,28.06,29.43,29.43,-
2022-05-19,31.24,33.11,29.06,29.35,29.35,-
2022-05-18,26.74,31.49,26.21,30.96,30.96,-
2022-05-17,27.07,27.17,25.51,26.10,26.10,-
2022-05-16,30.01,30.23,27.36,27.47,27.47,-
2022-05-13,31.09,31.20,28.78,28.87,28.87,-
2022-05-12,33.74,34.76,31.70,31.77,31.77,-
2022-05-11,32.87,34.39,30.69,32.56,32.56,-
2022-05-10,33.66,34.84,32.24,32.99,32.99,-
2022-05-09,31.90,35.48,31.90,34.75,34.75,-
2022-05-06,32.23,35.34,29.83,30.19,30.19,-
2022-05-05,25.97,33.20,25.78,31.20,31.20,-
2022-05-04,29.12,29.42,24.94,25.42,25.42,-
2022-05-03,31.76,32.82,29.06,29.25,29.25,-
2022-05-02,33.35,36.64,31.74,32.34,32.34,-
2022-04-29,28.97,34.34,28.54,33.40,33.40,-
2022-04-28,29.91,32.00,28.00,29.99,29.99,-
2022-04-27,31.11,32.77,29.82,31.60,31.60,-
2022-04-26,27.38,33.81,27.06,33.52,33.52,-
2022-04-25,30.04,31.60,26.80,27.02,27.02,-
2022-04-22,22.71,28.27,22.62,28.21,28.21,-
2022-04-21,20.24,23.28,19.81,22.68,22.68,-
2022-04-20,21.13,21.32,19.75,20.32,20.32,-
2022-04-19,22.55,22.92,20.36,21.37,21.37,-
2022-04-18,24.52,24.60,21.98,22.17,22.17,-
2022-04-14,21.72,22.70,20.85,22.70,22.70,-
2022-04-13,23.52,24.45,21.37,21.82,21.82,-
2022-04-12,24.94,25.38,22.27,24.26,24.26,-
2022-04-11,23.09,24.42,22.09,24.37,24.37,-
2022-04-08,21.25,22.34,20.28,21.16,21.16,-
2022-04-07,21.97,23.82,21.12,21.55,21.55,-
2022-04-06,21.27,24.78,21.24,22.10,22.10,-
2022-04-05,18.79,21.57,18.55,21.03,21.03,-
2022-04-04,20.75,20.78,18.45,18.57,18.57,-
2022-04-01,20.62,20.86,19.41,19.63,19.63,-
2022-03-31,19.68,21.48,19.54,20.56,20.56,-
2022-03-30,19.38,20.51,18.72,19.33,19.33,-
2022-03-29,19.70,19.73,18.67,18.90,18.90,-
2022-03-28,22.14,23.33,19.54,19.63,19.63,-
