date,price,open,high,low,volume,change(%)
2022-06-24,103.959,104.155,104.28,103.74,26.03K,-0.22%
2022-06-23,104.192,104.0,104.545,103.84,33.25K,0.20%
2022-06-22,103.981,104.215,104.73,103.615,27.61K,-0.22%
2022-06-21,104.211,104.245,104.315,103.73,15.50K,-0.27%
2022-06-20,104.488,104.5,104.59,104.015,12.23K,0.00%
2022-06-17,104.488,103.685,104.885,103.64,33.36K,1.04%
2022-06-16,103.417,104.6,105.28,103.2,45.61K,-1.45%
2022-06-15,104.935,105.13,105.565,104.425,61.62K,-0.39%
2022-06-14,105.342,105.005,105.475,104.48,33.47K,0.36%
2022-06-13,104.966,104.1,105.15,104.095,53.58K,0.78%
2022-06-10,104.151,103.3,104.235,103.06,18.28K,0.90%
2022-06-09,103.218,102.59,103.365,102.09,32.61K,0.66%
2022-06-08,102.546,102.405,102.78,102.265,34.47K,0.22%
2022-06-07,102.325,102.475,102.85,102.26,26.22K,-0.12%
2022-06-06,102.447,102.23,102.475,101.865,20.90K,0.28%
2022-06-03,102.16,101.78,102.245,101.66,14.93K,0.32%
2022-06-02,101.832,102.6,102.645,101.745,21.91K,-0.68%
2022-06-01,102.529,101.77,102.75,101.77,19.39K,0.75%
2022-05-31,101.766,101.42,102.205,101.42,20.17K,0.46%
2022-05-30,101.305,101.67,101.735,101.3,10.53K,-0.39%
2022-05-27,101.698,101.75,101.955,101.455,16.94K,-0.16%
2022-05-26,101.858,102.1,102.29,101.76,13.82K,-0.21%
2022-05-25,102.077,101.76,102.47,101.75,22.75K,0.20%
