date,price,open,high,low,volume,change(%)
2022-06-24,31487.0,30568.0,31508.0,30538.0,139.23K,2.66%
2022-06-23,30672.0,30478.0,30698.0,30247.0,208.47K,0.66%
2022-06-22,30471.0,30524.0,30770.0,30003.0,210.52K,-0.18%
2022-06-21,30525.0,29930.0,30646.0,29741.0,202.38K,1.23%
2022-06-20,30154.0,30038.0,30216.0,29744.0,59.19K,0.38%
2022-06-19,30039.0,29928.0,30050.0,29919.0,3.53K,0.78%
2022-06-17,29806.19,30021.0,30214.0,29800.0,8.05K,-0.41%
2022-06-16,29928.0,30727.0,30943.0,29741.0,38.76K,-2.39%
2022-06-15,30661.0,30383.0,31008.0,30172.0,48.55K,0.94%
2022-06-14,30375.0,30531.0,30874.0,30137.0,69.32K,-0.50%
2022-06-13,30527.0,31254.0,31293.0,30355.0,112.01K,-2.74%
2022-06-10,31388.0,32319.0,32346.0,31368.0,149.28K,-2.71%
2022-06-09,32263.0,32909.0,33110.0,32252.0,179.16K,-1.90%
2022-06-08,32889.0,33107.0,33169.0,32806.0,146.01K,-0.83%
2022-06-07,33165.0,32903.0,33198.0,32603.0,155.26K,0.77%
2022-06-06,32912.0,32967.0,33229.0,32805.0,140.65K,0.07%
2022-06-03,32888.0,33250.0,33317.0,32824.0,161.88K,-1.01%
2022-06-02,33223.0,32763.0,33263.0,32491.0,162.37K,1.30%
2022-06-01,32798.0,33067.0,33254.0,32563.0,176.39K,-0.52%
2022-05-31,32971.0,33201.0,33434.0,32722.0,219.70K,-0.82%
2022-05-30,33245.0,33213.0,33434.0,33155.0,34.10K,0.10%
2022-05-29,33212.0,33209.0,33253.0,33168.0,2.32K,0.16%
2022-05-27,33158.0,32531.0,33239.0,32485.0,139.30K,1.71%
2022-05-26,32600.0,32074.0,32738.0,31996.0,153.65K,1.63%
2022-05-25,32076.0,31943.0,32215.0,31683.0,180.97K,0.61%
