date,gold,gold_cr
2020-01-01,1518.41,
2020-01-02,1528.95,0.006941471671024271
2020-01-03,1552.24,0.015232676019490476
2020-01-06,1563.83,0.007466628871823892
2020-01-07,1595.24,0.020085303389754693
2020-01-08,1557.89,-0.023413404879516504
2020-01-09,1552.72,-0.0033185911713921215
2020-01-10,1562.05,0.006008810345715858
2020-01-13,1545.44,-0.010633462437181844
2020-01-14,1549.6,0.0026917900403767565
2020-01-15,1556.35,0.004355962829117192
2020-01-16,1552.27,-0.002621518296013061
2020-01-17,1557.3,0.003240415649339337
2020-01-20,1561.31,0.0025749694984909723
2020-01-21,1556.56,-0.003042317028649019
2020-01-22,1561.45,0.003141542889448592
2020-01-23,1561.04,-0.0002625764513753766
2020-01-24,1571.56,0.006739097012248233
2020-01-27,1581.17,0.0061149431138487415
2020-01-28,1568.59,-0.007956133749059338
2020-01-29,1577.2,0.005489006050019525
2020-01-30,1575.21,-0.0012617296474765464
2020-01-31,1589.4,0.009008322699830533
2020-02-03,1578.96,-0.006568516421291087
2020-02-04,1554.04,-0.01578254040634346
2020-02-05,1556.1,0.0013255772052199078
2020-02-06,1565.89,0.0062913694492643096
2020-02-07,1570.41,0.0028865373685252357
2020-02-10,1572.06,0.0010506810323417856
2020-02-11,1567.2,-0.003091485057822157
2020-02-12,1570.28,0.0019652884124552877
2020-02-13,1577.48,0.0045851695239065935
2020-02-14,1583.89,0.0040634429596572265
2020-02-17,1584.23,0.0002146613716861134
2020-02-18,1600.97,0.010566647519615212
2020-02-19,1610.51,0.005958887424498875
2020-02-20,1622.3,0.007320662398867417
2020-02-21,1643.62,0.013141835665413264
2020-02-24,1653.8,0.00619364573319871
2020-02-25,1640.23,-0.00820534526544923
2020-02-26,1643.74,0.0021399437883711375
2020-02-27,1645.57,0.0011133147578083682
2020-02-28,1586.46,-0.03592068401830363
2020-03-02,1592.23,0.0036370283524324483
2020-03-03,1645.88,0.0336948807647137
2020-03-04,1636.48,-0.005711230466376704
2020-03-05,1674.67,0.023336673836527214
2020-03-06,1674.52,-8.956988541031424e-05
2020-03-09,1666.61,-0.004723741728973128
2020-03-10,1652.5,-0.00846628785378697
2020-03-11,1643.42,-0.005494704992435659
2020-03-12,1576.95,-0.040446142799771226
2020-03-13,1529.29,-0.030222898633438015
2020-03-16,1507.2,-0.0144446115517658
2020-03-17,1537.79,0.02029591295116767
2020-03-18,1498.75,-0.02538708146105773
2020-03-19,1471.47,-0.018201834862385302
2020-03-20,1498.39,0.01829463053952855
2020-03-23,1567.03,0.04580916850753133
2020-03-24,1634.4,0.04299215713802551
