,bond_kor_10_cr,bond_kor_10_cr_2,bond_kor_2_cr,bond_kor_2_cr_2,kosdaq_cr,kosdaq_cr_2,kospi_cr,kospi_cr_2,krw_cr,krw_cr_2,dji_cr,dji_cr_2,dji_f_cr,dji_f_cr_2,dxy_cr,dxy_cr_2,ixic_f_cr,ixic_f_cr_2,ixic_cr,ixic_cr_2,spx_f_cr,spx_f_cr_2,sox_cr,sox_cr_2,spx_cr,spx_cr_2,bond_usa_10_cr,bond_usa_10_cr_2,bond_usa_2_cr,bond_usa_2_cr_2,bond_usa_3m_cr,bond_usa_3m_cr_2,vix_cr,vix_cr_2,wti_cr,wti_cr_2,spsy_cr,spsy_cr_2,spny_cr,spny_cr_2,spxhc_cr,spxhc_cr_2,splrcd_cr,splrcd_cr_2,splrci_cr,splrci_cr_2,splrcu_cr,splrcu_cr_2,splrcs_cr,splrcs_cr_2,splrct_cr,splrct_cr_2,splrcl_cr,splrcl_cr_2,splrcm_cr,splrcm_cr_2,ixbk_cr,ixbk_cr_2,ixfn_cr,ixfn_cr_2,ixid_cr,ixid_cr_2,ixis_cr,ixis_cr_2,ixk_cr,ixk_cr_2,ixtr_cr,ixtr_cr_2,ixut_cr,ixut_cr_2,nbi_cr,nbi_cr_2,bkx_cr,bkx_cr_2
2022-01-05,-0.39%,6.3908,0.29%,2.69461,-0.59,-0.22438,0.02,0.38923,+0.38%,0.80222,0.59%,1.26959,0.6,1.23944,0.05,0.30218,-1.27,-0.27572,-1.33%,-0.14222,-0.04,0.54114,-0.45%,1.59218,-0.06%,0.57404,0.75,9.06085,-2.05,3.54223,36.51,62.26415,1.87%,-1.80023,1.2,2.36671,2.60%,3.87977,3.46%,6.66131,-1.38%,-2.34865,-0.67%,2.06796,2.03%,1.19223,-0.32%,-1.26199,0.47%,0.46359,-1.14%,-0.12993,-0.33%,0.22431,1.30%,-0.08426,2.25%,3.84143,-0.68%,-1.33539,-1.45%,1.15965,0.99%,1.02458,-1.32%,-0.56518,1.69%,1.31692,-1.52%,-1.5157,-2.46%,-1.77904,3.39%,6.10346
2022-01-06,2.64%,2.23848,4.55%,4.8538,-2.14,-2.71817,-1.18,-1.16436,+0.06%,0.43588,-1.07%,-0.4864,-1.05,-0.44987,-0.09,-0.04158,-3.13,-4.36141,-3.34%,-4.62729,-1.92,-1.95361,-3.22%,-3.65885,-1.94%,-2.00102,3.09,3.8485,9.17,6.95876,5.81,44.44444,16.68%,18.85542,1.12,2.3265,-1.25%,1.32193,-0.07%,3.38206,-0.71%,-2.08192,-2.64%,-3.29634,-0.96%,1.05454,-0.05%,-0.37192,-0.03%,0.43751,-3.13%,-4.2365,-2.94%,-3.26058,-0.08%,1.22281,-0.54%,1.703,-3.04%,-3.69059,-2.94%,-4.34706,-1.59%,-0.61441,-3.77%,-5.03884,-2.08%,-0.42893,-1.32%,-2.81401,-3.86%,-6.22415,-1.08%,2.26988
2022-01-07,4.46%,7.21694,4.68%,9.44606,-2.9,-4.97838,-1.13,-2.29858,+0.56%,0.62297,-0.47%,-1.53039,-0.46,-1.50511,0.15,0.06233,-0.05,-3.17497,-0.13%,-3.46841,-0.11,-2.02226,0.75%,-2.49339,-0.10%,-2.03378,1.66,4.79078,5.3,15.0,10.99,17.44186,-0.61%,15.96689,2.07,3.20821,1.55%,0.27841,2.29%,2.21557,-1.21%,-1.90929,-0.33%,-2.96277,0.45%,-0.51014,-1.05%,-1.09991,-0.21%,-0.23876,-0.48%,-3.59662,0.35%,-2.59624,-1.24%,-1.31601,3.77%,3.21399,-0.21%,-3.23906,-0.37%,-3.29612,0.62%,-0.97673,-0.14%,-3.905,0.07%,-2.00966,0.67%,-0.65812,-0.04%,-3.89833,3.25%,2.1313
2022-01-10,-0.93%,3.49474,0.96%,5.68879,1.52,-1.43222,1.18,0.03114,-0.61%,-0.04757,-0.01%,-0.48191,-0.04,-0.50701,-0.62,-0.46792,-1.13,-1.17655,-0.96%,-1.08787,-0.42,-0.52744,-2.88%,-2.15342,-0.41%,-0.50121,2.16,3.82353,-0.4,4.81928,-4.95,5.49451,-4.33%,-4.91637,-0.7,1.34875,1.15%,2.71133,1.45%,3.77521,-0.45%,-1.65817,-1.65%,-1.97362,-0.03%,0.42366,0.75%,-0.30645,0.16%,-0.05197,-1.01%,-1.48715,-0.31%,0.03842,-0.09%,-1.32234,0.67%,4.46477,-0.13%,-0.33968,-0.99%,-1.35513,0.37%,0.99132,-0.94%,-1.08362,-0.55%,-0.47445,-1.58%,-0.92374,-0.93%,-0.9712,1.60%,4.9002
2022-01-11,1.10%,1.0989,0.63%,0.63492,-1.49,0.00816,-0.95,0.21195,+0.03%,-0.57347,-0.45%,-0.46251,-0.43,-0.47338,0.28,-0.34261,0.17,-0.95818,0.05%,-0.91527,-0.12,-0.53867,0.24%,-2.65155,-0.14%,-0.54855,-0.59,1.5625,3.25,2.746,3.12,-1.9802,3.41%,-1.07089,-0.85,-1.54795,-0.30%,0.84472,-0.27%,1.17815,1.04%,0.57981,-0.60%,-2.23648,-1.15%,-1.17868,-0.64%,0.1098,-0.73%,-0.57416,0.10%,-0.90865,0.02%,-0.29106,-0.99%,-1.07894,-0.55%,0.11469,-0.96%,-1.08512,-0.47%,-1.4509,0.09%,0.45725,0.36%,-0.58735,-1.76%,-2.29546,-0.18%,-1.75908,1.05%,0.10775,-0.22%,1.37493
2022-01-12,0.04%,1.1396,-0.79%,-0.15873,-1.07,-2.53628,0.02,-0.931,-0.48%,-0.44421,0.51%,0.05619,0.49,0.05816,-0.38,-0.10447,1.43,1.60452,1.41%,1.45656,0.92,0.79803,1.84%,2.08412,+0.92%,0.77079,-0.5,-1.07649,-1.1,2.06897,28.28,32.29167,-5.10%,-1.86567,3.82,2.94043,0.84%,0.53438,3.41%,3.13529,0.76%,1.80797,1.03%,0.43339,0.63%,-0.524,-0.92%,-1.55372,-0.14%,-0.87043,1.21%,1.31455,1.02%,1.04495,1.11%,0.10871,0.35%,-0.20595,1.60%,0.63331,1.70%,1.22426,0.59%,0.67853,1.32%,1.68207,0.45%,-1.31694,1.68%,1.49887,1.15%,2.21451,0.89%,0.66634
2022-01-13,-2.29%,-2.25443,-2.12%,-2.89169,2.21,1.11691,1.54,1.56353,-0.54%,-1.01583,0.11%,0.61396,0.09,0.57855,-0.74,-1.1147,0.36,1.78915,0.23%,1.64333,0.24,1.15824,0.66%,2.51801,+0.28%,1.20035,0.31,-0.17094,3.87,2.78396,-3.94,23.23232,-4.29%,-9.17525,1.75,5.63722,0.04%,0.87719,0.19%,3.60911,-0.26%,0.49817,0.63%,1.67534,0.30%,0.93105,0.35%,-0.56811,0.05%,-0.09729,0.44%,1.6518,0.36%,1.3827,0.95%,2.07524,0.20%,0.55168,-0.29%,1.31209,0.43%,2.14023,-0.52%,0.07191,0.48%,1.80278,-0.06%,0.3882,-0.32%,1.35707,-1.52%,-0.38155,0.50%,1.39759
2022-01-14,-1.28%,-3.54125,-2.11%,-4.18654,-0.82,1.37434,-0.35,1.1857,+0.02%,-0.52,-0.49%,-0.38177,-0.47,-0.38474,-0.13,-0.86802,-2.5,-2.15242,-2.51%,-2.28754,-1.36,-1.12646,-2.29%,-1.6411,-1.42%,-1.14681,-2.92,-2.57732,-3.03,0.78829,0.0,-3.93701,15.27%,10.32048,-0.63,1.1081,-0.41%,-0.36888,-0.60%,-0.41473,-1.63%,-1.88803,-2.08%,-1.45702,0.18%,0.47989,0.45%,0.80899,0.22%,0.2698,-2.65%,-2.22689,-1.40%,-1.04555,-0.81%,0.13884,0.38%,0.58989,-1.60%,-1.88296,-2.52%,-2.09697,-0.13%,-0.64562,-2.90%,-2.43911,0.23%,0.17176,-0.36%,-0.68173,-2.26%,-3.74327,0.19%,0.69606
2022-01-17,2.34%,1.02965,3.98%,1.78668,-1.21,-2.01144,-1.36,-1.70094,+0.33%,0.35417,-0.56%,-1.04301,-0.54,-1.00664,0.4,0.26338,0.68,-1.8348,0.59%,-1.9399,0.06,-1.304,2.33%,-0.01538,+0.08%,-1.34353,5.43,2.34018,8.27,4.98375,5.74,5.7377,-5.51%,8.91033,2.07,1.42788,-1.01%,-1.4125,2.44%,1.82759,-0.17%,-1.79748,-0.45%,-2.5167,-0.57%,-0.38946,-0.65%,-0.20083,0.19%,0.4095,0.89%,-1.78796,0.53%,-0.87134,-0.84%,-1.63455,0.78%,1.17064,-0.49%,-2.08267,0.09%,-2.43274,-0.25%,-0.37784,1.13%,-1.80812,-0.77%,-0.54123,-0.42%,-0.77896,0.92%,-1.35617,-0.31%,-0.12221
2022-01-18,4.22%,4.22078,5.11%,5.10638,-1.39,-2.57818,-1.09,-2.43038,-0.01%,0.32712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,-0.58%,3.61201,-0.30%,4.78723,-1.46,-2.82585,-0.89,-1.97404,+0.23%,0.22016,-1.51%,-2.06336,-1.58,-1.53593,0.5,0.58842,-2.45,-2.4193,-2.60%,-2.02548,-1.84,-1.83604,-4.44%,-2.2194,-1.83%,-1.75316,3.67,4.57334,4.3,7.94634,1.79,10.07752,18.76%,12.21074,2.08,1.90862,-2.30%,-3.27974,0.40%,2.85899,-1.39%,-1.55392,-1.92%,-2.35952,-1.19%,-1.75381,-1.20%,-1.84435,-1.49%,-1.3117,-2.49%,-1.62102,-1.99%,-1.4677,-1.32%,-2.14555,-1.73%,-0.95688,-1.40%,-1.88688,-2.02%,-1.93708,-1.86%,-2.1081,-2.84%,-1.74608,-2.14%,-2.90129,-2.66%,-3.06914,-3.85%,-2.96261,-2.40%,-2.70398
