,bond_kor_10_cr,bond_kor_10_cr_2,bond_kor_2_cr,bond_kor_2_cr_2,kosdaq_cr,kosdaq_cr_2,kospi_cr,kospi_cr_2,krw_cr,krw_cr_2,dji_cr,dji_cr_2,dji_f_cr,dji_f_cr_2,dxy_cr,dxy_cr_2,ixic_f_cr,ixic_f_cr_2,ixic_cr,ixic_cr_2,spx_f_cr,spx_f_cr_2,sox_cr,sox_cr_2,spx_cr,spx_cr_2,bond_usa_10_cr,bond_usa_10_cr_2,bond_usa_2_cr,bond_usa_2_cr_2,bond_usa_3m_cr,bond_usa_3m_cr_2,vix_cr,vix_cr_2,wti_cr,wti_cr_2,spsy_cr,spsy_cr_2,spny_cr,spny_cr_2,spxhc_cr,spxhc_cr_2,splrcd_cr,splrcd_cr_2,splrci_cr,splrci_cr_2,splrcu_cr,splrcu_cr_2,splrcs_cr,splrcs_cr_2,splrct_cr,splrct_cr_2,splrcl_cr,splrcl_cr_2,splrcm_cr,splrcm_cr_2,ixbk_cr,ixbk_cr_2,ixfn_cr,ixfn_cr_2,ixid_cr,ixid_cr_2,ixis_cr,ixis_cr_2,ixk_cr,ixk_cr_2,ixtr_cr,ixtr_cr_2,ixut_cr,ixut_cr_2,nbi_cr,nbi_cr_2,bkx_cr,bkx_cr_2
2022-07-08,0.27%,-2.86305,0.55%,-0.9047,1.79,0.93482,1.84,-0.3207,-0.55%,-0.86558,1.12%,1.34569,1.14,1.3932,0.03,0.55378,2.17,2.7946,2.28%,2.64179,1.47,1.85185,4.48%,5.1763,+1.50%,1.85912,2.27,6.45848,0.96,7.15804,3.34,12.53611,-2.43%,-5.30138,4.26,3.24623,1.46%,1.20568,3.51%,1.70722,0.46%,1.12599,2.48%,2.23844,1.19%,1.80315,-0.10%,0.91283,0.08%,0.29082,2.06%,2.96657,1.98%,2.41315,0.92%,1.54509,1.06%,0.29914,1.42%,0.45996,2.25%,2.06973,0.44%,0.26574,2.57%,3.46896,1.81%,2.01534,0.38%,0.31389,2.41%,2.65897,1.91%,1.00586
2022-07-11,2.25%,2.52895,0.97%,1.52999,1.12,2.93434,0.7,2.55671,-0.23%,-0.77484,-0.15%,0.96808,-0.18,0.95766,-0.11,-0.08403,0.11,2.28741,0.12%,2.40683,-0.1,1.37725,0.47%,4.9681,-0.08%,1.41219,2.67,4.97614,2.66,3.63818,0.77,4.13793,-5.52%,-7.81893,2.01,6.35339,-0.20%,1.25996,-0.01%,3.49599,0.27%,0.7321,-0.02%,2.46766,-0.46%,0.72068,-0.33%,-0.42098,-0.19%,-0.11213,0.07%,2.13697,-0.21%,1.76602,-1.00%,-0.08483,-0.28%,0.77322,-0.46%,0.95494,0.10%,2.35219,-0.48%,-0.03747,0.16%,2.74182,-0.44%,1.35906,0.02%,0.39839,0.50%,2.92456,-0.42%,1.48783
2022-07-12,0.74%,0.59435,-0.30%,-0.30139,0.07,1.19662,-0.44,0.25704,+1.25%,1.01648,-0.52%,-0.67138,-0.54,-0.72369,0.95,0.83077,-2.2,-2.09458,-2.26%,-2.14046,-1.14,-1.2356,-2.46%,-2.00315,-1.15%,-1.23481,-2.84,-0.23333,-1.13,1.52116,4.99,5.80082,6.21%,0.34509,-0.67,1.32386,-0.83%,-1.02674,-0.89%,-0.90028,-0.23%,0.0342,-2.76%,-2.77856,-0.67%,-1.12592,0.64%,0.31182,-0.14%,-0.33216,-1.42%,-1.35123,-2.80%,-3.0063,-0.27%,-1.26296,-0.99%,-1.26517,-1.26%,-1.71437,-2.80%,-2.69756,-0.76%,-1.22888,-2.18%,-2.01451,-1.41%,-1.84333,-1.50%,-1.48824,-1.93%,-1.444,-0.86%,-1.27623
2022-07-13,-0.89%,-0.14881,-1.48%,-1.77818,-2.12,-2.04832,-0.96,-1.39751,-0.43%,0.81333,-0.62%,-1.13861,-0.56,-1.09869,0.05,0.99056,-0.89,-3.06945,-0.95%,-3.18495,-0.86,-1.98654,0.18%,-2.28608,-0.92%,-2.06648,-0.74,-3.53896,-0.6,-1.73913,6.99,12.32807,4.28%,10.75488,-7.93,-8.54089,-0.65%,-1.47478,-2.03%,-2.90088,-1.33%,-1.55589,-0.73%,-3.47181,-0.32%,-0.98856,-0.51%,0.12401,-0.31%,-0.45429,-1.34%,-2.74008,-0.48%,-3.26717,-0.21%,-0.47892,0.04%,-0.94748,-0.63%,-1.88323,-0.82%,-3.5946,-0.83%,-1.58456,-1.32%,-3.46474,0.19%,-1.21571,0.54%,-0.96913,-0.17%,-2.09754,-0.24%,-1.09708
2022-07-14,-1.55%,-2.42245,-2.52%,-3.9601,1.65,-0.50323,0.47,-0.49823,-0.04%,-0.46384,-0.67%,-1.2865,-0.67,-1.22672,-0.11,-0.05555,-0.14,-1.02657,-0.15%,-1.0993,-0.5,-1.35477,0.75%,0.9269,-0.45%,-1.36596,-1.18,-1.93785,3.19,2.54072,7.76,15.28384,-1.72%,2.48376,0.48,-7.48391,-0.93%,-1.57216,-0.14%,-2.16576,-0.94%,-2.25245,0.86%,0.12442,-1.20%,-1.51921,-0.44%,-0.94936,0.01%,-0.30154,-0.22%,-1.553,-1.07%,-1.54974,-0.55%,-0.75961,-1.54%,-1.49619,-0.37%,-0.99436,0.53%,-0.29832,-1.07%,-1.89658,-0.47%,-1.77876,-1.43%,-1.24399,0.06%,0.59912,0.03%,-0.14166,-1.46%,-1.69425
2022-07-15,0.06%,-1.49031,1.20%,-1.35011,0.38,2.03788,-0.27,0.19674,+0.90%,0.8581,-0.46%,-1.13346,-0.5,-1.16902,0.54,0.4349,0.3,0.15706,0.03%,-0.1202,-0.3,-0.79765,1.92%,2.68747,-0.30%,-0.74421,0.75,-0.43756,-0.65,2.52376,0.97,8.79819,-1.57%,-3.26127,-0.54,-0.0626,-1.92%,-2.82633,-1.90%,-2.03359,-0.37%,-1.30262,-0.06%,0.79526,-0.58%,-1.77678,0.01%,-0.42506,0.16%,0.17379,0.93%,0.70498,-1.05%,-2.1149,-1.89%,-2.42804,-1.65%,-3.16634,-1.19%,-1.55561,-0.14%,0.38101,-2.80%,-3.84175,0.57%,0.0954,-0.09%,-1.51842,-0.39%,-0.3339,-1.67%,-1.64139,-2.01%,-3.44557
2022-07-18,-1.45%,-1.39267,-1.74%,-0.56657,-0.48,-0.10351,0.37,0.10178,+0.10%,0.99714,2.15%,1.67509,2.1,1.58983,-0.44,0.09263,1.78,2.08506,1.79%,1.82119,1.89,1.59022,2.54%,4.51663,+1.92%,1.61451,-1.0,-0.2385,0.08,-0.54003,-2.67,-1.72559,-8.22%,-9.65697,1.89,1.33956,3.51%,1.52431,1.90%,-0.03623,2.45%,2.06894,1.71%,1.64041,1.58%,0.99131,0.20%,0.2177,0.40%,0.56112,1.76%,2.70068,2.17%,1.0902,1.62%,-0.29913,3.27%,1.55677,1.87%,0.64979,1.73%,1.58345,1.42%,-1.42229,1.70%,2.27745,2.04%,1.95103,2.12%,1.72251,1.81%,0.11784,5.76%,3.63618
2022-07-19,1.30%,0.21492,1.11%,1.10795,1.88,1.38889,1.9,2.27919,+0.04%,0.14357,-0.69%,1.44446,-0.64,1.44752,-0.64,-1.07794,-0.84,0.92816,-0.81%,0.96754,-0.81,1.06769,-0.53%,2.00425,-0.84%,1.0677,2.09,1.04801,1.27,1.34271,1.5,-1.20884,4.42%,-4.16667,5.13,7.12048,-0.53%,2.96138,1.96%,3.89893,-2.15%,0.24438,0.22%,1.92772,-0.60%,0.97499,-1.40%,-1.19862,-0.99%,-0.5933,-1.03%,0.71322,-1.09%,1.04805,0.22%,1.84728,0.40%,3.68256,-0.27%,1.58754,0.05%,1.78448,-1.30%,0.10126,-1.15%,0.52919,0.63%,2.67779,-0.99%,1.11074,-2.33%,-0.56269,0.11%,5.87637
2022-07-20,0.12%,1.42768,-0.81%,0.2849,0.72,2.61546,-0.18,1.71559,-1.00%,-0.9577,2.43%,1.72202,2.4,1.74097,-0.64,-1.27707,3.08,2.21945,3.11%,2.27664,2.71,1.87581,4.61%,4.0601,+2.76%,1.90336,1.31,3.4153,2.25,3.54519,5.7,7.28051,-3.16%,1.11432,1.58,6.79373,3.07%,2.52633,3.16%,5.18626,1.80%,-0.38418,3.09%,3.31144,3.58%,2.96243,0.68%,-0.73069,1.08%,0.08706,3.08%,2.01637,3.63%,2.49882,3.11%,3.33561,2.49%,2.90452,2.83%,2.55448,2.83%,2.88379,2.43%,1.10302,3.37%,2.17913,3.96%,4.61099,2.40%,1.38798,2.83%,0.43016,2.83%,2.94146
2022-07-21,2.91%,3.03309,3.06%,2.22292,1.07,1.80245,0.67,0.48837,+0.61%,-0.39445,0.15%,2.58179,0.2,2.59606,0.37,-0.27009,1.56,4.68842,1.58%,4.73238,0.63,3.35833,2.49%,7.2172,+0.59%,3.3687,0.06,1.3717,-0.19,2.08202,-0.52,5.14768,-2.53%,-5.61265,-1.88,-0.33138,0.32%,3.40088,1.02%,4.20907,-1.06%,0.72598,1.76%,4.90588,0.74%,4.34717,-1.36%,-0.69242,-0.73%,0.34638,1.56%,4.68117,1.01%,4.6806,0.12%,3.22475,0.93%,3.44063,0.80%,3.65345,1.75%,4.62746,0.47%,2.9124,1.82%,5.25434,1.02%,5.023,0.68%,3.0968,0.03%,2.85962,0.05%,2.88074
2022-07-22,0.33%,3.24357,0.18%,3.25126,0.56,1.63869,0.93,1.61073,-0.53%,0.07969,0.51%,0.65934,0.48,0.67944,-0.16,0.2156,1.4,2.98191,1.36%,2.95787,0.98,1.61905,1.53%,4.0551,+0.99%,1.58153,-4.89,-4.82166,-4.33,-4.53424,-1.36,-1.87625,-3.22%,-5.67347,-5.78,-7.55133,0.64%,0.96276,-1.69%,-0.69452,1.51%,0.43064,2.25%,4.05152,0.68%,1.42538,0.29%,-1.07426,0.36%,-0.36771,1.41%,2.98678,-0.21%,0.80066,1.40%,1.52003,0.02%,0.94963,0.89%,1.68936,2.05%,3.83849,0.56%,1.03315,1.23%,3.07817,0.43%,1.45916,0.14%,0.81889,0.18%,0.20397,0.63%,0.67233
2022-07-25,-2.10%,-1.78412,-2.14%,-1.96018,-0.68,-0.12267,-0.66,0.26353,+0.29%,-0.23532,-0.43%,0.0767,-0.41,0.06907,-0.17,-0.32686,-1.71,-0.33493,-1.87%,-0.53406,-0.91,0.06309,-2.55%,-1.06336,-0.93%,0.04369,-4.44,-9.10891,-3.99,-8.15822,-0.41,-1.76565,-0.35%,-3.55946,-1.71,-7.39292,-0.59%,0.04596,-0.88%,-2.55987,-0.39%,1.11455,-0.66%,1.57528,-0.31%,0.37408,1.37%,1.66245,0.69%,1.05282,-1.38%,0.00708,-4.34%,-4.53737,-0.73%,0.66318,-1.83%,-1.8038,-0.87%,0.01102,-0.94%,1.09313,-0.75%,-0.18902,-2.55%,-1.34856,-0.98%,-0.54675,-0.44%,-0.30161,-2.26%,-2.0839,-1.52%,-0.90536
2022-07-26,-2.67%,-2.7248,-1.28%,-1.28085,-0.01,-0.68666,0.44,-0.22705,+0.08%,0.37974,0.28%,-0.14627,0.29,-0.12497,-0.23,-0.40221,-0.56,-2.2587,-0.43%,-2.29643,0.13,-0.78101,-0.61%,-3.14659,+0.13%,-0.80296,1.92,-2.60236,1.55,-2.48788,1.55,1.13914,1.43%,1.08178,2.11,0.36326,0.65%,0.06029,3.71%,2.79934,0.55%,0.16204,-0.85%,-1.49974,0.47%,0.16165,1.26%,2.643,0.46%,1.14688,-0.61%,-1.98452,-0.28%,-4.60794,0.43%,-0.30282,2.01%,0.14736,-0.15%,-1.01994,-0.34%,-1.27217,0.75%,-0.00406,-0.77%,-3.3034,0.37%,-0.61357,-0.09%,-0.52585,0.33%,-1.93189,1.31%,-0.23189
2022-07-27,-0.90%,-3.54438,-0.44%,-1.71821,0.03,0.02279,0.39,0.8282,-0.08%,0.00687,-0.71%,-0.43183,-0.74,-0.44863,0.66,0.43099,-1.96,-2.50332,-1.87%,-2.29455,-1.18,-1.05296,-1.63%,-2.23226,-1.15%,-1.02433,-0.13,1.77923,1.35,2.92732,1.77,3.34967,5.69%,7.20799,-1.78,0.29567,-1.39%,-0.7424,-0.88%,2.80399,0.55%,1.10227,-3.31%,-4.12543,-0.53%,-0.06146,0.61%,1.87331,-0.47%,-0.0184,-1.58%,-2.18682,-2.05%,-2.32596,-0.66%,-0.2309,-0.93%,1.05761,-1.40%,-1.55337,-2.40%,-2.72982,-0.36%,0.38344,-2.10%,-2.85898,-0.90%,-0.53959,-0.47%,-0.55546,0.06%,0.38954,-2.18%,-0.89479
2022-07-28,-1.63%,-2.52101,-0.95%,-1.39241,0.73,0.76106,0.11,0.49258,-0.31%,-0.3844,1.37%,0.6488,1.39,0.64129,-0.69,-0.02817,4.18,2.14092,4.06%,2.11964,2.58,1.3728,4.75%,3.04315,+2.62%,1.43111,-0.65,-0.78375,-2.46,-1.12657,-3.12,-1.40788,-5.87%,-0.5137,2.4,0.57911,1.54%,0.13146,2.20%,1.30737,0.65%,1.2008,3.85%,0.41782,1.58%,1.04255,0.11%,0.7165,0.78%,0.30342,4.29%,2.64246,5.11%,2.95703,1.25%,0.58639,1.81%,0.85689,1.62%,0.19451,3.79%,1.30007,0.97%,0.6057,5.17%,2.95408,2.03%,1.11052,2.40%,1.91601,1.03%,1.09285,1.98%,-0.24172
2022-07-29,2.08%,0.40829,1.03%,0.06357,0.33,1.06212,0.82,0.92459,-0.81%,-1.11671,1.03%,2.41831,0.99,2.38876,-0.09,-0.78366,0.94,5.15996,1.08%,5.18933,1.22,3.82973,1.15%,5.95691,+1.21%,3.8607,-4.11,-4.70924,-3.87,-6.24387,-2.65,-5.6917,-3.92%,-9.55853,-0.86,1.51611,0.70%,2.24941,0.45%,2.66298,0.55%,1.1975,1.67%,5.58204,2.07%,3.68335,3.53%,3.64157,1.59%,2.37973,1.43%,5.78856,-0.74%,4.33764,1.69%,2.95985,0.22%,2.02847,2.27%,3.92201,1.80%,5.66609,-2.59%,-1.64797,1.03%,6.25072,2.94%,5.03448,-2.68%,-0.3466,-0.58%,0.44968,-0.30%,1.67269
2022-08-01,-2.19%,-0.15964,-3.88%,-2.88832,0.66,0.99535,0.67,1.48911,+0.58%,-0.23812,0.97%,2.01114,1.03,2.02972,-0.42,-0.51667,1.84,2.79341,1.88%,2.97754,1.47,2.70841,0.77%,1.92854,+1.42%,2.65135,-0.48,-4.56014,0.77,-3.11662,-0.54,-3.18237,-4.48%,-8.21859,2.28,1.39831,1.40%,2.11136,4.51%,4.98316,-0.35%,0.19299,4.27%,6.00541,2.00%,4.11686,0.83%,4.39071,-0.72%,0.85403,1.55%,3.00193,0.56%,-0.17626,1.32%,3.02808,1.35%,1.56966,0.52%,2.79748,3.48%,5.34208,1.43%,-1.20056,1.68%,2.72483,1.72%,4.71557,-1.23%,-3.87444,-0.61%,-1.1899,1.37%,1.07176
2022-08-02,1.95%,1.952,2.25%,2.24719,0.5,1.16369,0.03,0.69725,+0.33%,0.9155,-0.14%,0.82622,-0.18,0.85257,-0.43,-0.84626,-0.07,1.76644,-0.18%,1.69693,-0.31,1.1538,0.38%,1.14858,-0.28%,1.13446,-2.64,-3.10745,-0.15,0.62762,0.55,0.0,7.08%,2.28392,-4.8,-2.62394,-0.89%,0.49793,-2.18%,2.23258,-0.73%,-1.07734,0.51%,4.80038,0.12%,2.13149,0.10%,0.93411,1.21%,0.47618,-0.20%,1.34048,-0.42%,0.14102,-0.81%,0.49494,0.14%,1.48968,-0.66%,-0.14927,0.27%,3.7586,-0.92%,0.49328,-0.32%,1.35525,0.51%,2.24339,0.11%,-1.12352,-1.70%,-2.30785,-0.37%,1.00019
2022-08-03,-2.73%,-0.832,-2.33%,-0.13219,-0.4,0.08959,-0.52,-0.4846,+0.34%,0.67922,-1.23%,-1.3669,-1.23,-1.40137,0.75,0.32106,-0.29,-0.36233,-0.16%,-0.3384,-0.65,-0.96165,-0.12%,0.25648,-0.67%,-0.94666,6.21,3.386,6.12,5.9495,6.16,6.74252,4.77%,12.18941,0.56,-4.25877,-1.07%,-1.95165,-0.21%,-2.385,-0.37%,-1.09542,-0.70%,-0.19508,-1.05%,-0.92913,-0.22%,-0.11979,-0.74%,0.46025,-0.69%,-0.8959,-0.18%,-0.59725,-1.01%,-1.81555,-1.03%,-0.89127,-0.07%,-0.73867,-0.05%,0.2251,-0.11%,-1.03301,-0.37%,-0.68654,-1.60%,-1.096,-0.08%,0.02786,0.66%,-1.05229,-1.40%,-1.76118
2022-08-04,1.29%,-1.4752,1.75%,-0.61409,1.37,0.95962,0.89,0.37517,-0.30%,0.03748,1.29%,0.04299,1.25,0.00916,0.25,1.00522,2.68,2.3838,2.59%,2.41879,1.53,0.86761,2.65%,2.5229,+1.56%,0.88719,-1.52,4.55951,0.2,6.34096,-1.82,4.23303,-8.27%,-3.89667,-3.98,-3.4402,1.49%,0.40538,-2.97%,-3.16731,0.92%,0.55074,2.52%,1.79493,0.98%,-0.08773,0.68%,0.45741,0.58%,-0.15713,2.69%,1.97817,2.48%,2.29998,0.13%,-0.88239,1.07%,0.034,1.84%,1.76202,2.11%,2.05776,1.84%,1.72981,3.05%,2.66371,1.36%,-0.26793,1.82%,1.74365,3.94%,4.63221,1.72%,0.29616
2022-08-05,0.16%,1.45208,1.04%,2.81271,1.2,2.58846,0.47,1.37275,-0.41%,-0.71732,-0.26%,1.02065,-0.27,0.97636,-0.76,-0.5177,0.42,3.11424,0.41%,3.01099,-0.1,1.42901,0.92%,3.58551,-0.08%,1.4849,-0.47,-1.96507,-0.66,-0.45707,-1.77,-3.5531,-2.32%,-10.40535,-2.34,-6.22749,-0.34%,1.14003,-3.60%,-6.45554,-0.49%,0.42558,0.54%,3.07191,0.31%,1.29125,0.12%,0.79957,-0.79%,-0.20848,0.42%,3.11718,0.18%,2.6698,0.05%,0.1762,-0.59%,0.47435,0.51%,2.35601,0.44%,2.55347,-0.31%,1.52572,0.28%,3.33359,0.76%,2.12169,0.34%,2.16797,2.38%,6.41587,-1.10%,0.60071
2022-08-08,-0.60%,-0.446,-1.58%,-0.55285,0.79,1.99666,0.72,1.19239,-0.01%,-0.42666,0.23%,-0.02752,0.23,-0.03967,0.88,0.10328,-0.74,-0.32212,-0.50%,-0.08376,-0.13,-0.22857,-0.91%,-0.00229,-0.16%,-0.24018,4.94,4.47154,5.94,5.24601,3.56,1.72899,-1.35%,-3.64465,0.53,-1.81999,0.79%,0.43783,2.04%,-1.62928,-0.03%,-0.52303,-1.66%,-1.12417,0.21%,0.52437,-0.30%,-0.17737,-0.15%,-0.93653,-0.24%,0.17489,-0.88%,-0.69335,0.36%,0.40993,0.83%,0.23443,0.31%,0.81685,-1.38%,-0.95349,0.91%,0.595,-0.39%,-0.11441,0.44%,1.19618,-0.34%,0.0,1.45%,3.86686,1.30%,0.18455
2022-08-09,2.02%,2.02247,1.57%,1.56965,-0.09,0.69078,0.09,0.80829,-0.24%,-0.25414,0.09%,0.32303,0.11,0.33965,-0.17,0.70016,-0.34,-1.07864,-0.10%,-0.5984,-0.12,-0.25287,-1.61%,-2.50112,-0.12%,-0.28613,-2.72,2.07869,-0.63,5.24762,-0.04,3.52026,0.66%,-0.69963,1.97,2.50734,-0.18%,0.6032,0.49%,2.54056,0.23%,0.19589,0.30%,-1.36615,-0.08%,0.13439,0.12%,-0.17716,-0.06%,-0.21407,-0.88%,-1.1164,0.37%,-0.50888,0.55%,0.91053,-0.02%,0.80724,0.62%,0.93154,0.26%,-1.12819,0.98%,1.89954,-0.58%,-0.9711,0.45%,0.88971,0.27%,-0.07189,0.92%,2.39049,-0.53%,0.75574
2022-08-10,-0.31%,1.70144,0.32%,1.89666,0.34,0.24169,0.42,0.50827,+0.54%,0.29948,-0.18%,-0.08858,-0.17,-0.06106,-0.06,-0.23448,-1.15,-1.49107,-1.19%,-1.29267,-0.42,-0.53656,-4.57%,-6.10764,-0.42%,-0.54811,1.06,-1.69791,1.81,1.17647,4.11,4.07115,2.25%,2.93145,-0.29,1.67397,0.57%,0.38412,1.77%,2.27468,-0.29%,-0.06989,-1.54%,-1.24417,-0.37%,-0.44659,1.06%,1.18278,-0.08%,-0.14466,-1.00%,-1.87264,-0.72%,-0.34909,-0.51%,0.03712,0.54%,0.51142,-1.40%,-0.78191,-1.19%,-0.93506,1.17%,2.16853,-1.15%,-1.72311,-1.17%,-0.7248,-0.71%,-0.4502,-1.68%,-0.77687,0.45%,-0.08289
2022-08-11,1.39%,1.06986,0.77%,1.09466,-1.6,-1.27458,-0.9,-0.49015,-0.67%,-0.13625,1.63%,1.45274,1.6,1.42718,-1.11,-1.15569,2.77,1.58345,2.89%,1.66349,2.07,1.64785,4.25%,-0.52025,+2.13%,1.69514,0.2,1.27273,-1.45,0.34279,-1.37,2.68881,-9.32%,-7.28042,1.58,1.28911,2.32%,2.89591,0.71%,2.49724,1.12%,0.82112,2.87%,1.29355,2.22%,1.84068,0.45%,1.52041,0.74%,0.66169,2.77%,1.74333,2.77%,2.03059,2.88%,2.35624,2.23%,2.78119,1.55%,0.13117,2.84%,1.61686,2.10%,3.29902,3.17%,1.98132,3.46%,2.25367,1.70%,0.96996,2.20%,0.4753,2.89%,3.36143
2022-08-12,0.84%,2.24116,-0.96%,-0.19255,1.45,-0.17993,1.73,0.81168,+0.60%,-0.07656,0.08%,1.71555,0.13,1.73199,-0.1,-1.20335,-0.6,2.14672,-0.58%,2.28896,-0.01,2.06692,-0.33%,3.89968,-0.07%,2.05702,3.76,3.95826,0.2,-1.25459,-1.5,-2.84846,2.33%,-7.21176,2.62,4.24309,1.02%,3.35837,3.19%,3.92064,-0.71%,0.39675,-0.66%,2.19399,0.46%,2.69405,-0.14%,0.31189,-0.32%,0.41907,-0.48%,2.2761,0.01%,2.77678,0.28%,3.16178,1.27%,3.53492,-0.72%,0.82322,-0.60%,2.22734,1.46%,3.58641,-0.61%,2.53672,0.22%,3.68688,0.02%,1.71901,-1.56%,0.60431,1.60%,4.54462
2022-08-16,1.98%,2.83313,1.00%,0.03185,-0.06,1.38491,0.16,1.89691,-0.29%,0.30678,0.45%,1.72714,0.46,1.7085,0.87,1.38929,0.76,2.7796,0.62%,2.72412,0.4,2.10226,0.31%,3.31118,+0.40%,2.13606,-1.72,-3.32295,-1.72,-0.99163,0.98,1.17279,2.15%,-1.23762,-2.91,-5.22578,0.02%,1.65303,-1.98%,-1.19405,0.49%,1.80726,0.61%,2.91881,0.23%,1.70519,0.81%,2.36459,1.05%,1.98351,0.63%,2.71324,0.48%,2.50627,-0.09%,1.78618,0.51%,1.95484,0.37%,2.06752,0.70%,2.96018,0.18%,1.9531,0.50%,2.78464,-0.20%,0.35325,0.53%,2.41459,1.66%,2.86958,-0.20%,1.07574
2022-08-17,-3.54%,-3.53982,-3.12%,-3.12003,0.37,0.31124,0.22,0.38593,+0.04%,0.74771,0.71%,1.15802,0.72,1.18631,-0.04,0.82363,-0.17,0.59288,-0.19%,0.4243,0.22,0.62485,-1.03%,-0.72364,+0.19%,0.58526,0.52,-1.19634,2.29,0.55385,2.82,3.82364,-1.30%,0.81925,-3.22,-6.03757,0.69%,0.7048,-0.34%,-2.31387,-0.27%,0.22234,1.09%,1.70571,0.45%,0.68194,0.27%,1.08589,1.21%,2.27299,-0.29%,0.33781,-0.06%,0.41764,0.58%,0.4942,1.00%,1.51194,0.02%,0.38891,0.38%,1.08349,0.20%,0.37498,-0.43%,0.06681,0.37%,0.17161,-0.09%,0.44123,-1.34%,0.29633,0.80%,0.60073
2022-08-18,0.92%,-2.65487,0.49%,-2.64247,-0.88,-0.50623,-0.67,-0.45373,+0.29%,0.33269,-0.50%,0.20016,-0.45,0.2657,0.07,0.01877,-1.21,-1.37414,-1.25%,-1.44675,-0.72,-0.5002,-2.48%,-3.48386,-0.72%,-0.53757,3.37,3.90261,0.52,2.8169,-0.75,2.04791,1.07%,-0.25063,1.83,-1.45398,-0.53%,0.15585,0.81%,0.46428,-0.63%,-0.89335,-1.12%,-0.04307,-0.78%,-0.33366,-0.15%,0.11997,-0.23%,0.97121,-0.70%,-0.98865,-1.85%,-1.91198,-1.40%,-0.8205,-1.11%,-0.12608,-1.05%,-1.03337,-1.33%,-0.9519,-0.29%,-0.09154,-1.06%,-1.48546,-1.74%,-1.37829,-1.71%,-1.79162,-2.13%,-3.44166,-1.00%,-0.20937
2022-08-19,0.97%,1.89813,0.92%,1.41308,-0.16,-1.03984,-0.33,-1.00532,+0.91%,1.20515,0.06%,-0.44792,0.05,-0.40155,0.85,0.92019,0.22,-0.98841,0.21%,-1.0472,0.23,-0.4933,2.28%,-0.2561,+0.23%,-0.49847,-0.56,2.77778,-2.35,-1.83599,1.06,0.30064,-1.71%,-0.66024,2.71,4.588,0.13%,-0.39872,2.53%,3.3552,-0.43%,-1.0605,-0.04%,-1.15921,0.33%,-0.45351,0.34%,0.19092,0.25%,0.01997,0.49%,-0.21524,-0.04%,-1.88873,0.26%,-1.14162,0.19%,-0.92851,-0.01%,-1.06638,0.09%,-1.23498,0.59%,0.29641,0.38%,-0.68518,0.49%,-1.26186,1.20%,-0.5257,-1.20%,-3.30349,-0.01%,-1.01255
2022-08-22,2.83%,3.82445,2.01%,2.9431,-1.44,-1.60136,-0.61,-0.94497,+0.66%,1.57657,-0.86%,-0.80512,-0.81,-0.75671,0.64,1.50136,-1.88,-1.66565,-2.01%,-1.80011,-1.28,-1.05805,-2.78%,-0.56496,-1.29%,-1.06597,3.12,2.54997,0.94,-1.43075,0.64,1.7039,5.32%,3.51759,0.3,3.01895,-2.02%,-1.89423,0.02%,2.5519,0.27%,-0.16002,-2.10%,-2.13741,-1.27%,-0.94737,-0.05%,0.29063,-0.35%,-0.09381,-1.83%,-1.34521,-1.83%,-1.86449,-1.81%,-1.55362,-1.60%,-1.41788,-2.31%,-2.32033,-2.08%,-1.98275,-1.51%,-0.93373,-2.21%,-1.83797,-2.07%,-1.59024,-0.73%,0.46157,-0.78%,-1.96709,-1.95%,-1.95821
2022-08-23,1.45%,1.45366,1.49%,1.49301,-2.25,-3.6547,-1.21,-1.81615,+0.59%,1.25034,-1.91%,-2.75134,-1.93,-2.72211,0.81,1.46074,-2.7,-4.53663,-2.55%,-4.50254,-2.13,-3.38855,-3.72%,-6.40159,-2.14%,-3.4024,1.61,4.7817,2.41,3.36658,2.57,3.22218,15.53%,21.67689,-0.59,-0.29834,-2.19%,-4.16703,-0.25%,-0.22537,-1.38%,-1.1114,-2.84%,-4.88294,-1.95%,-3.18905,-1.38%,-1.42534,-1.11%,-1.4485,-2.78%,-4.5591,-2.67%,-4.44366,-1.59%,-3.37163,-2.34%,-3.90414,-1.90%,-4.16151,-2.44%,-4.46011,-2.04%,-3.5165,-2.85%,-4.99706,-1.65%,-3.68416,-2.20%,-2.91513,-1.55%,-2.31976,-2.28%,-4.1878
2022-08-24,0.63%,2.08964,1.56%,3.08132,-1.56,-3.77685,-1.1,-2.30073,-0.32%,0.26654,-0.47%,-2.36495,-0.47,-2.3883,-0.39,0.41601,-0.1,-2.80363,-0.00%,-2.5495,-0.26,-2.38686,0.74%,-3.01455,-0.22%,-2.359,1.1,2.72177,-0.43,1.97653,0.51,3.0901,1.30%,17.03884,3.89,3.27201,-0.38%,-2.56004,3.62%,3.36316,-1.39%,-2.75311,0.32%,-2.53103,0.19%,-1.76183,-0.63%,-1.99548,-0.45%,-1.55369,-0.25%,-3.02755,-0.71%,-3.35789,0.98%,-0.63126,-0.57%,-2.89096,-0.24%,-2.13227,0.37%,-2.07815,-0.73%,-2.75318,-0.12%,-2.96808,0.34%,-1.31212,-0.75%,-2.9366,0.04%,-1.51528,-0.25%,-2.52341
