,iter1,iter1,iter1,iter2,iter2,iter2,iter3,iter3,iter3,iter4,iter4,iter4,iter5,iter5,iter5,iter6,iter6,iter6,iter7,iter7,iter7,iter8,iter8,iter8,iter9,iter9,iter9
,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score
0,42.0,0.6426551226551226,0.20460619868604377,28.0,0.5641025641025641,0.012682246159624636,21.0,0.5333333333333333,0.3263207942668917,19.0,0.578021978021978,0.23736037623849537,24.0,0.6416666666666667,0.1855921454276674,24,0.6416666666666667,0.1855921454276674,15.0,0.5067672197083961,0.11797765275923318,42.0,0.6426551226551226,0.20460619868604377,0.0,0.6366666666666667,0.13432961119739922
1,24.0,0.6366666666666667,0.13432961119739922,18.0,0.5486425339366516,0.0060988134597755,31.0,0.5306526806526807,0.059373791286060386,33.0,0.5745454545454545,0.39594640258374403,15.0,0.5067672197083961,0.11797765275923318,67,0.5238539238539237,0.06374276837427896,3.0,0.5033766233766233,0.09834749472321912,24.0,0.6366666666666667,0.13432961119739922,1.0,0.6366666666666667,0.13432961119739922
2,34.0,0.6220779220779221,0.20062308069950668,5.0,0.5486425339366516,0.013819642926473037,5.0,0.5144444444444444,0.1430531283504985,31.0,0.567027417027417,0.17443798609070663,3.0,0.5033766233766233,0.09834749472321912,78,0.5103081232492996,0.12258957632223721,2.0,0.476391440537782,0.017083489146711477,34.0,0.6220779220779221,0.20062308069950668,,,
3,44.0,0.615,0.14966629547095767,7.0,0.5484162895927601,0.03366710450269372,33.0,0.5083694083694084,0.0710076949894901,20.0,0.5190476190476191,0.07882354932022308,41.0,0.48403805496828756,0.03118375317969099,15,0.5067672197083961,0.11797765275923318,11.0,0.4758241758241758,0.09936399609193243,44.0,0.615,0.14966629547095767,,,
4,13.0,0.5885714285714286,0.11308242278832861,16.0,0.5407993966817497,0.011115432686511446,45.0,0.5067821067821068,0.18074167672818225,42.0,0.512592660888807,0.09749944916168175,48.0,0.47999747999748,0.03390454788720215,66,0.5066666666666666,0.11771631948186616,0.0,0.47537727480801484,0.026667665906389817,13.0,0.5885714285714286,0.11308242278832861,,,
5,18.0,0.5678632478632478,0.09705067047344627,10.0,0.5407993966817497,0.011115432686511446,34.0,0.5033333333333333,0.26465910988372277,5.0,0.5111111111111111,0.1077262190536962,2.0,0.476391440537782,0.017083489146711477,3,0.5033766233766233,0.09834749472321912,19.0,0.4744884572791549,0.05204947944594355,18.0,0.5678632478632478,0.09705067047344627,,,
6,46.0,0.5549999999999999,0.38999999999999996,49.0,0.537028657616893,0.011527365794440726,20.0,0.4953439153439153,0.1289297161251834,39.0,0.5010897435897436,0.11884165897510557,11.0,0.4758241758241758,0.09936399609193243,74,0.4923529411764706,0.10270220814077831,14.0,0.47130161505161505,0.03510064331454441,46.0,0.5549999999999999,0.38999999999999996,,,
7,5.0,0.54,0.32,27.0,0.5369532428355959,0.007264913773027037,23.0,0.4877344877344877,0.043594408623618554,27.0,0.49719457013574664,0.0694828168498566,0.0,0.47537727480801484,0.026667665906389817,79,0.48761576354679803,0.057692865192922695,10.0,0.471003276003276,0.038058352966229524,5.0,0.54,0.32,,,
8,39.0,0.5266666666666666,0.08856886837057613,46.0,0.5369532428355958,0.007264913773027037,9.0,0.47370797963821226,0.012668829695929766,23.0,0.49567099567099576,0.11979662056703537,19.0,0.4744884572791549,0.05204947944594355,41,0.48403805496828756,0.03118375317969099,16.0,0.4678653530377669,0.036306068546778945,39.0,0.5266666666666666,0.08856886837057613,,,
