,date,open,high,low,close,close_cr,vol
0,2022-06-15,94500.0,95500.0,92500.0,93200.0,-2.2,77530.0
1,2022-06-16,94700.0,97600.0,93800.0,94400.0,1.29,82264.0
2,2022-06-17,92800.0,93700.0,92000.0,93200.0,-1.27,76781.0
3,2022-06-18,,,,,,
4,2022-06-19,,,,,,
5,2022-06-20,93400.0,93500.0,89300.0,90200.0,-3.22,83055.0
6,2022-06-21,90300.0,91400.0,90000.0,91000.0,0.89,46794.0
7,2022-06-22,91400.0,91500.0,87100.0,87200.0,-4.18,105531.0
8,2022-06-23,86800.0,89800.0,85600.0,88300.0,1.26,124244.0
9,2022-06-24,88300.0,90000.0,88300.0,89000.0,0.79,78251.0
10,2022-06-25,,,,,,
11,2022-06-26,,,,,,
12,2022-06-27,90200.0,91000.0,89000.0,89700.0,0.79,75898.0
13,2022-06-28,89100.0,90100.0,87800.0,89000.0,-0.78,64535.0
14,2022-06-29,88000.0,91800.0,87400.0,90700.0,1.91,78582.0
15,2022-06-30,90900.0,90900.0,88300.0,88300.0,-2.65,70716.0
16,2022-07-01,89000.0,92900.0,88800.0,89900.0,1.81,126355.0
17,2022-07-02,,,,,,
18,2022-07-03,,,,,,
19,2022-07-04,90800.0,91000.0,88600.0,90200.0,0.33,63136.0
20,2022-07-05,91000.0,96000.0,90700.0,95500.0,5.88,127292.0
21,2022-07-06,94700.0,95100.0,92800.0,93100.0,-2.51,96175.0
22,2022-07-07,94000.0,96400.0,93500.0,95900.0,3.01,103829.0
23,2022-07-08,96300.0,98300.0,91800.0,92000.0,-4.07,140555.0
24,2022-07-09,,,,,,
25,2022-07-10,,,,,,
26,2022-07-11,91500.0,92700.0,91000.0,91300.0,-0.76,65226.0
27,2022-07-12,90700.0,90900.0,89100.0,90400.0,-0.99,58814.0
28,2022-07-13,89900.0,92300.0,89900.0,91100.0,0.77,61600.0
29,2022-07-14,90600.0,91000.0,89500.0,90200.0,-0.99,59434.0
30,2022-07-15,90900.0,91500.0,89100.0,90900.0,0.78,54626.0
