,date,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc
69,2022-04-15,4737,-4847,19,-6302,899,3585,1568,0,359,-91,73,18
70,2022-04-18,-24045,3527,20553,354,3803,13997,-215,0,2622,-8,79,-115
71,2022-04-19,-4432,-6006,10143,4234,2891,2577,-636,1,1076,0,104,191
72,2022-04-20,-80935,31696,48854,7669,10572,15158,10528,193,4680,55,763,-379
73,2022-04-21,-34831,1537,33007,13783,4789,6142,7145,2,1137,9,363,-77
74,2022-04-22,-2762,17640,-14003,-10596,2536,-4166,-2923,-4,1150,0,-802,-73
75,2022-04-25,3910,-12157,6403,467,-1126,2954,960,1,3097,50,1915,-71
76,2022-04-26,-184215,177543,11093,-690,13930,7266,-12197,-340,3151,-28,-3724,-697
77,2022-04-27,-25457,23807,1894,-1595,7693,2779,-10133,111,2981,58,-50,-194
78,2022-04-28,-31233,36356,-5006,-4302,-741,8701,-7368,-385,-873,-38,1,-118
79,2022-04-29,-28275,26869,2088,2130,-844,470,3764,-1060,-1624,-747,-510,-172
80,2022-05-02,-17344,21255,-3972,-4591,31,3454,-3814,2,963,-19,26,36
81,2022-05-03,-4958,21663,-17763,-3934,-8214,2246,-5344,-11,-2506,0,1076,-17
82,2022-05-04,-9997,15404,-5193,921,-3222,-4370,-765,-5,2644,-397,-191,-22
83,2022-05-06,-40600,48295,-7285,-2356,760,-5250,335,-30,-743,-1,-121,-290
84,2022-05-09,-12360,11245,874,-867,1782,-362,563,-403,132,30,181,60
85,2022-05-10,-32932,27699,6328,-1196,3594,1945,1542,-14,476,-18,-1033,-62
86,2022-05-11,-76287,40632,34998,1960,3530,13258,15680,231,658,-318,812,-155
87,2022-05-12,-35035,29857,4485,-5177,2648,2322,4399,-12,443,-139,796,-103
88,2022-05-13,-17737,20156,-2134,12783,-1386,-2758,-5066,-76,-5446,-186,62,-346
89,2022-05-16,-2414,23749,-20941,-3936,329,-9104,-6554,-35,-1387,-255,-363,-30
90,2022-05-17,-3287,14706,-10666,6429,-2507,-5921,-7075,-7,-1518,-68,-838,85
91,2022-05-18,3012,35206,-37600,-7760,-6669,-10229,-8142,-146,-4548,-108,-565,-53
92,2022-05-19,23681,254,-23775,-9090,-4503,-1657,-7724,103,-600,-305,-225,65
93,2022-05-20,-22681,14029,9042,14584,153,-991,-3110,-36,-1036,-523,-406,15
94,2022-05-23,3739,-9012,5327,5340,-1432,-356,1571,-27,-8,239,-54,0
95,2022-05-24,-3486,987,2491,-2489,68,-74,4798,-7,44,151,-3,11
96,2022-05-25,3340,-11654,8739,9459,-1123,926,105,-2,-578,-48,-436,11
97,2022-05-26,1998,5450,-7045,-765,-695,-2119,-3500,-48,129,-46,-219,-184
