시간,현재가,등락,등락률(%),체결량,거래량
06/23 15:50,57400,▼ 200,-0.35,2386,28024896
06/23 15:40,57400,▼ 200,-0.35,45725,28022510
06/23 15:30,57400,▼ 200,-0.35,1678086,27976785
06/23 15:10,57500,▼ 100,-0.17,628824,26298699
06/23 15:00,57300,▼ 300,-0.52,768690,25669875
06/23 14:50,57500,▼ 100,-0.17,393934,24901185
06/23 14:40,57500,▼ 100,-0.17,411381,24507251
06/23 14:30,57500,▼ 100,-0.17,441222,24095870
06/23 14:20,57500,▼ 100,-0.17,338517,23654648
06/23 14:10,57500,▼ 100,-0.17,468877,23316131
06/23 14:00,57500,▼ 100,-0.17,569807,22847254
06/23 13:50,57500,▼ 100,-0.17,453045,22277447
06/23 13:40,57700,▲ 100,0.17,693367,21824402
06/23 13:30,57600,0,0.0,579760,21131035
06/23 13:20,57400,▼ 200,-0.35,792076,20551275
06/23 13:10,57000,▼ 600,-1.04,943015,19759199
06/23 13:00,56900,▼ 700,-1.22,987033,18816184
06/23 12:50,56900,▼ 700,-1.22,761199,17829151
06/23 12:40,56900,▼ 700,-1.22,205610,17067952
06/23 12:30,57000,▼ 600,-1.04,915744,16862342
06/23 13:20,57400,▼ 200,-0.35,792076,20551275
06/23 13:10,57000,▼ 600,-1.04,943015,19759199
06/23 13:00,56900,▼ 700,-1.22,987033,18816184
06/23 12:50,56900,▼ 700,-1.22,761199,17829151
06/23 12:40,56900,▼ 700,-1.22,205610,17067952
06/23 12:30,57000,▼ 600,-1.04,915744,16862342
06/23 12:20,57000,▼ 600,-1.04,900525,15946598
06/23 12:10,57100,▼ 500,-0.87,248132,15046073
06/23 12:00,57200,▼ 400,-0.69,293113,14797941
06/23 11:50,57200,▼ 400,-0.69,391191,14504828
06/23 11:40,57400,▼ 200,-0.35,207784,14113637
06/23 11:30,57300,▼ 300,-0.52,457309,13905853
06/23 11:20,57200,▼ 400,-0.69,507711,13448544
06/23 11:10,57300,▼ 300,-0.52,646946,12940833
06/23 11:00,57400,▼ 200,-0.35,175759,12293887
06/23 10:50,57500,▼ 100,-0.17,379202,12118128
06/23 10:40,57500,▼ 100,-0.17,692627,11738926
06/23 10:30,57800,▲ 200,0.35,406964,11046299
06/23 10:20,57600,0,0.0,480218,10639335
06/23 10:10,57500,▼ 100,-0.17,412973,10159117
06/23 10:00,57600,0,0.0,559693,9746144
06/23 09:50,57500,▼ 100,-0.17,856468,9186451
06/23 09:40,57800,▲ 200,0.35,1415474,8329983
06/23 09:30,57600,0,0.0,1201272,6914509
06/23 09:20,57400,▼ 200,-0.35,1403319,5713237
06/23 09:10,57500,▼ 100,-0.17,1480882,4309918
06/23 09:00,57700,▲ 100,0.17,2809013,2829036
06/23 08:30,57600,0,0.0,20023,20023
