시간,현재가,등락,등락률(%),체결량,거래량
06/22 15:50,60800,▼ 500,-0.82,3,203008
06/22 15:40,60800,▼ 500,-0.82,1,203005
06/22 15:30,60800,▼ 500,-0.82,24103,203004
06/22 15:10,61000,▼ 300,-0.49,6148,178901
06/22 15:00,61400,▲ 100,0.16,6637,172753
06/22 14:50,61300,0,0.0,7091,166116
06/22 14:40,61300,0,0.0,7269,159025
06/22 14:30,61400,▲ 100,0.16,8435,151756
06/22 14:20,61500,▲ 200,0.33,7982,143321
06/22 14:10,61600,▲ 300,0.49,7570,135339
06/22 14:00,61500,▲ 200,0.33,6363,127769
06/22 13:50,61400,▲ 100,0.16,5500,121406
06/22 13:40,61400,▲ 100,0.16,5307,115906
06/22 13:30,61300,0,0.0,6291,110599
06/22 13:20,61000,▼ 300,-0.49,4398,104308
06/22 13:10,60900,▼ 400,-0.65,6841,99910
06/22 13:00,60800,▼ 500,-0.82,3519,93069
06/22 12:50,60900,▼ 400,-0.65,1469,89550
06/22 12:40,60900,▼ 400,-0.65,2884,88081
06/22 12:30,61000,▼ 300,-0.49,4017,85197
06/22 13:10,60900,▼ 400,-0.65,6841,99910
06/22 13:00,60800,▼ 500,-0.82,3519,93069
06/22 12:50,60900,▼ 400,-0.65,1469,89550
06/22 12:40,60900,▼ 400,-0.65,2884,88081
06/22 12:30,61000,▼ 300,-0.49,4017,85197
06/22 12:20,61100,▼ 200,-0.33,2527,81180
06/22 12:10,61100,▼ 200,-0.33,2311,78653
06/22 12:00,61000,▼ 300,-0.49,3242,76342
06/22 11:50,60900,▼ 400,-0.65,3125,73100
06/22 11:40,61100,▼ 200,-0.33,2995,69975
06/22 11:30,61200,▼ 100,-0.16,1994,66980
06/22 11:20,61200,▼ 100,-0.16,4216,64986
06/22 11:10,60700,▼ 600,-0.98,4369,60770
06/22 11:00,61300,0,0.0,2971,56401
06/22 10:50,61100,▼ 200,-0.33,3163,53430
06/22 10:40,61200,▼ 100,-0.16,2326,50267
06/22 10:30,61400,▲ 100,0.16,3559,47941
06/22 10:20,61600,▲ 300,0.49,2316,44382
06/22 10:10,61500,▲ 200,0.33,3536,42066
06/22 10:00,61600,▲ 300,0.49,2251,38530
06/22 09:50,61600,▲ 300,0.49,3775,36279
06/22 09:40,61800,▲ 500,0.82,2885,32504
06/22 09:30,62100,▲ 800,1.31,3718,29619
06/22 09:20,62100,▲ 800,1.31,6676,25901
06/22 09:10,61600,▲ 300,0.49,7794,19225
06/22 09:00,61500,▲ 200,0.33,11431,11431
