시간,현재가,등락,등락률(%),체결량,거래량
06/24 15:50,83000,▲ 400,0.48,1,276735
06/24 15:40,83000,▲ 400,0.48,7,276734
06/24 15:30,83000,▲ 400,0.48,19857,276727
06/24 15:10,83000,▲ 400,0.48,9346,256870
06/24 15:00,83100,▲ 500,0.61,7097,247524
06/24 14:50,83200,▲ 600,0.73,14488,240427
06/24 14:40,83300,▲ 700,0.85,8345,225939
06/24 14:30,83200,▲ 600,0.73,13358,217594
06/24 14:20,83000,▲ 400,0.48,5680,204236
06/24 14:10,82700,▲ 100,0.12,3400,198556
06/24 14:00,82800,▲ 200,0.24,10275,195156
06/24 13:50,82700,▲ 100,0.12,9554,184881
06/24 13:40,82600,0,0.0,2810,175327
06/24 13:30,82600,0,0.0,2842,172517
06/24 13:20,82600,0,0.0,3431,169675
06/24 13:10,82700,▲ 100,0.12,7068,166244
06/24 13:00,82500,▼ 100,-0.12,4372,159176
06/24 12:50,82600,0,0.0,6031,154804
06/24 12:40,82600,0,0.0,2089,148773
06/24 12:30,82600,0,0.0,4431,146684
06/24 13:40,82600,0,0.0,2810,175327
06/24 13:30,82600,0,0.0,2842,172517
06/24 13:20,82600,0,0.0,3431,169675
06/24 13:10,82700,▲ 100,0.12,7068,166244
06/24 13:00,82500,▼ 100,-0.12,4372,159176
06/24 12:50,82600,0,0.0,6031,154804
06/24 12:40,82600,0,0.0,2089,148773
06/24 12:30,82600,0,0.0,4431,146684
06/24 12:20,82700,▲ 100,0.12,5582,142253
06/24 12:10,82700,▲ 100,0.12,6020,136671
06/24 12:00,82700,▲ 100,0.12,3559,130651
06/24 11:50,82800,▲ 200,0.24,4397,127092
06/24 11:40,82900,▲ 300,0.36,8186,122695
06/24 11:30,82700,▲ 100,0.12,5865,114509
06/24 11:20,82600,0,0.0,4009,108644
06/24 11:10,82700,▲ 100,0.12,9034,104635
06/24 11:00,82700,▲ 100,0.12,7342,95601
06/24 10:50,82500,▼ 100,-0.12,5818,88259
06/24 10:40,82600,0,0.0,7862,82441
06/24 10:30,82500,▼ 100,-0.12,11310,74579
06/24 10:20,82200,▼ 400,-0.48,6051,63269
06/24 10:10,82200,▼ 400,-0.48,4640,57218
06/24 10:00,82100,▼ 500,-0.61,9741,52578
06/24 09:50,82300,▼ 300,-0.36,3523,42837
06/24 09:40,82300,▼ 300,-0.36,7498,39314
06/24 09:30,82300,▼ 300,-0.36,6609,31816
06/24 09:20,82400,▼ 200,-0.24,4370,25207
06/24 09:10,82500,▼ 100,-0.12,9704,20837
06/24 09:00,82600,0,0.0,11132,11133
06/24 08:30,82600,0,0.0,1,1
