시간,현재가,등락,등락률(%),체결량,거래량
06/24 15:50,247500,"▲ 13,500",5.77,24,989546
06/24 15:40,247500,"▲ 13,500",5.77,184,989522
06/24 15:30,247500,"▲ 13,500",5.77,38466,989338
06/24 15:10,249000,"▲ 15,000",6.41,27281,950872
06/24 15:00,249000,"▲ 15,000",6.41,21892,923591
06/24 14:50,248500,"▲ 14,500",6.2,35485,901699
06/24 14:40,250000,"▲ 16,000",6.84,34258,866214
06/24 14:30,249500,"▲ 15,500",6.62,29860,831956
06/24 14:20,248500,"▲ 14,500",6.2,27729,802096
06/24 14:10,248000,"▲ 14,000",5.98,22211,774367
06/24 14:00,248500,"▲ 14,500",6.2,19361,752156
06/24 13:50,248000,"▲ 14,000",5.98,20561,732795
06/24 13:40,247000,"▲ 13,000",5.56,17352,712234
06/24 13:30,246000,"▲ 12,000",5.13,12281,694882
06/24 13:20,246000,"▲ 12,000",5.13,17530,682601
06/24 13:10,247000,"▲ 13,000",5.56,19179,665071
06/24 13:00,246000,"▲ 12,000",5.13,19714,645892
06/24 12:50,245500,"▲ 11,500",4.91,9007,626178
06/24 12:40,244500,"▲ 10,500",4.49,6988,617171
06/24 12:30,245000,"▲ 11,000",4.7,14946,610183
06/24 13:40,247000,"▲ 13,000",5.56,17352,712234
06/24 13:30,246000,"▲ 12,000",5.13,12281,694882
06/24 13:20,246000,"▲ 12,000",5.13,17530,682601
06/24 13:10,247000,"▲ 13,000",5.56,19179,665071
06/24 13:00,246000,"▲ 12,000",5.13,19714,645892
06/24 12:50,245500,"▲ 11,500",4.91,9007,626178
06/24 12:40,244500,"▲ 10,500",4.49,6988,617171
06/24 12:30,245000,"▲ 11,000",4.7,14946,610183
06/24 12:20,243000,"▲ 9,000",3.85,23579,595237
06/24 12:10,243000,"▲ 9,000",3.85,13932,571658
06/24 12:00,243500,"▲ 9,500",4.06,11482,557726
06/24 11:50,245000,"▲ 11,000",4.7,14839,546244
06/24 11:40,245000,"▲ 11,000",4.7,11163,531405
06/24 11:30,244500,"▲ 10,500",4.49,16426,520242
06/24 11:20,244000,"▲ 10,000",4.27,7213,503816
06/24 11:10,244000,"▲ 10,000",4.27,13231,496603
06/24 11:00,245000,"▲ 11,000",4.7,12772,483372
06/24 10:50,244000,"▲ 10,000",4.27,20424,470600
06/24 10:40,244000,"▲ 10,000",4.27,14819,450176
06/24 10:30,245000,"▲ 11,000",4.7,37443,435357
06/24 10:20,243500,"▲ 9,500",4.06,16139,397914
06/24 10:10,242500,"▲ 8,500",3.63,36648,381775
06/24 10:00,243500,"▲ 9,500",4.06,28738,345127
06/24 09:50,243000,"▲ 9,000",3.85,30493,316389
06/24 09:40,243500,"▲ 9,500",4.06,67520,285896
06/24 09:30,241000,"▲ 7,000",2.99,28380,218376
06/24 09:20,240000,"▲ 6,000",2.56,40294,189996
06/24 09:10,238500,"▲ 4,500",1.92,48680,149702
06/24 09:00,238500,"▲ 4,500",1.92,100524,101022
06/24 08:30,234000,0,0.0,498,498
