date,time,price,change,change(%),amount,volume
2023-02-01,15:30:00,205500,3000,1.48%,51149,853325
2023-02-01,15:10:00,205000,2500,1.23%,16332,802176
2023-02-01,15:00:00,205000,2500,1.23%,10181,785844
2023-02-01,14:50:00,205000,2500,1.23%,23944,775663
2023-02-01,14:40:00,205000,2500,1.23%,29595,751719
2023-02-01,14:30:00,204500,2000,0.99%,7383,722124
2023-02-01,14:20:00,204500,2000,0.99%,19307,714741
2023-02-01,14:10:00,204500,2000,0.99%,23053,695434
2023-02-01,14:00:00,204000,1500,0.74%,23116,672381
2023-02-01,13:50:00,203500,1000,0.49%,22208,649265
2023-02-01,13:40:00,204000,1500,0.74%,17473,627057
2023-02-01,13:30:00,204500,2000,0.99%,16744,609584
2023-02-01,13:20:00,205000,2500,1.23%,15832,592840
2023-02-01,13:10:00,205000,2500,1.23%,5612,577008
2023-02-01,13:00:00,205000,2500,1.23%,3903,571396
2023-02-01,12:50:00,205000,2500,1.23%,13257,567493
2023-02-01,12:40:00,205000,2500,1.23%,4155,554236
2023-02-01,12:30:00,205000,2500,1.23%,11107,550081
2023-02-01,12:20:00,205000,2500,1.23%,9393,538974
2023-02-01,12:10:00,205000,2500,1.23%,7554,529581
2023-02-01,12:00:00,205000,2500,1.23%,21214,522027
2023-02-01,11:50:00,204500,2000,0.99%,23370,500813
2023-02-01,11:40:00,204500,2000,0.99%,5567,477443
2023-02-01,11:30:00,204500,2000,0.99%,8428,471876
2023-02-01,11:20:00,204500,2000,0.99%,7022,463448
2023-02-01,11:10:00,204500,2000,0.99%,30020,456426
2023-02-01,11:00:00,205500,3000,1.48%,23289,426406
2023-02-01,10:50:00,205500,3000,1.48%,18350,403117
2023-02-01,10:40:00,206000,3500,1.73%,16088,384767
2023-02-01,10:30:00,207000,4500,2.22%,31608,368679
2023-02-01,10:20:00,207500,5000,2.47%,26486,337071
2023-02-01,10:10:00,208500,6000,2.96%,49262,310585
2023-02-01,10:00:00,207000,4500,2.22%,35075,261323
2023-02-01,09:50:00,206000,3500,1.73%,24029,226248
2023-02-01,09:40:00,205500,3000,1.48%,9995,202219
2023-02-01,09:30:00,205500,3000,1.48%,34067,192224
2023-02-01,09:20:00,206500,4000,1.98%,30891,158157
2023-02-01,09:10:00,206500,4000,1.98%,56933,127266
2023-02-01,09:00:00,206000,3500,1.73%,70333,70333
