,date,time,price,change,change(%),amount,volume
0,2024-01-11,15:30:00,187000,300,0.16%,174065,526144
1,2024-01-11,15:15:00,189000,2300,1.23%,8816,352078
2,2024-01-11,15:10:00,189000,2300,1.23%,10124,343262
3,2024-01-11,15:05:00,188900,2200,1.18%,5679,333138
4,2024-01-11,15:00:00,188800,2100,1.12%,5611,327459
5,2024-01-11,14:55:00,188800,2100,1.12%,7046,321830
6,2024-01-11,14:50:00,188900,2200,1.18%,17140,314784
7,2024-01-11,14:45:00,188900,2200,1.18%,4627,297644
8,2024-01-11,14:40:00,188900,2200,1.18%,7724,293017
9,2024-01-11,14:35:00,188900,2200,1.18%,8186,285293
10,2024-01-11,14:30:00,188800,2100,1.12%,11714,277107
11,2024-01-11,14:25:00,188700,2000,1.07%,4901,265393
12,2024-01-11,14:20:00,188600,1900,1.02%,7556,260492
13,2024-01-11,14:15:00,188500,1800,0.96%,16027,252936
14,2024-01-11,14:10:00,188200,1500,0.80%,7022,236909
15,2024-01-11,14:05:00,188000,1300,0.70%,7444,229887
16,2024-01-11,14:00:00,187900,1200,0.64%,6939,222443
17,2024-01-11,13:55:00,187700,1000,0.54%,3227,215504
18,2024-01-11,13:50:00,187700,1000,0.54%,4262,212277
19,2024-01-11,13:45:00,187400,700,0.37%,4262,208015
20,2024-01-11,13:40:00,187400,700,0.37%,9676,203753
21,2024-01-11,13:35:00,187300,600,0.32%,1368,194077
22,2024-01-11,13:30:00,187400,700,0.37%,2658,192709
23,2024-01-11,13:25:00,187500,800,0.43%,1372,190051
24,2024-01-11,13:20:00,187500,800,0.43%,3176,188679
25,2024-01-11,13:15:00,187400,700,0.37%,849,185503
26,2024-01-11,13:10:00,187700,1000,0.54%,5291,184654
27,2024-01-11,13:05:00,187800,1100,0.59%,1354,179363
28,2024-01-11,13:00:00,187800,1100,0.59%,1962,178009
29,2024-01-11,12:55:00,187800,1100,0.59%,1144,176047
30,2024-01-11,12:50:00,187700,1000,0.54%,2791,174903
31,2024-01-11,12:45:00,187800,1100,0.59%,2776,172112
32,2024-01-11,12:40:00,187700,1000,0.54%,2055,169336
33,2024-01-11,12:35:00,187800,1100,0.59%,3951,167281
34,2024-01-11,12:30:00,187700,1000,0.54%,1001,163330
35,2024-01-11,12:25:00,187700,1000,0.54%,2039,162329
36,2024-01-11,12:20:00,187700,1000,0.54%,1747,160290
37,2024-01-11,12:15:00,187700,1000,0.54%,867,158543
38,2024-01-11,12:10:00,187800,1100,0.59%,2194,157676
39,2024-01-11,12:05:00,187800,1100,0.59%,1765,155482
40,2024-01-11,12:00:00,188000,1300,0.70%,3389,153717
41,2024-01-11,11:55:00,187900,1200,0.64%,1210,150328
42,2024-01-11,11:50:00,188000,1300,0.70%,2750,149118
43,2024-01-11,11:45:00,188000,1300,0.70%,1987,146368
44,2024-01-11,11:40:00,187800,1100,0.59%,2576,144381
45,2024-01-11,11:35:00,187800,1100,0.59%,2188,141805
46,2024-01-11,11:30:00,187700,1000,0.54%,856,139617
47,2024-01-11,11:25:00,187700,1000,0.54%,2407,138761
48,2024-01-11,11:20:00,187800,1100,0.59%,2321,136354
49,2024-01-11,11:15:00,187700,1000,0.54%,3611,134033
50,2024-01-11,11:10:00,187700,1000,0.54%,3093,130422
51,2024-01-11,11:05:00,187700,1000,0.54%,2420,127329
52,2024-01-11,11:00:00,187600,900,0.48%,2114,124909
53,2024-01-11,10:55:00,187200,500,0.27%,3546,122795
54,2024-01-11,10:50:00,187500,800,0.43%,4724,119249
55,2024-01-11,10:45:00,187800,1100,0.59%,8262,114525
56,2024-01-11,10:40:00,187700,1000,0.54%,1663,106263
57,2024-01-11,10:35:00,187700,1000,0.54%,4849,104600
58,2024-01-11,10:30:00,187700,1000,0.54%,3520,99751
59,2024-01-11,10:25:00,187900,1200,0.64%,2556,96231
60,2024-01-11,10:20:00,188300,1600,0.86%,4075,93675
61,2024-01-11,10:15:00,188300,1600,0.86%,3763,89600
62,2024-01-11,10:10:00,188200,1500,0.80%,3604,85837
63,2024-01-11,10:05:00,188100,1400,0.75%,8255,82233
64,2024-01-11,10:00:00,187800,1100,0.59%,2698,73978
65,2024-01-11,09:55:00,187600,900,0.48%,2029,71280
66,2024-01-11,09:50:00,187700,1000,0.54%,5437,69251
67,2024-01-11,09:45:00,187800,1100,0.59%,3088,63814
68,2024-01-11,09:40:00,187800,1100,0.59%,3810,60726
69,2024-01-11,09:35:00,187900,1200,0.64%,2960,56916
70,2024-01-11,09:30:00,187900,1200,0.64%,4527,53956
71,2024-01-11,09:25:00,188000,1300,0.70%,5482,49429
72,2024-01-11,09:20:00,187900,1200,0.64%,8212,43947
73,2024-01-11,09:15:00,187900,1200,0.64%,6139,35735
74,2024-01-11,09:10:00,187500,800,0.43%,5872,29596
75,2024-01-11,09:05:00,187600,900,0.48%,7368,23724
76,2024-01-11,09:00:00,187600,900,0.48%,16356,16356
