,date,time,price,change,change(%),amount,volume
0,2024-09-20,15:30:00,107100,400,0.37%,129181,433755
1,2024-09-20,15:15:00,106900,300,0.28%,2928,304574
2,2024-09-20,15:10:00,106700,400,0.00%,3947,301646
3,2024-09-20,15:05:00,106600,500,-0.47%,3564,297699
4,2024-09-20,15:00:00,106400,700,-0.65%,3935,294135
5,2024-09-20,14:55:00,106900,400,0.38%,8421,290200
6,2024-09-20,14:50:00,106900,200,0.19%,4539,281779
7,2024-09-20,14:45:00,107000,300,0.28%,5529,277240
8,2024-09-20,14:40:00,106800,100,0.09%,4397,271710
9,2024-09-20,14:35:00,106800,100,0.09%,3956,267313
10,2024-09-20,14:30:00,106800,100,0.00%,3392,263357
11,2024-09-20,14:25:00,106800,100,0.00%,3164,259965
12,2024-09-20,14:20:00,107000,300,0.28%,6832,256801
13,2024-09-20,14:15:00,107000,300,0.28%,5039,249969
14,2024-09-20,14:10:00,107000,300,0.28%,2224,244930
15,2024-09-20,14:05:00,107100,400,0.37%,5781,242706
16,2024-09-20,14:00:00,107100,400,0.37%,2895,236925
17,2024-09-20,13:55:00,107100,400,0.37%,3195,234030
18,2024-09-20,13:50:00,107100,400,0.37%,3061,230835
19,2024-09-20,13:45:00,107100,400,0.37%,2506,227774
20,2024-09-20,13:40:00,107100,400,0.37%,5899,225268
21,2024-09-20,13:35:00,107000,300,0.28%,1650,219369
22,2024-09-20,13:30:00,107000,300,0.28%,1784,217719
23,2024-09-20,13:25:00,107100,400,0.37%,3071,215935
24,2024-09-20,13:20:00,107100,400,0.37%,3312,212864
25,2024-09-20,13:15:00,107000,300,0.28%,2319,209552
26,2024-09-20,13:10:00,107100,400,0.37%,5853,207233
27,2024-09-20,13:05:00,107000,300,0.28%,2487,201380
28,2024-09-20,13:00:00,106900,200,0.19%,2693,198893
29,2024-09-20,12:55:00,106800,100,0.09%,3191,196200
30,2024-09-20,12:50:00,106700,100,0.00%,2154,193009
31,2024-09-20,12:45:00,106800,100,0.00%,2109,190855
32,2024-09-20,12:40:00,106900,200,0.19%,2397,188746
33,2024-09-20,12:35:00,106900,200,0.19%,1498,186349
34,2024-09-20,12:30:00,106800,100,0.00%,2593,184851
35,2024-09-20,12:25:00,106800,100,-0.09%,1516,182258
36,2024-09-20,12:20:00,107000,300,0.28%,2278,180742
37,2024-09-20,12:15:00,106900,200,0.00%,1999,178464
38,2024-09-20,12:10:00,106800,100,0.00%,2055,176465
39,2024-09-20,12:05:00,107000,300,0.00%,1973,174410
40,2024-09-20,12:00:00,107000,300,0.28%,2607,172437
41,2024-09-20,11:55:00,107100,400,0.37%,2906,169830
42,2024-09-20,11:50:00,107200,500,0.47%,2074,166924
43,2024-09-20,11:45:00,107100,400,0.37%,2345,164850
44,2024-09-20,11:40:00,107100,400,0.37%,1953,162505
45,2024-09-20,11:35:00,107000,300,0.28%,3236,160552
46,2024-09-20,11:30:00,107000,300,0.28%,2277,157316
47,2024-09-20,11:25:00,107000,300,0.28%,4648,155039
48,2024-09-20,11:20:00,107300,600,0.56%,3764,150391
49,2024-09-20,11:15:00,107300,600,0.56%,2545,146627
50,2024-09-20,11:10:00,107400,700,0.66%,2636,144082
51,2024-09-20,11:05:00,107400,700,0.66%,3338,141446
52,2024-09-20,11:00:00,107500,800,0.75%,3984,138108
53,2024-09-20,10:55:00,107200,500,0.47%,2390,134124
54,2024-09-20,10:50:00,107200,500,0.47%,2735,131734
55,2024-09-20,10:45:00,107300,600,0.56%,5259,128999
56,2024-09-20,10:40:00,107000,300,0.28%,4902,123740
57,2024-09-20,10:35:00,107000,300,0.28%,2657,118838
58,2024-09-20,10:30:00,106800,100,0.09%,1461,116181
59,2024-09-20,10:25:00,107200,500,0.47%,8858,114720
60,2024-09-20,10:20:00,107200,500,0.47%,3262,105862
61,2024-09-20,10:15:00,107200,500,0.47%,4273,102600
62,2024-09-20,10:10:00,107200,500,0.00%,5737,98327
63,2024-09-20,10:05:00,106900,200,0.00%,3683,92590
64,2024-09-20,10:00:00,106900,200,0.00%,5502,88907
65,2024-09-20,09:55:00,106700,300,-0.28%,3540,83405
66,2024-09-20,09:50:00,106700,200,-0.19%,5181,79865
67,2024-09-20,09:45:00,106700,700,-0.65%,6380,74684
68,2024-09-20,09:40:00,106300,900,-0.84%,5871,68304
69,2024-09-20,09:35:00,106300,900,-0.84%,6061,62433
70,2024-09-20,09:30:00,106300,800,-0.75%,4833,56372
71,2024-09-20,09:25:00,106200,800,-0.75%,4432,51539
72,2024-09-20,09:20:00,106300,800,-0.75%,6172,47107
73,2024-09-20,09:15:00,106400,1000,-0.93%,9678,40935
74,2024-09-20,09:10:00,106300,1300,-1.21%,13643,31257
75,2024-09-20,09:05:00,107000,600,0.56%,9119,17614
76,2024-09-20,09:00:00,107300,700,0.66%,8495,8495
