,date,time,price,change,change(%),amount,volume
0,2023-08-11,15:30:00,190500,2100,1.11%,35325,523502
1,2023-08-11,15:15:00,190600,2200,1.17%,7516,488177
2,2023-08-11,15:10:00,191000,2600,1.38%,9692,480661
3,2023-08-11,15:05:00,190800,2400,1.27%,5427,470969
4,2023-08-11,15:00:00,190900,2500,1.33%,6318,465542
5,2023-08-11,14:55:00,191000,2600,1.38%,5946,459224
6,2023-08-11,14:50:00,191100,2700,1.43%,4125,453278
7,2023-08-11,14:45:00,191100,2700,1.43%,4313,449153
8,2023-08-11,14:40:00,191000,2600,1.38%,2574,444840
9,2023-08-11,14:35:00,191200,2800,1.49%,5731,442266
10,2023-08-11,14:30:00,191000,2600,1.38%,4919,436535
11,2023-08-11,14:25:00,191000,2600,1.38%,3545,431616
12,2023-08-11,14:20:00,191200,2800,1.49%,8231,428071
13,2023-08-11,14:15:00,191000,2600,1.38%,3218,419840
14,2023-08-11,14:10:00,191000,2600,1.38%,4374,416622
15,2023-08-11,14:05:00,191000,2600,1.38%,3730,412248
16,2023-08-11,14:00:00,191200,2800,1.49%,2929,408518
17,2023-08-11,13:55:00,191400,3000,1.59%,4568,405589
18,2023-08-11,13:50:00,191400,3000,1.59%,3305,401021
19,2023-08-11,13:45:00,191400,3000,1.59%,1341,397716
20,2023-08-11,13:40:00,191500,3100,1.65%,4406,396375
21,2023-08-11,13:35:00,191300,2900,1.54%,3117,391969
22,2023-08-11,13:30:00,191200,2800,1.49%,3389,388852
23,2023-08-11,13:25:00,191200,2800,1.49%,5495,385463
24,2023-08-11,13:20:00,191300,2900,1.54%,9849,379968
25,2023-08-11,13:15:00,191400,3000,1.59%,2311,370119
26,2023-08-11,13:10:00,191500,3100,1.65%,3146,367808
27,2023-08-11,13:05:00,191500,3100,1.65%,1902,364662
28,2023-08-11,13:00:00,191600,3200,1.70%,2979,362760
29,2023-08-11,12:55:00,191500,3100,1.65%,981,359781
30,2023-08-11,12:50:00,191700,3300,1.75%,3161,358800
31,2023-08-11,12:45:00,191600,3200,1.70%,1355,355639
32,2023-08-11,12:40:00,191600,3200,1.70%,2082,354284
33,2023-08-11,12:35:00,191600,3200,1.70%,4456,352202
34,2023-08-11,12:30:00,191700,3300,1.75%,1565,347746
35,2023-08-11,12:25:00,191900,3500,1.86%,2696,346181
36,2023-08-11,12:20:00,191900,3500,1.86%,1989,343485
37,2023-08-11,12:15:00,191900,3500,1.86%,3491,341496
38,2023-08-11,12:10:00,192000,3600,1.91%,1615,338005
39,2023-08-11,12:05:00,192000,3600,1.91%,3622,336390
40,2023-08-11,12:00:00,191800,3400,1.80%,1705,332768
41,2023-08-11,11:55:00,191600,3200,1.70%,2744,331063
42,2023-08-11,11:50:00,191500,3100,1.65%,3114,328319
43,2023-08-11,11:45:00,191700,3300,1.75%,2443,325205
44,2023-08-11,11:40:00,191800,3400,1.80%,1617,322762
45,2023-08-11,11:35:00,191900,3500,1.86%,2498,321145
46,2023-08-11,11:30:00,192100,3700,1.96%,2780,318647
47,2023-08-11,11:25:00,192100,3700,1.96%,3976,315867
48,2023-08-11,11:20:00,192100,3700,1.96%,5024,311891
49,2023-08-11,11:15:00,192100,3700,1.96%,5828,306867
50,2023-08-11,11:10:00,192200,3800,2.02%,5192,301039
51,2023-08-11,11:05:00,191900,3500,1.86%,2941,295847
52,2023-08-11,11:00:00,191800,3400,1.80%,3452,292906
53,2023-08-11,10:55:00,191400,3000,1.59%,1996,289454
54,2023-08-11,10:50:00,191700,3300,1.75%,2954,287458
55,2023-08-11,10:45:00,192300,3900,2.07%,5459,284504
56,2023-08-11,10:40:00,192300,3900,2.07%,7295,279045
57,2023-08-11,10:35:00,192200,3800,2.02%,6588,271750
58,2023-08-11,10:30:00,191900,3500,1.86%,5126,265162
59,2023-08-11,10:25:00,192300,3900,2.07%,3017,260036
60,2023-08-11,10:20:00,192400,4000,2.12%,6484,257019
61,2023-08-11,10:15:00,192400,4000,2.12%,5218,250535
62,2023-08-11,10:10:00,192000,3600,1.91%,4189,245317
63,2023-08-11,10:05:00,192000,3600,1.91%,3661,241128
64,2023-08-11,10:00:00,191900,3500,1.86%,6843,237467
65,2023-08-11,09:55:00,191600,3200,1.70%,3612,230624
66,2023-08-11,09:50:00,192100,3700,1.96%,6740,227012
67,2023-08-11,09:45:00,192200,3800,2.02%,11209,220272
68,2023-08-11,09:40:00,192000,3600,1.91%,8621,209063
69,2023-08-11,09:35:00,191200,2800,1.49%,8369,200442
70,2023-08-11,09:30:00,192300,3900,2.07%,17862,192073
71,2023-08-11,09:25:00,193000,4600,2.44%,13203,174211
72,2023-08-11,09:20:00,193200,4800,2.55%,33089,161008
73,2023-08-11,09:15:00,192800,4400,2.34%,25295,127919
74,2023-08-11,09:10:00,192300,3900,2.07%,19359,102624
75,2023-08-11,09:05:00,192500,4100,2.18%,39181,83265
76,2023-08-11,09:00:00,191900,3500,1.86%,44084,44084
