,date,time,price,change,change(%),amount,volume
0,2024-04-04,15:30:00,90700,600,0.67%,23912,142045
1,2024-04-04,15:15:00,91000,900,1.00%,4721,118133
2,2024-04-04,15:10:00,91300,1200,1.33%,4233,113411
3,2024-04-04,15:05:00,91200,1100,1.22%,2196,109178
4,2024-04-04,15:00:00,91200,1100,1.22%,1617,106982
5,2024-04-04,14:55:00,91200,1100,1.22%,2372,105364
6,2024-04-04,14:50:00,91200,1100,1.22%,2365,102992
7,2024-04-04,14:45:00,91300,1200,1.33%,2780,100627
8,2024-04-04,14:40:00,91300,1200,1.33%,1969,97847
9,2024-04-04,14:35:00,91300,1200,1.33%,1743,95878
10,2024-04-04,14:30:00,91300,1200,1.33%,2109,94135
11,2024-04-04,14:25:00,91300,1200,1.33%,2264,92026
12,2024-04-04,14:20:00,91300,1200,1.33%,2044,89762
13,2024-04-04,14:15:00,91400,1300,1.44%,2512,87718
14,2024-04-04,14:10:00,91300,1200,1.33%,1312,85206
15,2024-04-04,14:05:00,91300,1200,1.33%,2519,83894
16,2024-04-04,14:00:00,91400,1300,1.44%,1272,81375
17,2024-04-04,13:55:00,91400,1300,1.44%,2270,80103
18,2024-04-04,13:50:00,91300,1200,1.33%,3352,77833
19,2024-04-04,13:45:00,91300,1200,1.33%,1659,74481
20,2024-04-04,13:40:00,91300,1200,1.33%,1380,72822
21,2024-04-04,13:35:00,91200,1100,1.22%,1110,71442
22,2024-04-04,13:30:00,91300,1200,1.33%,1090,70332
23,2024-04-04,13:25:00,91400,1300,1.44%,4880,69242
24,2024-04-04,13:20:00,91200,1100,1.22%,3268,64362
25,2024-04-04,13:15:00,91200,1100,1.22%,3421,61094
26,2024-04-04,13:10:00,91000,900,1.00%,2514,57673
27,2024-04-04,13:05:00,90600,500,0.55%,906,55159
28,2024-04-04,13:00:00,90600,500,0.55%,498,54253
29,2024-04-04,12:55:00,90600,500,0.55%,700,53755
30,2024-04-04,12:50:00,90700,600,0.67%,663,53055
31,2024-04-04,12:45:00,90600,500,0.55%,1073,52392
32,2024-04-04,12:40:00,90600,500,0.55%,606,51319
33,2024-04-04,12:35:00,90700,600,0.67%,649,50713
34,2024-04-04,12:30:00,90600,500,0.55%,746,50064
35,2024-04-04,12:25:00,90600,500,0.55%,572,49318
36,2024-04-04,12:20:00,90600,500,0.55%,745,48746
37,2024-04-04,12:15:00,90600,500,0.55%,638,48001
38,2024-04-04,12:10:00,90500,400,0.44%,683,47363
39,2024-04-04,12:05:00,90500,400,0.44%,718,46680
40,2024-04-04,12:00:00,90500,400,0.44%,1345,45962
41,2024-04-04,11:55:00,90300,200,0.22%,1534,44617
42,2024-04-04,11:50:00,90300,200,0.22%,852,43083
43,2024-04-04,11:45:00,90300,200,0.22%,927,42231
44,2024-04-04,11:40:00,90300,200,0.22%,940,41304
45,2024-04-04,11:35:00,90300,200,0.22%,987,40364
46,2024-04-04,11:30:00,90300,200,0.22%,646,39377
47,2024-04-04,11:25:00,90300,200,0.22%,627,38731
48,2024-04-04,11:20:00,90300,200,0.22%,940,38104
49,2024-04-04,11:15:00,90300,200,0.22%,1736,37164
50,2024-04-04,11:10:00,90200,100,0.11%,640,35428
51,2024-04-04,11:05:00,90300,200,0.22%,2151,34788
52,2024-04-04,11:00:00,90300,200,0.22%,836,32637
53,2024-04-04,10:55:00,90300,200,0.22%,832,31801
54,2024-04-04,10:50:00,90400,300,0.33%,1679,30969
55,2024-04-04,10:45:00,90400,300,0.33%,916,29290
56,2024-04-04,10:40:00,90400,300,0.33%,1820,28374
57,2024-04-04,10:35:00,90500,400,0.44%,832,26554
58,2024-04-04,10:30:00,90700,600,0.67%,2390,25722
59,2024-04-04,10:25:00,90700,600,0.67%,470,23332
60,2024-04-04,10:20:00,90700,600,0.67%,559,22862
61,2024-04-04,10:15:00,90700,600,0.67%,502,22303
62,2024-04-04,10:10:00,90800,700,0.78%,1224,21801
63,2024-04-04,10:05:00,90900,800,0.89%,623,20577
64,2024-04-04,10:00:00,91000,900,1.00%,1163,19954
65,2024-04-04,09:55:00,90900,800,0.89%,1169,18791
66,2024-04-04,09:50:00,90900,800,0.89%,184,17622
67,2024-04-04,09:45:00,91100,1000,1.11%,1439,17438
68,2024-04-04,09:40:00,91100,1000,1.11%,322,15999
69,2024-04-04,09:35:00,90900,800,0.89%,1285,15677
70,2024-04-04,09:30:00,91200,1100,1.22%,1446,14392
71,2024-04-04,09:25:00,91200,1100,1.22%,1511,12946
72,2024-04-04,09:20:00,91200,1100,1.22%,959,11435
73,2024-04-04,09:15:00,91200,1100,1.22%,984,10476
74,2024-04-04,09:10:00,91300,1200,1.33%,1525,9492
75,2024-04-04,09:05:00,91100,1000,1.11%,2917,7967
76,2024-04-04,09:00:00,91400,1300,1.44%,5050,5050
