,date,time,price,change,change(%),amount,volume
0,2023-11-13,15:30:00,192600,2100,-1.08%,44818,493647
1,2023-11-13,15:15:00,193000,2100,-1.08%,12041,448829
2,2023-11-13,15:10:00,193100,2200,-1.13%,14803,436695
3,2023-11-13,15:05:00,193100,1900,-0.97%,8566,421859
4,2023-11-13,15:00:00,193300,1800,-0.92%,11211,413293
5,2023-11-13,14:55:00,193500,1600,-0.82%,7195,402082
6,2023-11-13,14:50:00,193600,1500,-0.77%,6972,394887
7,2023-11-13,14:45:00,193800,1200,-0.62%,4078,387915
8,2023-11-13,14:40:00,194000,1000,-0.51%,4947,383826
9,2023-11-13,14:35:00,194100,900,-0.46%,3436,378879
10,2023-11-13,14:30:00,194300,900,-0.46%,4225,375443
11,2023-11-13,14:25:00,194600,500,-0.26%,4099,371218
12,2023-11-13,14:20:00,196400,1700,0.87%,12066,367119
13,2023-11-13,14:15:00,194100,1200,-0.61%,6217,355053
14,2023-11-13,14:10:00,193800,1300,-0.67%,3809,348836
15,2023-11-13,14:05:00,193800,1400,-0.72%,5065,345027
16,2023-11-13,14:00:00,193700,1500,-0.77%,4332,339962
17,2023-11-13,13:55:00,193600,1500,-0.77%,6615,335630
18,2023-11-13,13:50:00,193700,1200,-0.62%,3574,329015
19,2023-11-13,13:45:00,193800,1200,-0.62%,6423,325441
20,2023-11-13,13:40:00,193900,1000,-0.51%,2330,319018
21,2023-11-13,13:35:00,194100,900,-0.46%,2672,316688
22,2023-11-13,13:30:00,194200,800,-0.41%,3639,314016
23,2023-11-13,13:25:00,194100,800,-0.41%,2966,310377
24,2023-11-13,13:20:00,194200,900,-0.46%,2716,307411
25,2023-11-13,13:15:00,194400,1000,-0.51%,5461,304695
26,2023-11-13,13:10:00,193800,1100,-0.56%,2273,299234
27,2023-11-13,13:05:00,193900,1100,-0.56%,4168,296961
28,2023-11-13,13:00:00,193900,1100,-0.56%,5333,292793
29,2023-11-13,12:55:00,194000,1000,-0.51%,3578,287460
30,2023-11-13,12:50:00,194100,900,-0.46%,2410,283882
31,2023-11-13,12:45:00,194100,700,-0.36%,1133,281472
32,2023-11-13,12:40:00,194300,900,-0.46%,7113,280339
33,2023-11-13,12:35:00,194200,600,-0.31%,1254,273226
34,2023-11-13,12:30:00,194200,700,-0.36%,2073,271972
35,2023-11-13,12:25:00,194100,700,-0.36%,1495,269899
36,2023-11-13,12:20:00,194100,800,-0.41%,1749,268404
37,2023-11-13,12:15:00,194000,1000,-0.51%,1995,266655
38,2023-11-13,12:10:00,193900,1100,-0.56%,4051,264660
39,2023-11-13,12:05:00,194000,1000,-0.51%,3939,260609
40,2023-11-13,12:00:00,194300,800,-0.41%,5368,256670
41,2023-11-13,11:55:00,194400,500,-0.26%,3570,251302
42,2023-11-13,11:50:00,194800,400,0.21%,6548,247732
43,2023-11-13,11:45:00,194800,100,0.05%,2686,241184
44,2023-11-13,11:40:00,194800,100,0.05%,1473,238498
45,2023-11-13,11:35:00,194800,100,0.05%,1671,237025
46,2023-11-13,11:30:00,194800,100,0.05%,3087,235354
47,2023-11-13,11:25:00,194800,100,0.05%,1191,232267
48,2023-11-13,11:20:00,195000,300,0.15%,4318,231076
49,2023-11-13,11:15:00,195100,400,0.21%,1720,226758
50,2023-11-13,11:10:00,195200,500,0.26%,2998,225038
51,2023-11-13,11:05:00,195000,300,0.15%,2973,222040
52,2023-11-13,11:00:00,195400,700,0.36%,2131,219067
53,2023-11-13,10:55:00,195300,600,0.31%,3056,216936
54,2023-11-13,10:50:00,195400,700,0.36%,4545,213880
55,2023-11-13,10:45:00,195300,600,0.31%,1861,209335
56,2023-11-13,10:40:00,195300,600,0.31%,4682,207474
57,2023-11-13,10:35:00,195300,600,0.31%,2996,202792
58,2023-11-13,10:30:00,195400,700,0.36%,4220,199796
59,2023-11-13,10:25:00,194800,100,0.05%,5726,195576
60,2023-11-13,10:20:00,195200,500,0.26%,12313,189850
61,2023-11-13,10:15:00,195600,900,0.46%,5998,177537
62,2023-11-13,10:10:00,196000,1300,0.67%,7154,171539
63,2023-11-13,10:05:00,196400,1700,0.87%,4783,164385
64,2023-11-13,10:00:00,197000,2300,1.18%,3629,159602
65,2023-11-13,09:55:00,197100,2400,1.23%,3041,155973
66,2023-11-13,09:50:00,197200,2500,1.28%,5119,152932
67,2023-11-13,09:45:00,197300,2600,1.34%,10094,147813
68,2023-11-13,09:40:00,197000,2300,1.18%,12683,137719
69,2023-11-13,09:35:00,196900,2200,1.13%,8629,125036
70,2023-11-13,09:30:00,196900,2200,1.13%,17351,116407
71,2023-11-13,09:25:00,197200,2500,1.28%,4900,99056
72,2023-11-13,09:20:00,197300,2600,1.34%,9961,94156
73,2023-11-13,09:15:00,197900,3200,1.64%,13577,84195
74,2023-11-13,09:10:00,197500,2800,1.44%,16228,70618
75,2023-11-13,09:05:00,198200,3500,1.80%,13607,54390
76,2023-11-13,09:00:00,199000,4300,2.21%,40783,40783
