,date,time,price,change,change(%),amount,volume
0,2025-11-27,15:30:00,251500,12000,-4.55%,64310,2023460
1,2025-11-27,15:15:00,252000,12000,-4.55%,16255,1959150
2,2025-11-27,15:10:00,252000,12000,-4.55%,16776,1942895
3,2025-11-27,15:05:00,252000,12000,-4.55%,12720,1926119
4,2025-11-27,15:00:00,252000,12500,-4.73%,23576,1913399
5,2025-11-27,14:55:00,251500,12500,-4.73%,14178,1889823
6,2025-11-27,14:50:00,251500,13000,-4.91%,54476,1875645
7,2025-11-27,14:45:00,251750,12500,-4.73%,32537,1821169
8,2025-11-27,14:40:00,252000,12000,-4.55%,15001,1788632
9,2025-11-27,14:35:00,252500,12000,-4.54%,23359,1773631
10,2025-11-27,14:30:00,252500,11500,-4.36%,14342,1750272
11,2025-11-27,14:25:00,253000,11500,-4.35%,30295,1735930
12,2025-11-27,14:20:00,252500,12000,-4.54%,11940,1705635
13,2025-11-27,14:15:00,252500,12000,-4.54%,61226,1693695
14,2025-11-27,14:10:00,252500,11500,-4.36%,9362,1632469
15,2025-11-27,14:05:00,253000,11500,-4.35%,20820,1623107
16,2025-11-27,14:00:00,253000,11000,-4.17%,8948,1602287
17,2025-11-27,13:55:00,253000,11000,-4.17%,21169,1593339
18,2025-11-27,13:50:00,253000,11000,-4.17%,8488,1572170
19,2025-11-27,13:45:00,253000,11000,-4.17%,11406,1563682
20,2025-11-27,13:40:00,253000,11000,-4.17%,8700,1552276
21,2025-11-27,13:35:00,253750,11000,-4.15%,18734,1543576
22,2025-11-27,13:30:00,254000,10000,-3.79%,6671,1524842
23,2025-11-27,13:25:00,254000,11500,-4.33%,44664,1518171
24,2025-11-27,13:20:00,252750,11500,-4.35%,32323,1473507
25,2025-11-27,13:15:00,253500,11000,-4.16%,21037,1441184
26,2025-11-27,13:10:00,253500,10500,-3.98%,18049,1420147
27,2025-11-27,13:05:00,254000,10500,-3.97%,37601,1402098
28,2025-11-27,13:00:00,254500,10000,-3.78%,32477,1364497
29,2025-11-27,12:55:00,254500,10000,-3.78%,21145,1332020
30,2025-11-27,12:50:00,254500,10000,-3.78%,29755,1310875
31,2025-11-27,12:45:00,255000,9500,-3.59%,16804,1281120
32,2025-11-27,12:40:00,255000,9000,-3.41%,5113,1264316
33,2025-11-27,12:35:00,255250,9000,-3.41%,10177,1259203
34,2025-11-27,12:30:00,255500,8500,-3.22%,3442,1249026
35,2025-11-27,12:25:00,255500,8500,-3.22%,4009,1245584
36,2025-11-27,12:20:00,255500,8500,-3.22%,2641,1241575
37,2025-11-27,12:15:00,255500,9000,-3.40%,11421,1238934
38,2025-11-27,12:10:00,255000,9000,-3.41%,9088,1227513
39,2025-11-27,12:05:00,255000,9000,-3.41%,7238,1218425
40,2025-11-27,12:00:00,255500,9000,-3.40%,13925,1211187
41,2025-11-27,11:55:00,255500,9000,-3.40%,17707,1197262
42,2025-11-27,11:50:00,255000,9000,-3.41%,9645,1179555
43,2025-11-27,11:45:00,255500,9000,-3.40%,9714,1169910
44,2025-11-27,11:40:00,255500,9000,-3.40%,25444,1160196
45,2025-11-27,11:35:00,256000,8500,-3.21%,16102,1134752
46,2025-11-27,11:30:00,256000,8000,-3.03%,5581,1118650
47,2025-11-27,11:25:00,256000,8000,-3.03%,5425,1113069
48,2025-11-27,11:20:00,256000,8000,-3.03%,4184,1107644
49,2025-11-27,11:15:00,256000,8500,-3.21%,13400,1103460
50,2025-11-27,11:10:00,256500,8000,-3.02%,7638,1090060
51,2025-11-27,11:05:00,256500,8000,-3.02%,11234,1082422
52,2025-11-27,11:00:00,257000,7500,-2.84%,9849,1071188
53,2025-11-27,10:55:00,256500,8000,-3.02%,15727,1061339
54,2025-11-27,10:50:00,256000,8500,-3.21%,19745,1045612
55,2025-11-27,10:45:00,256500,8500,-3.21%,19517,1025867
56,2025-11-27,10:40:00,256500,8000,-3.02%,9500,1006350
57,2025-11-27,10:35:00,256500,8000,-3.02%,22561,996850
58,2025-11-27,10:30:00,256500,9000,-3.39%,28210,974289
59,2025-11-27,10:25:00,257000,8000,-3.02%,30682,946079
60,2025-11-27,10:20:00,257000,7500,-2.84%,16126,915397
61,2025-11-27,10:15:00,257000,9000,-3.38%,29407,899271
62,2025-11-27,10:10:00,255500,9500,-3.58%,78028,869864
63,2025-11-27,10:05:00,257000,8500,-3.20%,70104,791836
64,2025-11-27,10:00:00,258500,7000,-2.64%,26767,721732
65,2025-11-27,09:55:00,259250,5500,-2.08%,18469,694965
66,2025-11-27,09:50:00,260000,4500,-1.70%,10950,676496
67,2025-11-27,09:45:00,260000,5000,-1.89%,16549,665546
68,2025-11-27,09:40:00,259000,7500,-2.81%,39465,648997
69,2025-11-27,09:35:00,259000,7500,-2.81%,48305,609532
70,2025-11-27,09:30:00,259500,6000,-2.26%,32692,561227
71,2025-11-27,09:25:00,260500,4500,-1.70%,18242,528535
72,2025-11-27,09:20:00,261500,4500,-1.69%,29305,510293
73,2025-11-27,09:15:00,261000,6500,-2.43%,57984,480988
74,2025-11-27,09:10:00,259500,6500,-2.44%,37486,423004
75,2025-11-27,09:05:00,259500,6500,-2.44%,78960,385518
76,2025-11-27,09:00:00,261000,11500,-4.22%,306558,306558
