,date,time,price,change,change(%),amount,volume
0,2025-03-19,15:30:00,97500,700,0.72%,33420,225322
1,2025-03-19,15:15:00,97700,900,0.93%,2611,191902
2,2025-03-19,15:10:00,97700,900,0.93%,1771,189291
3,2025-03-19,15:05:00,97600,800,0.83%,2727,187520
4,2025-03-19,15:00:00,97500,700,0.72%,3218,184793
5,2025-03-19,14:55:00,97400,600,0.62%,1680,181575
6,2025-03-19,14:50:00,97500,700,0.72%,1802,179895
7,2025-03-19,14:45:00,97500,700,0.72%,4760,178093
8,2025-03-19,14:40:00,97400,600,0.62%,1937,173333
9,2025-03-19,14:35:00,97700,900,0.93%,9873,171396
10,2025-03-19,14:30:00,97700,900,0.93%,1528,161523
11,2025-03-19,14:25:00,97700,900,0.93%,1816,159995
12,2025-03-19,14:20:00,97700,900,0.93%,2219,158179
13,2025-03-19,14:15:00,97700,900,0.93%,1716,155960
14,2025-03-19,14:10:00,97700,900,0.93%,3574,154244
15,2025-03-19,14:05:00,97500,700,0.72%,1466,150670
16,2025-03-19,14:00:00,97500,700,0.72%,1823,149204
17,2025-03-19,13:55:00,97500,700,0.72%,1382,147381
18,2025-03-19,13:50:00,97500,700,0.72%,4184,145999
19,2025-03-19,13:45:00,97400,600,0.62%,1369,141815
20,2025-03-19,13:40:00,97500,700,0.72%,3927,140446
21,2025-03-19,13:35:00,97500,700,0.72%,1321,136519
22,2025-03-19,13:30:00,97500,700,0.72%,3027,135198
23,2025-03-19,13:25:00,97600,800,0.83%,4870,132171
24,2025-03-19,13:20:00,97600,800,0.83%,1598,127301
25,2025-03-19,13:15:00,97600,800,0.83%,1613,125703
26,2025-03-19,13:10:00,97600,800,0.83%,1911,124090
27,2025-03-19,13:05:00,97600,800,0.83%,1522,122179
28,2025-03-19,13:00:00,97600,800,0.83%,1537,120657
29,2025-03-19,12:55:00,97600,800,0.83%,1403,119120
30,2025-03-19,12:50:00,97600,800,0.83%,1822,117717
31,2025-03-19,12:45:00,97700,900,0.93%,1182,115895
32,2025-03-19,12:40:00,97700,900,0.93%,1692,114713
33,2025-03-19,12:35:00,97700,900,0.93%,1358,113021
34,2025-03-19,12:30:00,97700,900,0.93%,1703,111663
35,2025-03-19,12:25:00,97700,900,0.93%,1489,109960
36,2025-03-19,12:20:00,97900,1100,1.14%,3683,108471
37,2025-03-19,12:15:00,97900,1100,1.14%,1383,104788
38,2025-03-19,12:10:00,97900,1100,1.14%,1502,103405
39,2025-03-19,12:05:00,97900,1100,1.14%,1299,101903
40,2025-03-19,12:00:00,98000,1200,1.24%,2550,100604
41,2025-03-19,11:55:00,98000,1200,1.24%,1397,98054
42,2025-03-19,11:50:00,98000,1200,1.24%,1197,96657
43,2025-03-19,11:45:00,98000,1200,1.24%,1336,95460
44,2025-03-19,11:40:00,98000,1200,1.24%,1222,94124
45,2025-03-19,11:35:00,98100,1300,1.34%,6681,92902
46,2025-03-19,11:30:00,98300,1500,1.55%,7541,86221
47,2025-03-19,11:25:00,98000,1200,1.24%,3683,78680
48,2025-03-19,11:20:00,97900,1100,1.14%,1392,74997
49,2025-03-19,11:15:00,97900,1100,1.14%,1331,73605
50,2025-03-19,11:10:00,97900,1100,1.14%,1281,72274
51,2025-03-19,11:05:00,97900,1100,1.14%,1909,70993
52,2025-03-19,11:00:00,97900,1100,1.14%,1824,69084
53,2025-03-19,10:55:00,97900,1100,1.14%,4904,67260
54,2025-03-19,10:50:00,97700,900,0.93%,2129,62356
55,2025-03-19,10:45:00,97700,900,0.93%,2202,60227
56,2025-03-19,10:40:00,97800,1000,1.03%,2387,58025
57,2025-03-19,10:35:00,97900,1100,1.14%,2728,55638
58,2025-03-19,10:30:00,97900,1100,1.14%,1467,52910
59,2025-03-19,10:25:00,97900,1100,1.14%,1541,51443
60,2025-03-19,10:20:00,97900,1100,1.14%,3115,49902
61,2025-03-19,10:15:00,97900,1100,1.14%,1634,46787
62,2025-03-19,10:10:00,97900,1100,1.14%,3328,45153
63,2025-03-19,10:05:00,97900,1100,1.14%,6264,41825
64,2025-03-19,10:00:00,97600,800,0.83%,2158,35561
65,2025-03-19,09:55:00,97900,1100,1.14%,2550,33403
66,2025-03-19,09:50:00,97900,1100,1.14%,1893,30853
67,2025-03-19,09:45:00,97900,1100,1.14%,2131,28960
68,2025-03-19,09:40:00,98000,1200,1.24%,3462,26829
69,2025-03-19,09:35:00,98000,1200,1.24%,6882,23367
70,2025-03-19,09:30:00,97500,700,0.72%,2906,16485
71,2025-03-19,09:25:00,97300,500,0.52%,600,13579
72,2025-03-19,09:20:00,97400,600,0.62%,2719,12979
73,2025-03-19,09:15:00,97200,400,0.41%,1520,10260
74,2025-03-19,09:10:00,97350,550,0.57%,1344,8740
75,2025-03-19,09:05:00,97600,800,0.83%,4497,7396
76,2025-03-19,09:00:00,97400,600,0.62%,2899,2899
