,date,time,price,change,change(%),amount,volume
0,2023-05-10,15:30:00,210000,1000,-0.47%,33324,759307
1,2023-05-10,15:15:00,210500,1500,-0.71%,15791,725983
2,2023-05-10,15:10:00,210500,1000,-0.47%,5410,710192
3,2023-05-10,15:05:00,210500,1500,-0.71%,8445,704782
4,2023-05-10,15:00:00,210000,1500,-0.71%,5004,696337
5,2023-05-10,14:55:00,210000,2000,-0.94%,8643,691333
6,2023-05-10,14:50:00,210000,2000,-0.94%,15171,682690
7,2023-05-10,14:45:00,210000,1500,-0.71%,3542,667519
8,2023-05-10,14:40:00,210000,2000,-0.94%,6581,663977
9,2023-05-10,14:35:00,210500,2000,-0.94%,17666,657396
10,2023-05-10,14:30:00,211500,1000,0.00%,19745,639730
11,2023-05-10,14:25:00,211500,500,0.00%,5807,619985
12,2023-05-10,14:20:00,211500,500,0.24%,3329,614178
13,2023-05-10,14:15:00,211500,500,0.24%,4980,610849
14,2023-05-10,14:10:00,211500,500,0.00%,7865,605869
15,2023-05-10,14:05:00,211500,500,0.00%,14943,598004
16,2023-05-10,14:00:00,211000,500,0.00%,3918,583061
17,2023-05-10,13:55:00,211000,500,-0.24%,4652,579143
18,2023-05-10,13:50:00,211000,500,0.00%,3346,574491
19,2023-05-10,13:45:00,211000,500,0.00%,3904,571145
20,2023-05-10,13:40:00,211000,1500,-0.71%,18938,567241
21,2023-05-10,13:35:00,210000,1500,-0.71%,2641,548303
22,2023-05-10,13:30:00,210000,1500,-0.71%,2871,545662
23,2023-05-10,13:25:00,210000,2000,-0.94%,12826,542791
24,2023-05-10,13:20:00,210000,1500,-0.71%,2336,529965
25,2023-05-10,13:15:00,210000,1500,-0.71%,3054,527629
26,2023-05-10,13:10:00,210000,1500,-0.71%,1893,524575
27,2023-05-10,13:05:00,210000,1500,-0.71%,6129,522682
28,2023-05-10,13:00:00,210000,2000,-0.94%,8976,516553
29,2023-05-10,12:55:00,210000,1500,-0.71%,2027,507577
30,2023-05-10,12:50:00,210000,1500,-0.71%,1467,505550
31,2023-05-10,12:45:00,210000,2500,-1.18%,16848,504083
32,2023-05-10,12:40:00,209500,2000,-0.95%,2024,487235
33,2023-05-10,12:35:00,209500,2000,-0.95%,1781,485211
34,2023-05-10,12:30:00,209500,2000,-0.95%,1637,483430
35,2023-05-10,12:25:00,210000,2000,-0.94%,2841,481793
36,2023-05-10,12:20:00,210000,2500,-1.18%,9966,478952
37,2023-05-10,12:15:00,210000,2000,-0.94%,1662,468986
38,2023-05-10,12:10:00,210000,2500,-1.18%,14649,467324
39,2023-05-10,12:05:00,210000,1500,-0.71%,1794,452675
40,2023-05-10,12:00:00,210000,1500,-0.71%,1556,450881
41,2023-05-10,11:55:00,210000,1500,-0.71%,3242,449325
42,2023-05-10,11:50:00,210000,1500,-0.71%,3370,446083
43,2023-05-10,11:45:00,210000,1500,-0.71%,3806,442713
44,2023-05-10,11:40:00,210000,1500,-0.71%,3053,438907
45,2023-05-10,11:35:00,210000,2000,-0.94%,7259,435854
46,2023-05-10,11:30:00,209500,2000,-0.95%,3245,428595
47,2023-05-10,11:25:00,209500,2000,-0.95%,4001,425350
48,2023-05-10,11:20:00,209500,2000,-0.95%,3579,421349
49,2023-05-10,11:15:00,209500,2000,-0.95%,1728,417770
50,2023-05-10,11:10:00,210000,2000,-0.94%,4393,416042
51,2023-05-10,11:05:00,210000,2000,-0.94%,5147,411649
52,2023-05-10,11:00:00,210000,2000,-0.94%,7159,406502
53,2023-05-10,10:55:00,210000,2000,-0.94%,5436,399343
54,2023-05-10,10:50:00,210000,1500,-0.71%,6049,393907
55,2023-05-10,10:45:00,210000,1500,-0.71%,4282,387858
56,2023-05-10,10:40:00,210500,1500,-0.71%,7440,383576
57,2023-05-10,10:35:00,211000,1000,0.00%,7337,376136
58,2023-05-10,10:30:00,211000,500,-0.24%,3992,368799
59,2023-05-10,10:25:00,211000,1000,-0.47%,4747,364807
60,2023-05-10,10:20:00,210500,1000,-0.47%,5086,360060
61,2023-05-10,10:15:00,211000,1000,-0.47%,20335,354974
62,2023-05-10,10:10:00,210500,1000,-0.47%,4746,334639
63,2023-05-10,10:05:00,210500,1000,-0.47%,5085,329893
64,2023-05-10,10:00:00,210500,1500,-0.71%,5519,324808
65,2023-05-10,09:55:00,210500,1500,-0.71%,17646,319289
66,2023-05-10,09:50:00,210000,1500,-0.71%,2945,301643
67,2023-05-10,09:45:00,210000,2000,-0.94%,9819,298698
68,2023-05-10,09:40:00,210000,1500,-0.71%,5862,288879
69,2023-05-10,09:35:00,210000,2000,-0.94%,9128,283017
70,2023-05-10,09:30:00,209500,3000,-1.41%,22368,273889
71,2023-05-10,09:25:00,209000,4500,-2.11%,41123,251521
72,2023-05-10,09:20:00,210000,3000,-1.41%,49676,210398
73,2023-05-10,09:15:00,211000,2000,-0.94%,35845,160722
74,2023-05-10,09:10:00,212500,1500,0.71%,40816,124877
75,2023-05-10,09:05:00,212000,1000,0.00%,26326,84061
76,2023-05-10,09:00:00,212000,1500,0.00%,57735,57735
