,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-06-22,-0.26087857438872775,-9.68581081081081,-0.8614585025174598,-0.323273140548049,-5.320557491289199,-389.9,-1.1834710743801653,1.0,-1.0226960110041265,-1.0,-1.1386392811296533,-1.13671875,0.006060606060606061,0.004842615012106538,0.009913258983890954,-0.0012165450121654502,-0.2737376509330406,-0.16,-0.18,-0.15,-0.1,-0.13,-0.13,-1.93,-3.73,-0.24,-3.62,-4.13,0.82,-4.03,-2.74,0.45,-1.12,-4.11,-4.03,1,0,0,1,0,0
2022-06-23,1.0285954583683767,1.192143134966939,0.6764361078546307,-0.8301922000373204,0.2846774193548387,-1.5379274877860634,-0.9009009009009009,-1.0197238658777121,-0.9393939393939394,-1.6206896551724137,-0.09259259259259259,1.0857142857142856,-0.014457831325301205,-0.006024096385542169,-0.006134969325153374,-0.0048721071863581,0.7469299074249008,0.64,0.66,1.62,1.48,0.95,0.98,-0.22,2.9,0.19,-2.25,-1.63,2.57,-4.36,-1.22,0.17,-0.65,0.35,-1.81,2,0,1,1,1,1
2022-06-24,1.1510503040353786,-1.8488289567068843,14.423776223776224,11.32967032967033,-2.1927181418706843,3.2366156787762907,61.0,60.3,39.0,-5.166666666666667,-18.26530612244898,-1.2191780821917808,-0.003667481662591687,0.0048484848484848485,0.0024691358024691358,0.0036719706242350062,0.4629319201860163,2.69,2.66,3.34,3.43,3.06,3.07,-1.43,-2.19,-0.22,1.58,1.69,3.24,5.03,2.26,-0.84,4.45,-6.27,3.21,3,0,1,1,1,0
2022-06-27,0.10799871506585287,-1.984113712374582,-0.3990297424737033,-0.30106951871657756,-0.92,-0.3883560871036895,-0.0718475073313783,0.46166394779771613,1.2875,0.06666666666666667,-0.5963356973995272,1.125,0.01717791411042945,0.006031363088057901,0.011083743842364532,0.013414634146341463,0.004829846479879747,-0.2,-0.21,-0.72,-0.82,-0.3,-0.32,2.73,1.06,-0.27,2.16,2.03,-0.58,2.71,1.49,-0.2,-0.18,-1.03,1.81,4,0,0,0,0,0
2022-06-28,-2.7632494491476285,-2.91928632115548,-2.6414183327046397,-1.8534812547819435,-13.322368421052632,-2.8487363954989853,-4.115323854660348,-0.9821428571428571,-6.775956284153006,0.55,-1.5109809663250366,-2.0588235294117645,0.0048250904704463205,-0.001199040767386091,-0.0194884287454324,-0.030084235860409144,-0.2735978615395934,-1.56,-1.55,-2.98,-3.04,-2.01,-2.0,-1.61,0.34,0.54,-0.76,-0.65,5.64,-0.14,0.84,0.45,-2.63,5.23,2.0,0,0,1,1,1,0
2022-06-29,-1.1533756453681476,-1.8308986277113768,-0.8829342280645309,-0.9158822650530405,0.08809396689802455,-1.1338056276192376,-0.8580121703853956,-1.0,-0.07852412488174078,-0.7338709677419355,-1.0830945558739256,-8.444444444444445,-0.028811524609843937,-0.021608643457382955,-0.004968944099378882,0.011166253101736972,-0.391620668118364,0.26,0.21,-0.03,0.14,-0.07,-0.11,0.08,0.0,0.58,-2.83,-2.22,-1.29,-0.93,-1.82,0.76,-2.2,-0.71,-1.77,1,0,0,0,0,0
2022-06-30,-2.6738850771869638,-1.0735215769845499,1.9108755398508048,6.05683836589698,-0.4563297350343474,-2.381804623415362,0.8392857142857143,-1.0,-1.5462012320328542,-0.5151515151515151,-6.172413793103448,-1.037313432835821,0.003708281829419036,0.0,-0.0024968789013732834,-0.01717791411042945,0.046058655420215866,-0.8,-0.7,-1.33,-1.38,-0.88,-0.83,-0.82,0.45,-0.38,-2.29,-2.87,-3.24,-2.22,-1.91,-1.11,-1.07,1.95,-3.66,2,0,0,0,0,0
2022-07-01,0.07403612142948636,2.6739130434782608,-0.1142433234421365,-0.5549962245154795,-0.004512635379061372,0.6006475984889369,1.7339805825242718,-1.0,1.0206766917293233,23.75,0.52,-2.7,-0.011083743842364532,-0.011042944785276074,-0.011264080100125156,-0.01373283395755306,0.22527253918994192,1.03,0.91,0.9,0.71,1.06,1.0,-4.07,-3.56,0.45,-4.22,-3.94,0.59,-2.14,-1.17,0.87,-3.83,-7.0,2.52,3,0,0,1,0,0
2022-07-06,0.15766306522609044,-1.8783849521647478,-0.9603399433427762,-0.8524527581599541,-2.7899543378995433,-1.6597643698679043,-0.1800302571860817,1.0,-0.09777138749101366,14.137931034482758,-1.4230769230769231,-4.090909090909091,0.014066496163682864,0.013853904282115869,0.01935483870967742,0.017699115044247787,-0.3469154300997309,0.23,0.25,0.35,0.61,0.36,0.37,-3.13,-1.45,0.58,4.09,6.14,8.9,-0.84,-2.13,-0.32,0.66,-2.94,-0.97,1,0,0,1,0,1
2022-07-07,-0.6180435534047701,-0.31308842532767217,-4.52073732718894,-9.54463130659767,-13.785714285714286,-1.4767316017316017,-2.5940959409594098,-1.0,-0.3298804780876494,-1.1617312072892938,-0.9292929292929293,-0.29411764705882354,0.0025220680958385876,0.006211180124223602,0.005063291139240506,-0.006211180124223602,0.24504748982360922,1.12,1.14,2.28,2.17,1.5,1.47,0.27,0.55,0.03,2.27,0.96,3.34,1.79,1.84,-0.55,4.48,-2.43,4.26,2,0,1,1,1,1
