시간,현재가,등락,등락률(%),체결량,거래량
06/21 15:30,61300,▲ 400,0.66,18606,130259
06/21 15:10,61000,▲ 100,0.16,3509,111653
06/21 15:00,61200,▲ 300,0.49,3825,108144
06/21 14:50,61100,▲ 200,0.33,3909,104319
06/21 14:40,61000,▲ 100,0.16,3203,100410
06/21 14:30,61100,▲ 200,0.33,4258,97207
06/21 14:20,61500,▲ 600,0.99,2516,92949
06/21 14:10,61400,▲ 500,0.82,7074,90433
06/21 14:00,61500,▲ 600,0.99,2515,83359
06/21 13:50,61600,▲ 700,1.15,4143,80844
06/21 13:40,61700,▲ 800,1.31,1491,76701
06/21 13:30,61700,▲ 800,1.31,1624,75210
06/21 13:20,61600,▲ 700,1.15,1545,73586
06/21 13:10,61600,▲ 700,1.15,1670,72041
06/21 13:00,61600,▲ 700,1.15,1175,70371
06/21 12:50,61600,▲ 700,1.15,1190,69196
06/21 12:40,61200,▲ 300,0.49,6215,68006
06/21 12:30,61400,▲ 500,0.82,5580,61791
06/21 12:20,61400,▲ 500,0.82,3925,56211
06/21 12:10,61300,▲ 400,0.66,3753,52286
06/21 13:20,61600,▲ 700,1.15,1545,73586
06/21 13:10,61600,▲ 700,1.15,1670,72041
06/21 13:00,61600,▲ 700,1.15,1175,70371
06/21 12:50,61600,▲ 700,1.15,1190,69196
06/21 12:40,61200,▲ 300,0.49,6215,68006
06/21 12:30,61400,▲ 500,0.82,5580,61791
06/21 12:20,61400,▲ 500,0.82,3925,56211
06/21 12:10,61300,▲ 400,0.66,3753,52286
06/21 12:00,61400,▲ 500,0.82,2668,48533
06/21 11:50,61600,▲ 700,1.15,1110,45865
06/21 11:40,61600,▲ 700,1.15,711,44755
06/21 11:30,61800,▲ 900,1.48,1351,44044
06/21 11:20,61700,▲ 800,1.31,1079,42693
06/21 11:10,61600,▲ 700,1.15,840,41614
06/21 11:00,61600,▲ 700,1.15,2247,40774
06/21 10:50,61500,▲ 600,0.99,1989,38527
06/21 10:40,61500,▲ 600,0.99,1376,36538
06/21 10:30,61500,▲ 600,0.99,1697,35162
06/21 10:20,61400,▲ 500,0.82,2224,33465
06/21 10:10,61500,▲ 600,0.99,1248,31241
06/21 10:00,61300,▲ 400,0.66,2090,29993
06/21 09:50,61400,▲ 500,0.82,3978,27903
06/21 09:40,61500,▲ 600,0.99,4147,23925
06/21 09:30,61400,▲ 500,0.82,3614,19778
06/21 09:20,61300,▲ 400,0.66,2201,16164
06/21 09:10,61000,▲ 100,0.16,6258,13963
06/21 09:00,61400,▲ 500,0.82,7705,7705
