시간,현재가,등락,등락률(%),체결량,거래량
06/22 15:50,57600,▼ 900,-1.54,5026,22954801
06/22 15:40,57600,▼ 900,-1.54,42990,22949775
06/22 15:30,57600,▼ 900,-1.54,1438687,22906785
06/22 15:10,57800,▼ 700,-1.2,592129,21468098
06/22 15:00,57800,▼ 700,-1.2,916534,20875969
06/22 14:50,57800,▼ 700,-1.2,1172710,19959435
06/22 14:40,58000,▼ 500,-0.85,858353,18786725
06/22 14:30,58000,▼ 500,-0.85,231725,17928372
06/22 14:20,58100,▼ 400,-0.68,231393,17696647
06/22 14:10,58100,▼ 400,-0.68,359624,17465254
06/22 14:00,58200,▼ 300,-0.51,477211,17105630
06/22 13:50,58200,▼ 300,-0.51,207052,16628419
06/22 13:40,58300,▼ 200,-0.34,220030,16421367
06/22 13:30,58200,▼ 300,-0.51,599113,16201337
06/22 13:20,58200,▼ 300,-0.51,93734,15602224
06/22 13:10,58100,▼ 400,-0.68,121140,15508490
06/22 13:00,58200,▼ 300,-0.51,96265,15387350
06/22 12:50,58200,▼ 300,-0.51,426564,15291085
06/22 12:40,58100,▼ 400,-0.68,369040,14864521
06/22 12:30,58100,▼ 400,-0.68,528094,14495481
06/22 13:20,58200,▼ 300,-0.51,93734,15602224
06/22 13:10,58100,▼ 400,-0.68,121140,15508490
06/22 13:00,58200,▼ 300,-0.51,96265,15387350
06/22 12:50,58200,▼ 300,-0.51,426564,15291085
06/22 12:40,58100,▼ 400,-0.68,369040,14864521
06/22 12:30,58100,▼ 400,-0.68,528094,14495481
06/22 12:20,58200,▼ 300,-0.51,513822,13967387
06/22 12:10,58100,▼ 400,-0.68,426009,13453565
06/22 12:00,58100,▼ 400,-0.68,89331,13027556
06/22 11:50,58000,▼ 500,-0.85,403175,12938225
06/22 11:40,58000,▼ 500,-0.85,975554,12535050
06/22 11:30,58000,▼ 500,-0.85,509498,11559496
06/22 11:20,58200,▼ 300,-0.51,117361,11049998
06/22 11:10,58200,▼ 300,-0.51,273097,10932637
06/22 11:00,58200,▼ 300,-0.51,697478,10659540
06/22 10:50,58100,▼ 400,-0.68,478139,9962062
06/22 10:40,58300,▼ 200,-0.34,2001218,9483923
06/22 10:30,58500,0,0.0,365005,7482705
06/22 10:20,58600,▲ 100,0.17,79754,7117700
06/22 10:10,58700,▲ 200,0.34,274802,7037946
06/22 10:00,58600,▲ 100,0.17,372535,6763144
06/22 09:50,58700,▲ 200,0.34,527036,6390609
06/22 09:40,58700,▲ 200,0.34,634488,5863573
06/22 09:30,58700,▲ 200,0.34,550380,5229085
06/22 09:20,58900,▲ 400,0.68,650520,4678705
06/22 09:10,58900,▲ 400,0.68,1038324,4028185
06/22 09:00,59000,▲ 500,0.85,2989258,2989861
06/22 08:30,58500,0,0.0,603,603
