시간,현재가,등락,등락률(%),체결량,거래량
06/24 15:50,58400,"▲ 1,000",1.74,965,23133782
06/24 15:40,58400,"▲ 1,000",1.74,25656,23132817
06/24 15:30,58400,"▲ 1,000",1.74,886116,23107161
06/24 15:10,58500,"▲ 1,100",1.92,469023,22221045
06/24 15:00,58600,"▲ 1,200",2.09,420743,21752022
06/24 14:50,58700,"▲ 1,300",2.26,358182,21331279
06/24 14:40,58800,"▲ 1,400",2.44,241970,20973097
06/24 14:30,58700,"▲ 1,300",2.26,572095,20731127
06/24 14:20,58600,"▲ 1,200",2.09,598766,20159032
06/24 14:10,58300,▲ 900,1.57,335349,19560266
06/24 14:00,58500,"▲ 1,100",1.92,529697,19224917
06/24 13:50,58300,▲ 900,1.57,385643,18695220
06/24 13:40,58100,▲ 700,1.22,423249,18309577
06/24 13:30,58200,▲ 800,1.39,250552,17886328
06/24 13:20,58100,▲ 700,1.22,240854,17635776
06/24 13:10,58200,▲ 800,1.39,232801,17394922
06/24 13:00,58200,▲ 800,1.39,250511,17162121
06/24 12:50,58200,▲ 800,1.39,242347,16911610
06/24 12:40,58100,▲ 700,1.22,290131,16669263
06/24 12:30,58300,▲ 900,1.57,440632,16379132
06/24 13:20,58100,▲ 700,1.22,240854,17635776
06/24 13:10,58200,▲ 800,1.39,232801,17394922
06/24 13:00,58200,▲ 800,1.39,250511,17162121
06/24 12:50,58200,▲ 800,1.39,242347,16911610
06/24 12:40,58100,▲ 700,1.22,290131,16669263
06/24 12:30,58300,▲ 900,1.57,440632,16379132
06/24 12:20,58200,▲ 800,1.39,676845,15938500
06/24 12:10,58200,▲ 800,1.39,66545,15261655
06/24 12:00,58300,▲ 900,1.57,571450,15195110
06/24 11:50,58500,"▲ 1,100",1.92,456943,14623660
06/24 11:40,58600,"▲ 1,200",2.09,261770,14166717
06/24 11:30,58600,"▲ 1,200",2.09,237696,13904947
06/24 11:20,58600,"▲ 1,200",2.09,290088,13667251
06/24 11:10,58700,"▲ 1,300",2.26,419814,13377163
06/24 11:00,58600,"▲ 1,200",2.09,232821,12957349
06/24 10:50,58500,"▲ 1,100",1.92,674133,12724528
06/24 10:40,58700,"▲ 1,300",2.26,1035879,12050395
06/24 10:30,58800,"▲ 1,400",2.44,727505,11014516
06/24 10:20,58900,"▲ 1,500",2.61,512739,10287011
06/24 10:10,58900,"▲ 1,500",2.61,782998,9774272
06/24 10:00,59000,"▲ 1,600",2.79,635510,8991274
06/24 09:50,58900,"▲ 1,500",2.61,438014,8355764
06/24 09:40,58800,"▲ 1,400",2.44,410674,7917750
06/24 09:30,58700,"▲ 1,300",2.26,1353055,7507076
06/24 09:20,58700,"▲ 1,300",2.26,1250299,6154021
06/24 09:10,58400,"▲ 1,000",1.74,1543446,4903722
06/24 09:00,58300,▲ 900,1.57,3357096,3360276
06/24 08:30,57400,0,0.0,3180,3180
