시간,현재가,등락,등락률(%),체결량,거래량
06/23 15:50,82600,▲ 400,0.49,19,335970
06/23 15:40,82600,▲ 400,0.49,215,335951
06/23 15:30,82600,▲ 400,0.49,37844,335736
06/23 15:10,82700,▲ 500,0.61,14721,297892
06/23 15:00,82800,▲ 600,0.73,12096,283171
06/23 14:50,82700,▲ 500,0.61,8496,271075
06/23 14:40,82900,▲ 700,0.85,7656,262579
06/23 14:30,82900,▲ 700,0.85,7223,254923
06/23 14:20,82700,▲ 500,0.61,7687,247700
06/23 14:10,82600,▲ 400,0.49,6532,240013
06/23 14:00,82700,▲ 500,0.61,4477,233481
06/23 13:50,82600,▲ 400,0.49,6090,229004
06/23 13:40,82700,▲ 500,0.61,6892,222914
06/23 13:30,82800,▲ 600,0.73,8553,216022
06/23 13:20,82900,▲ 700,0.85,11925,207469
06/23 13:10,82700,▲ 500,0.61,7380,195544
06/23 13:00,82600,▲ 400,0.49,7855,188164
06/23 12:50,82800,▲ 600,0.73,6778,180309
06/23 12:40,82900,▲ 700,0.85,6775,173531
06/23 12:30,83000,▲ 800,0.97,8026,166756
06/23 13:20,82900,▲ 700,0.85,11925,207469
06/23 13:10,82700,▲ 500,0.61,7380,195544
06/23 13:00,82600,▲ 400,0.49,7855,188164
06/23 12:50,82800,▲ 600,0.73,6778,180309
06/23 12:40,82900,▲ 700,0.85,6775,173531
06/23 12:30,83000,▲ 800,0.97,8026,166756
06/23 12:20,82900,▲ 700,0.85,4442,158730
06/23 12:10,83000,▲ 800,0.97,2370,154288
06/23 12:00,82900,▲ 700,0.85,4028,151918
06/23 11:50,83100,▲ 900,1.09,3345,147890
06/23 11:40,83100,▲ 900,1.09,5004,144545
06/23 11:30,83000,▲ 800,0.97,6584,139541
06/23 11:20,83000,▲ 800,0.97,6410,132957
06/23 11:10,83000,▲ 800,0.97,2638,126547
06/23 11:00,82900,▲ 700,0.85,4741,123909
06/23 10:50,83000,▲ 800,0.97,4676,119168
06/23 10:40,83200,"▲ 1,000",1.22,2974,114492
06/23 10:30,83200,"▲ 1,000",1.22,8328,111518
06/23 10:20,83300,"▲ 1,100",1.34,8087,103190
06/23 10:10,83200,"▲ 1,000",1.22,3644,95103
06/23 10:00,83200,"▲ 1,000",1.22,18648,91459
06/23 09:50,82800,▲ 600,0.73,3949,72811
06/23 09:40,82600,▲ 400,0.49,7504,68862
06/23 09:30,82700,▲ 500,0.61,13493,61358
06/23 09:20,82500,▲ 300,0.36,7541,47865
06/23 09:10,82700,▲ 500,0.61,11897,40324
06/23 09:00,82900,▲ 700,0.85,28410,28427
06/23 08:30,82200,0,0.0,17,17
