시간,현재가,등락,등락률(%),체결량,거래량
06/21 15:50,239500,"▲ 5,500",2.35,46,523653
06/21 15:40,239500,"▲ 5,500",2.35,986,523607
06/21 15:30,239500,"▲ 5,500",2.35,48532,522621
06/21 15:10,239000,"▲ 5,000",2.14,17524,474089
06/21 15:00,239500,"▲ 5,500",2.35,18662,456565
06/21 14:50,239000,"▲ 5,000",2.14,10856,437903
06/21 14:40,239000,"▲ 5,000",2.14,23891,427047
06/21 14:30,239000,"▲ 5,000",2.14,12286,403156
06/21 14:20,239500,"▲ 5,500",2.35,18617,390870
06/21 14:10,240000,"▲ 6,000",2.56,10157,372253
06/21 14:00,240500,"▲ 6,500",2.78,20191,362096
06/21 13:50,241000,"▲ 7,000",2.99,11118,341905
06/21 13:40,240500,"▲ 6,500",2.78,22276,330787
06/21 13:30,240000,"▲ 6,000",2.56,21051,308511
06/21 13:20,239500,"▲ 5,500",2.35,14452,287460
06/21 13:10,239000,"▲ 5,000",2.14,7961,273008
06/21 13:00,238500,"▲ 4,500",1.92,3874,265047
06/21 12:50,238500,"▲ 4,500",1.92,11346,261173
06/21 12:40,239000,"▲ 5,000",2.14,9931,249827
06/21 12:30,238500,"▲ 4,500",1.92,8215,239896
06/21 13:40,240500,"▲ 6,500",2.78,22276,330787
06/21 13:30,240000,"▲ 6,000",2.56,21051,308511
06/21 13:20,239500,"▲ 5,500",2.35,14452,287460
06/21 13:10,239000,"▲ 5,000",2.14,7961,273008
06/21 13:00,238500,"▲ 4,500",1.92,3874,265047
06/21 12:50,238500,"▲ 4,500",1.92,11346,261173
06/21 12:40,239000,"▲ 5,000",2.14,9931,249827
06/21 12:30,238500,"▲ 4,500",1.92,8215,239896
06/21 12:20,238000,"▲ 4,000",1.71,5411,231681
06/21 12:10,237000,"▲ 3,000",1.28,3854,226270
06/21 12:00,237000,"▲ 3,000",1.28,6675,222416
06/21 11:50,237000,"▲ 3,000",1.28,3470,215741
06/21 11:40,236500,"▲ 2,500",1.07,3809,212271
06/21 11:30,236500,"▲ 2,500",1.07,4975,208462
06/21 11:20,236500,"▲ 2,500",1.07,4718,203487
06/21 11:10,236500,"▲ 2,500",1.07,3062,198769
06/21 11:00,236500,"▲ 2,500",1.07,7987,195707
06/21 10:50,236000,"▲ 2,000",0.85,5784,187720
06/21 10:40,236000,"▲ 2,000",0.85,8408,181936
06/21 10:30,235500,"▲ 1,500",0.64,7829,173528
06/21 10:20,236000,"▲ 2,000",0.85,11554,165699
06/21 10:10,236000,"▲ 2,000",0.85,9321,154145
06/21 10:00,237000,"▲ 3,000",1.28,13315,144824
06/21 09:50,238000,"▲ 4,000",1.71,9404,131509
06/21 09:40,238000,"▲ 4,000",1.71,13536,122105
06/21 09:30,239000,"▲ 5,000",2.14,11904,108569
06/21 09:20,238500,"▲ 4,500",1.92,28979,96665
06/21 09:10,237000,"▲ 3,000",1.28,23067,67686
06/21 09:00,238000,"▲ 4,000",1.71,44567,44619
06/21 08:30,234000,0,0.0,52,52
