시간,현재가,등락,등락률(%),체결량,거래량
06/24 15:40,59800,▲ 700,1.18,10,191356
06/24 15:30,59800,▲ 700,1.18,25526,191346
06/24 15:10,59800,▲ 700,1.18,8945,165820
06/24 15:00,59700,▲ 600,1.02,10439,156875
06/24 14:50,59400,▲ 300,0.51,3321,146436
06/24 14:40,59500,▲ 400,0.68,5218,143115
06/24 14:30,59300,▲ 200,0.34,4346,137897
06/24 14:20,59300,▲ 200,0.34,5456,133551
06/24 14:10,59100,0,0.0,2306,128095
06/24 14:00,59200,▲ 100,0.17,4220,125789
06/24 13:50,59200,▲ 100,0.17,3755,121569
06/24 13:40,59100,0,0.0,2628,117814
06/24 13:30,59400,▲ 300,0.51,1706,115186
06/24 13:20,59300,▲ 200,0.34,1325,113480
06/24 13:10,59200,▲ 100,0.17,1450,112155
06/24 13:00,59000,▼ 100,-0.17,2744,110705
06/24 12:50,58900,▼ 200,-0.34,2138,107961
06/24 12:40,58800,▼ 300,-0.51,1877,105823
06/24 12:30,59100,0,0.0,1906,103946
06/24 12:20,59200,▲ 100,0.17,2337,102040
06/24 13:10,59200,▲ 100,0.17,1450,112155
06/24 13:00,59000,▼ 100,-0.17,2744,110705
06/24 12:50,58900,▼ 200,-0.34,2138,107961
06/24 12:40,58800,▼ 300,-0.51,1877,105823
06/24 12:30,59100,0,0.0,1906,103946
06/24 12:20,59200,▲ 100,0.17,2337,102040
06/24 12:10,59300,▲ 200,0.34,2143,99703
06/24 12:00,59400,▲ 300,0.51,1745,97560
06/24 11:50,59600,▲ 500,0.85,2295,95815
06/24 11:40,59700,▲ 600,1.02,3275,93520
06/24 11:30,60000,▲ 900,1.52,1792,90245
06/24 11:20,60100,"▲ 1,000",1.69,1853,88453
06/24 11:10,60100,"▲ 1,000",1.69,2191,86600
06/24 11:00,59900,▲ 800,1.35,3557,84409
06/24 10:50,60000,▲ 900,1.52,2610,80852
06/24 10:40,60100,"▲ 1,000",1.69,2997,78242
06/24 10:30,59900,▲ 800,1.35,5640,75245
06/24 10:20,60000,▲ 900,1.52,6323,69605
06/24 10:10,59300,▲ 200,0.34,3957,63282
06/24 10:00,59100,0,0.0,2685,59325
06/24 09:50,59100,0,0.0,3331,56640
06/24 09:40,59100,0,0.0,12399,53309
06/24 09:30,58300,▼ 800,-1.35,14035,40910
06/24 09:20,58300,▼ 800,-1.35,5874,26875
06/24 09:10,58700,▼ 400,-0.68,8433,21001
06/24 09:00,58700,▼ 400,-0.68,12568,12568
