시간,현재가,등락,등락률(%),체결량,거래량
06/23 15:50,59100,"▼ 1,700",-2.8,32,165561
06/23 15:40,59100,"▼ 1,700",-2.8,60,165529
06/23 15:30,59100,"▼ 1,700",-2.8,20382,165469
06/23 15:10,59000,"▼ 1,800",-2.96,9373,145087
06/23 15:00,59100,"▼ 1,700",-2.8,4871,135714
06/23 14:50,59100,"▼ 1,700",-2.8,3625,130843
06/23 14:40,59500,"▼ 1,300",-2.14,4755,127218
06/23 14:30,59500,"▼ 1,300",-2.14,5675,122463
06/23 14:20,59500,"▼ 1,300",-2.14,3879,116788
06/23 14:10,59500,"▼ 1,300",-2.14,3748,112909
06/23 14:00,59500,"▼ 1,300",-2.14,2225,109161
06/23 13:50,59800,"▼ 1,000",-1.64,3191,106936
06/23 13:40,59900,▼ 900,-1.48,3564,103745
06/23 13:30,59900,▼ 900,-1.48,2252,100181
06/23 13:20,59700,"▼ 1,100",-1.81,4480,97929
06/23 13:10,59800,"▼ 1,000",-1.64,4400,93449
06/23 13:00,59700,"▼ 1,100",-1.81,2748,89049
06/23 12:50,60000,▼ 800,-1.32,2772,86301
06/23 12:40,60000,▼ 800,-1.32,937,83529
06/23 12:30,60000,▼ 800,-1.32,3196,82592
06/23 13:20,59700,"▼ 1,100",-1.81,4480,97929
06/23 13:10,59800,"▼ 1,000",-1.64,4400,93449
06/23 13:00,59700,"▼ 1,100",-1.81,2748,89049
06/23 12:50,60000,▼ 800,-1.32,2772,86301
06/23 12:40,60000,▼ 800,-1.32,937,83529
06/23 12:30,60000,▼ 800,-1.32,3196,82592
06/23 12:20,59800,"▼ 1,000",-1.64,1614,79396
06/23 12:10,59900,▼ 900,-1.48,2782,77782
06/23 12:00,60100,▼ 700,-1.15,1621,75000
06/23 11:50,60000,▼ 800,-1.32,2855,73379
06/23 11:40,60100,▼ 700,-1.15,2595,70524
06/23 11:30,60100,▼ 700,-1.15,4093,67929
06/23 11:20,59800,"▼ 1,000",-1.64,1894,63836
06/23 11:10,59900,▼ 900,-1.48,2349,61942
06/23 11:00,60100,▼ 700,-1.15,5879,59593
06/23 10:50,60500,▼ 300,-0.49,896,53714
06/23 10:40,60400,▼ 400,-0.66,477,52818
06/23 10:30,60300,▼ 500,-0.82,4973,52341
06/23 10:20,60500,▼ 300,-0.49,2112,47368
06/23 10:10,60400,▼ 400,-0.66,4625,45256
06/23 10:00,60600,▼ 200,-0.33,6420,40631
06/23 09:50,60600,▼ 200,-0.33,2445,34211
06/23 09:40,60700,▼ 100,-0.16,2526,31766
06/23 09:30,60900,▲ 100,0.16,7287,29240
06/23 09:20,61300,▲ 500,0.82,3612,21953
06/23 09:10,61500,▲ 700,1.15,5279,18341
06/23 09:00,61700,▲ 900,1.48,13061,13062
06/23 08:30,60800,0,0.0,1,1
