date,price,open,high,low,volume,change(%)
2022-06-24,12140.5,11687.75,12148.5,11684.75,553.00K,3.43%
2022-06-23,11737.5,11542.75,11766.75,11460.5,630.13K,1.48%
2022-06-22,11565.75,11579.75,11745.75,11320.5,638.96K,-0.10%
2022-06-21,11577.25,11332.5,11678.25,11273.75,657.21K,1.34%
2022-06-20,11424.25,11428.0,11442.75,11274.5,137.40K,-0.06%
2022-06-19,11431.5,11307.75,11434.5,11307.75,12.95K,2.71%
2022-06-17,11130.39,11178.5,11290.0,11130.25,14.06K,0.05%
2022-06-16,11124.75,11608.5,11737.75,11036.75,146.54K,-4.05%
2022-06-15,11593.75,11329.75,11759.25,11327.75,265.81K,2.47%
2022-06-14,11314.25,11334.25,11505.5,11205.0,378.13K,0.16%
2022-06-13,11296.5,11768.0,11772.5,11254.5,530.22K,-4.59%
2022-06-10,11840.0,12301.5,12338.75,11823.0,617.40K,-3.54%
2022-06-09,12275.0,12625.0,12726.0,12255.25,690.16K,-2.70%
2022-06-08,12615.75,12680.5,12783.0,12579.25,583.65K,-0.75%
2022-06-07,12711.5,12605.25,12740.25,12412.5,577.97K,0.84%
2022-06-06,12605.0,12549.75,12810.0,12527.0,536.94K,0.43%
2022-06-03,12551.0,12896.0,12945.25,12503.0,652.96K,-2.66%
2022-06-02,12893.75,12549.75,12903.75,12442.5,620.01K,2.73%
2022-06-01,12551.0,12662.5,12823.5,12454.75,682.21K,-0.76%
2022-05-31,12646.5,12705.25,12883.0,12480.0,832.39K,-1.32%
2022-05-30,12815.75,12736.75,12880.75,12720.75,137.72K,0.61%
2022-05-29,12737.75,12713.25,12757.0,12673.0,8.54K,0.47%
2022-05-27,12677.75,12250.0,12720.25,12222.0,615.99K,3.25%
2022-05-26,12279.25,11887.5,12343.0,11848.25,611.88K,2.82%
2022-05-25,11942.25,11808.0,12036.0,11672.0,671.10K,1.45%
