date,price,open,high,low,volume,change(%)
2022-06-24,3916.25,3785.25,3919.75,3781.25,1.48M,3.07%
2022-06-23,3799.75,3761.25,3805.75,3735.0,1.61M,0.98%
2022-06-22,3762.75,3766.25,3805.5,3693.25,1.66M,-0.13%
2022-06-21,3767.75,3684.0,3783.75,3661.5,1.57M,1.37%
2022-06-20,3717.0,3705.75,3724.5,3662.25,243.02K,0.31%
2022-06-19,3705.5,3683.75,3707.5,3683.75,17.35K,1.14%
2022-06-17,3663.76,3677.5,3710.75,3665.75,40.26K,-0.12%
2022-06-16,3668.25,3794.25,3828.75,3639.0,544.03K,-3.19%
2022-06-15,3789.25,3740.0,3839.0,3720.25,777.55K,1.40%
2022-06-14,3736.75,3758.25,3805.0,3705.25,1.34M,-0.37%
2022-06-13,3750.5,3870.75,3876.5,3732.5,2.16M,-3.81%
2022-06-10,3899.0,4025.25,4029.5,3895.25,2.12M,-2.92%
2022-06-09,4016.25,4116.0,4144.25,4014.75,2.02M,-2.38%
2022-06-08,4114.0,4150.75,4160.0,4105.25,1.71M,-1.08%
2022-06-07,4158.75,4122.0,4164.0,4076.0,1.68M,0.93%
2022-06-06,4120.5,4110.5,4168.25,4104.5,1.46M,0.33%
2022-06-03,4107.0,4177.75,4189.0,4096.75,1.53M,-1.63%
2022-06-02,4175.25,4097.75,4179.0,4072.25,1.51M,1.86%
2022-06-01,4099.0,4138.5,4165.0,4071.5,1.91M,-0.78%
2022-05-31,4131.25,4164.5,4202.25,4102.75,2.22M,-1.11%
2022-05-30,4177.75,4167.25,4202.25,4161.5,210.47K,0.25%
2022-05-29,4167.5,4165.75,4173.0,4157.75,13.14K,0.28%
2022-05-27,4155.75,4047.5,4168.25,4041.25,1.55M,2.47%
2022-05-26,4055.75,3972.25,4073.5,3960.5,1.49M,1.99%
2022-05-25,3976.75,3950.0,3997.75,3913.5,1.74M,0.92%
