날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,101.766,101.42,102.205,101.42,20.17K,0.46%
2022년 05월 30일,101.305,101.67,101.735,101.3,10.53K,-0.39%
2022년 05월 27일,101.698,101.75,101.955,101.455,16.94K,-0.16%
2022년 05월 26일,101.858,102.1,102.29,101.76,13.82K,-0.21%
2022년 05월 25일,102.077,101.76,102.47,101.75,22.75K,0.20%
2022년 05월 24일,101.87,102.145,102.335,101.655,28.49K,-0.22%
2022년 05월 23일,102.097,103.02,103.07,102.045,31.09K,-1.04%
2022년 05월 20일,103.173,102.95,103.295,102.805,20.45K,0.41%
2022년 05월 19일,102.751,103.87,103.935,102.695,28.63K,-1.07%
2022년 05월 18일,103.862,103.35,103.96,103.235,30.63K,0.44%
2022년 05월 17일,103.407,104.175,104.26,103.25,28.48K,-0.76%
2022년 05월 16일,104.2,104.65,104.7,104.155,22.16K,-0.40%
2022년 05월 13일,104.621,104.835,105.065,104.5,33.58K,-0.26%
2022년 05월 12일,104.897,104.07,104.955,103.915,45.49K,0.98%
2022년 05월 11일,103.874,103.955,104.15,103.405,-,-0.07%
2022년 05월 10일,103.943,103.725,104.005,103.53,21.95K,0.24%
2022년 05월 09일,103.689,103.69,104.21,103.42,33.56K,0.00%
2022년 05월 06일,103.694,103.61,104.105,103.235,30.56K,-0.10%
2022년 05월 05일,103.802,102.57,103.97,102.375,42.44K,1.25%
2022년 05월 04일,102.523,103.468,103.662,102.477,-,-0.94%
2022년 05월 03일,103.496,103.6,103.7,103.06,13.75K,-0.13%
2022년 05월 02일,103.635,103.287,103.77,103.118,-,0.39%
2022년 04월 29일,103.23,103.68,103.68,102.812,-,-0.45%
2022년 04월 28일,103.692,103.005,103.945,103.005,-,0.70%
2022년 04월 27일,102.97,102.308,103.29,102.24,-,0.64%
2022년 04월 26일,102.318,101.705,102.37,101.535,23.22K,0.54%
2022년 04월 25일,101.769,101.105,101.865,101.05,19.57K,0.55%
2022년 04월 22일,101.213,100.635,101.34,100.485,30.37K,0.60%
2022년 04월 21일,100.614,100.35,100.675,99.81,32.55K,0.20%
2022년 04월 20일,100.417,101,101.045,100.215,26.31K,-0.54%
2022년 04월 19일,100.964,100.8,101.03,100.68,14.35K,0.20%
2022년 04월 18일,100.766,100.47,100.85,100.45,10.33K,0.44%
2022년 04월 14일,100.326,99.84,100.77,99.555,39.50K,0.41%
2022년 04월 13일,99.913,100.32,100.515,99.805,33.30K,-0.38%
2022년 04월 12일,100.292,100.02,100.335,99.74,21.00K,0.37%
2022년 04월 11일,99.924,99.69,100.05,99.61,14.58K,0.17%
2022년 04월 08일,99.753,99.825,100.2,99.745,25.96K,-0.01%
2022년 04월 07일,99.76,99.665,99.85,99.435,17.54K,0.15%
2022년 04월 06일,99.615,99.48,99.8,99.315,27.26K,0.19%
2022년 04월 05일,99.428,98.975,99.505,98.82,25.44K,0.46%
2022년 04월 04일,98.974,98.63,99.07,98.515,14.02K,0.35%
2022년 04월 01일,98.627,98.36,98.755,98.345,16.69K,0.27%
2022년 03월 31일,98.36,97.9,98.44,97.76,21.39K,0.50%
2022년 03월 30일,97.875,98.465,98.49,97.73,20.77K,-0.57%
2022년 03월 29일,98.441,99.05,99.265,98.055,32.14K,-0.62%
2022년 03월 28일,99.055,98.84,99.365,98.82,22.62K,0.24%
