날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,"12,646.50","12,705.25","12,883.00","12,480.00",832.39K,-1.32%
2022년 05월 30일,"12,815.75","12,736.75","12,880.75","12,720.75",137.72K,0.61%
2022년 05월 29일,"12,737.75","12,713.25","12,757.00","12,673.00",8.54K,0.47%
2022년 05월 27일,"12,677.75","12,250.00","12,720.25","12,222.00",615.99K,3.25%
2022년 05월 26일,"12,279.25","11,887.50","12,343.00","11,848.25",611.88K,2.82%
2022년 05월 25일,"11,942.25","11,808.00","12,036.00","11,672.00",671.10K,1.45%
2022년 05월 24일,"11,771.00","11,915.00","11,918.00","11,576.25",717.43K,-2.20%
2022년 05월 23일,"12,035.25","11,866.00","12,075.50","11,783.75",660.21K,1.64%
2022년 05월 20일,"11,840.75","11,898.00","12,096.75","11,491.25",806.78K,-0.32%
2022년 05월 19일,"11,878.25","11,907.00","12,076.75","11,704.00",827.74K,-0.48%
2022년 05월 18일,"11,935.50","12,572.00","12,594.00","11,862.75",735.39K,-4.97%
2022년 05월 17일,"12,560.25","12,235.50","12,578.00","12,234.00",653.22K,2.58%
2022년 05월 16일,"12,244.75","12,409.00","12,498.75","12,190.25",623.72K,-0.96%
2022년 05월 14일,"12,364.00","12,364.00","12,364.00","12,364.00",-,-0.15%
2022년 05월 13일,"12,382.75","11,891.50","12,432.00","11,891.50",663.52K,3.65%
2022년 05월 12일,"11,947.25","12,004.50","12,132.75","11,689.00",878.24K,-0.19%
2022년 05월 11일,"11,969.75","12,328.75","12,553.25","11,938.50",865.89K,-3.07%
2022년 05월 10일,"12,349.00","12,206.00","12,547.00","12,102.25",853.86K,1.27%
2022년 05월 09일,"12,193.75","12,605.00","12,637.25","12,135.25",816.03K,-3.71%
2022년 05월 07일,"12,663.50","12,663.50","12,663.50","12,663.50",-,-0.25%
2022년 05월 06일,"12,695.75","12,883.25","12,928.75","12,519.00",852.23K,-1.26%
2022년 05월 05일,"12,858.00","13,500.25","13,548.00","12,705.25",877.80K,-4.98%
2022년 05월 04일,"13,531.25","13,121.00","13,555.25","12,883.00",703.19K,3.39%
2022년 05월 03일,"13,087.50","13,051.75","13,183.75","12,968.50",662.22K,0.11%
2022년 05월 02일,"13,073.00","12,892.25","13,084.50","12,709.75",763.82K,1.72%
2022년 04월 29일,"12,852.00","13,219.50","13,433.00","12,831.75",723.39K,-4.48%
2022년 04월 28일,"13,454.75","13,191.00","13,542.00","13,033.00",756.36K,3.43%
2022년 04월 27일,"13,009.00","12,881.00","13,255.25","12,878.25",817.20K,-0.05%
2022년 04월 26일,"13,016.00","13,523.50","13,583.75","12,801.50",755.33K,-3.84%
2022년 04월 25일,"13,535.75","13,334.25","13,549.75","13,184.00",749.65K,1.36%
2022년 04월 22일,"13,353.50","13,720.00","13,781.00","13,297.00",732.26K,-2.73%
2022년 04월 21일,"13,728.25","14,070.00","14,283.00","13,667.50",685.79K,-1.97%
2022년 04월 20일,"14,004.75","14,104.75","14,298.00","13,956.50",604.34K,-1.49%
2022년 04월 19일,"14,217.25","13,962.75","14,242.00","13,828.00",556.36K,2.23%
2022년 04월 18일,"13,907.75","13,892.00","14,002.50","13,729.50",492.10K,0.10%
2022년 04월 14일,"13,893.75","14,211.50","14,296.25","13,876.50",548.40K,-2.30%
2022년 04월 13일,"14,221.50","13,952.75","14,266.50","13,921.00",530.16K,1.98%
2022년 04월 12일,"13,945.00","14,006.25","14,284.25","13,881.25",704.35K,-0.39%
2022년 04월 11일,"14,000.00","14,345.00","14,382.00","13,984.75",577.48K,-2.28%
2022년 04월 08일,"14,327.00","14,536.25","14,642.25","14,310.50",640.16K,-1.44%
2022년 04월 07일,"14,536.00","14,496.25","14,633.75","14,317.00",645.74K,0.21%
2022년 04월 06일,"14,505.25","14,861.00","14,861.25","14,394.75",783.21K,-2.18%
2022년 04월 05일,"14,828.00","15,155.50","15,198.00","14,780.25",563.20K,-2.22%
2022년 04월 04일,"15,164.25","14,846.00","15,174.50","14,801.00",460.17K,2.10%
2022년 04월 02일,"14,852.25","14,852.25","14,852.25","14,852.25",-,-0.08%
2022년 04월 01일,"14,863.75","14,918.75","14,960.00","14,725.00",539.03K,-0.03%
2022년 03월 31일,"14,868.75","15,100.50","15,180.75","14,855.50",560.79K,-1.35%
2022년 03월 30일,"15,071.50","15,222.00","15,262.25","15,012.25",513.52K,-1.09%
2022년 03월 29일,"15,237.75","14,981.00","15,268.75","14,956.50",552.95K,1.68%
2022년 03월 28일,"14,985.25","14,756.00","14,997.00","14,658.75",532.13K,1.56%
2022년 03월 25일,"14,755.75","14,765.00","14,840.50","14,572.50",553.93K,-0.05%
2022년 03월 24일,"14,763.75","14,462.75","14,769.75","14,433.50",512.27K,2.19%
2022년 03월 23일,"14,447.00","14,654.00","14,682.25","14,441.00",555.13K,-1.41%
2022년 03월 22일,"14,654.00","14,390.00","14,690.75","14,293.50",509.92K,1.97%
2022년 03월 21일,"14,370.50","14,404.00","14,466.75","14,183.75",589.63K,-0.24%
2022년 03월 20일,"14,404.50","14,435.25","14,435.25","14,402.25",8.72K,2.19%
2022년 03월 18일,"14,095.31","14,060.00","14,081.50","13,970.50",7.54K,-0.12%
2022년 03월 17일,"14,111.75","13,999.00","14,136.25","13,822.75",125.16K,1.14%
2022년 03월 16일,"13,953.00","13,451.75","14,029.25","13,420.50",274.50K,3.73%
2022년 03월 15일,"13,451.75","13,082.00","13,489.00","12,944.00",284.96K,3.11%
2022년 03월 14일,"13,045.50","13,362.00","13,447.50","13,015.50",402.61K,-1.85%
2022년 03월 11일,"13,292.00","13,577.25","13,860.75","13,281.75",439.89K,-2.16%
2022년 03월 10일,"13,586.00","13,778.00","13,778.00","13,396.25",611.08K,-1.08%
2022년 03월 09일,"13,734.75","13,192.25","13,821.75","13,189.75",650.83K,3.53%
2022년 03월 08일,"13,267.00","13,283.00","13,666.00","13,103.25",841.41K,-0.40%
2022년 03월 07일,"13,320.75","13,763.50","13,879.75","13,265.00",717.85K,-3.75%
2022년 03월 04일,"13,839.75","14,069.25","14,086.50","13,733.75",725.77K,-1.36%
2022년 03월 03일,"14,030.50","14,196.50","14,391.00","13,955.00",596.93K,-1.47%
2022년 03월 02일,"14,239.25","14,026.25","14,290.00","13,911.50",629.02K,1.67%
2022년 03월 01일,"14,005.50","14,219.25","14,327.75","13,900.00",645.17K,-1.56%
2022년 02월 28일,"14,228.00","13,900.25","14,292.25","13,683.00",753.71K,0.33%
2022년 02월 25일,"14,180.50","13,909.50","14,196.25","13,760.25",785.00K,1.53%
2022년 02월 24일,"13,966.50","13,484.25","13,983.25","13,025.75",1.12M,3.40%
2022년 02월 23일,"13,507.50","13,928.25","14,068.75","13,471.25",713.19K,-2.56%
2022년 02월 22일,"13,862.75","13,952.75","14,157.50","13,580.25",1.11M,1.34%
2022년 02월 21일,"13,679.50","13,851.25","14,156.25","13,588.75",262.70K,-1.25%
2022년 02월 20일,"13,852.25","13,915.00","13,951.50","13,844.25",14.02K,-1.03%
2022년 02월 18일,"13,996.00","14,156.25","14,299.00","13,906.25",760.91K,-1.19%
2022년 02월 17일,"14,164.75","14,592.25","14,619.50","14,131.50",631.08K,-2.98%
2022년 02월 16일,"14,600.00","14,588.00","14,668.50","14,381.00",594.30K,-0.07%
2022년 02월 15일,"14,609.50","14,257.00","14,614.75","14,223.25",558.47K,2.50%
2022년 02월 14일,"14,253.00","14,250.00","14,394.00","14,031.00",734.22K,0.09%
2022년 02월 11일,"14,240.50","14,698.25","14,766.75","14,181.00",835.98K,-3.13%
2022년 02월 10일,"14,701.00","15,062.25","15,062.25","14,622.00",834.48K,-2.24%
2022년 02월 09일,"15,038.25","14,746.25","15,068.00","14,741.00",529.89K,2.06%
2022년 02월 08일,"14,734.50","14,600.00","14,776.00","14,467.50",611.86K,1.20%
2022년 02월 07일,"14,559.75","14,682.50","14,806.25","14,511.50",562.31K,-0.86%
2022년 02월 04일,"14,685.50","14,770.00","14,825.75","14,362.75",763.74K,1.33%
2022년 02월 03일,"14,492.25","14,852.50","14,870.00","14,456.25",731.58K,-4.12%
