date,price,open,high,low,change(%)
2022-06-24,3.642,3.623,3.674,3.622,-1.43%
2022-06-23,3.695,3.609,3.704,3.593,-0.22%
2022-06-22,3.703,3.778,3.794,3.699,-1.93%
2022-06-21,3.776,3.838,3.847,3.764,-0.03%
2022-06-20,3.777,3.802,3.816,3.764,-0.47%
2022-06-19,3.795,3.795,3.795,3.795,0.00%
2022-06-17,3.795,3.772,3.816,3.74,0.93%
2022-06-16,3.76,3.71,3.767,3.686,-1.13%
2022-06-15,3.803,3.743,3.812,3.711,2.87%
2022-06-14,3.697,3.75,3.76,3.683,1.45%
2022-06-13,3.644,3.559,3.705,3.559,4.41%
2022-06-12,3.49,3.49,3.49,3.49,-0.14%
2022-06-10,3.495,3.465,3.51,3.46,0.87%
2022-06-09,3.465,3.495,3.52,3.437,-0.26%
2022-06-08,3.474,3.5,3.512,3.464,-1.81%
2022-06-07,3.538,3.475,3.539,3.474,3.85%
2022-06-06,3.407,3.407,3.407,3.407,0.00%
2022-06-05,3.407,3.407,3.407,3.407,0.00%
2022-06-04,3.407,3.407,3.407,3.407,0.12%
2022-06-03,3.403,3.448,3.454,3.386,-0.56%
2022-06-02,3.422,3.369,3.448,3.35,2.76%
2022-06-01,3.33,3.33,3.33,3.33,0.18%
2022-05-31,3.324,3.235,3.326,3.23,3.71%
2022-05-30,3.205,3.223,3.229,3.183,-0.37%
2022-05-29,3.217,3.217,3.217,3.217,0.00%
2022-05-28,3.217,3.217,3.217,3.217,0.19%
2022-05-27,3.211,3.2,3.242,3.19,-0.86%
2022-05-26,3.239,3.184,3.275,3.182,2.08%
2022-05-25,3.173,3.186,3.207,3.168,-1.34%
