date,price,open,high,low,change(%)
2022-06-24,1.687,1.621,1.713,1.621,3.24%
2022-06-23,1.634,1.624,1.667,1.585,2.57%
2022-06-22,1.593,1.708,1.708,1.575,0.82%
2022-06-21,1.58,1.656,1.677,1.564,-4.18%
2022-06-20,1.6489,1.6208,1.6642,1.6208,3.51%
2022-06-17,1.593,1.624,1.659,1.57,0.50%
2022-06-16,1.585,1.683,1.736,1.549,-9.79%
2022-06-15,1.757,1.805,1.874,1.637,-2.12%
2022-06-14,1.795,1.762,1.841,1.718,15.51%
2022-06-13,1.554,1.363,1.672,1.363,14.22%
2022-06-12,1.3605,1.3503,1.3605,1.3503,-0.18%
2022-06-10,1.363,1.307,1.376,1.274,6.99%
2022-06-09,1.274,1.292,1.302,1.269,0.79%
2022-06-08,1.264,1.269,1.282,1.256,0.64%
2022-06-07,1.256,1.259,1.274,1.248,2.95%
2022-06-06,1.22,1.205,1.223,1.177,0.83%
2022-06-05,1.21,1.1973,1.21,1.1973,2.11%
2022-06-03,1.185,1.177,1.241,1.149,3.40%
2022-06-02,1.146,1.162,1.185,1.128,1.33%
2022-06-01,1.131,1.169,1.169,1.123,6.00%
2022-05-31,1.067,1.077,1.105,1.062,-1.20%
2022-05-30,1.08,1.0749,1.08,1.0749,-0.74%
2022-05-27,1.088,1.075,1.093,1.067,3.13%
2022-05-26,1.055,1.09,1.108,1.052,-1.68%
2022-05-25,1.073,1.09,1.09,1.057,0.75%
