날짜,종가,오픈,고가,저가,변동 %
2022년 05월 31일,1.067,1.077,1.105,1.062,-1.20%
2022년 05월 30일,1.08,1.0749,1.08,1.0749,-0.74%
2022년 05월 27일,1.088,1.075,1.093,1.067,3.13%
2022년 05월 26일,1.055,1.09,1.108,1.052,-1.68%
2022년 05월 25일,1.073,1.09,1.09,1.057,0.75%
2022년 05월 24일,1.065,1.09,1.108,1.06,3.50%
2022년 05월 23일,1.029,1.057,1.082,1.024,-2.89%
2022년 05월 22일,1.0596,1.0418,1.0596,1.0291,2.48%
2022년 05월 20일,1.034,1.07,1.095,1.026,-1.24%
2022년 05월 19일,1.047,1.055,1.095,1.029,0.77%
2022년 05월 18일,1.039,1.067,1.088,1.029,-2.90%
2022년 05월 17일,1.07,1.073,1.088,1.05,4.19%
2022년 05월 16일,1.027,1.016,1.06,0.991,1.81%
2022년 05월 15일,1.0087,0.996,1.0087,0.996,2.10%
2022년 05월 13일,0.988,0.981,1.016,0.948,5.11%
2022년 05월 12일,0.94,0.945,0.968,0.91,3.98%
2022년 05월 11일,0.904,0.938,0.945,0.892,-0.33%
2022년 05월 10일,0.907,0.945,0.945,0.899,8.88%
2022년 05월 09일,0.833,0.838,0.869,0.82,-1.21%
2022년 05월 08일,0.8432,0.8432,0.8432,0.8432,-0.57%
2022년 05월 06일,0.848,0.828,0.889,0.818,-0.35%
2022년 05월 05일,0.851,0.884,0.92,0.831,-7.70%
2022년 05월 04일,0.922,0.925,0.96,0.871,-0.32%
2022년 05월 03일,0.925,0.925,0.968,0.912,15.62%
2022년 05월 02일,0.8,0.894,0.897,0.797,-10.78%
2022년 05월 01일,0.8967,0.8432,0.8967,0.8432,6.62%
2022년 04월 29일,0.841,0.853,0.869,0.833,1.94%
2022년 04월 28일,0.825,0.864,0.892,0.808,-0.36%
2022년 04월 27일,0.828,0.859,0.869,0.828,-3.27%
2022년 04월 26일,0.856,0.938,0.938,0.843,3.13%
2022년 04월 25일,0.83,0.864,0.876,0.825,-6.37%
2022년 04월 24일,0.8865,0.8432,0.8865,0.8432,7.07%
2022년 04월 22일,0.828,0.846,0.876,0.828,0.00%
2022년 04월 21일,0.828,0.856,0.889,0.815,0.61%
2022년 04월 20일,0.823,0.854,0.871,0.815,-3.86%
2022년 04월 19일,0.856,0.894,0.899,0.846,9.74%
2022년 04월 18일,0.78,0.797,0.823,0.772,-2.50%
2022년 04월 17일,0.8,0.7923,0.805,0.7923,1.65%
2022년 04월 14일,0.787,0.775,0.805,0.769,3.96%
2022년 04월 13일,0.757,0.762,0.767,0.747,-0.26%
2022년 04월 12일,0.759,0.82,0.826,0.754,7.51%
2022년 04월 11일,0.706,0.736,0.736,0.701,1.12%
2022년 04월 10일,0.6982,0.6957,0.6982,0.6957,0.03%
2022년 04월 08일,0.698,0.711,0.724,0.688,2.20%
2022년 04월 07일,0.683,0.683,0.714,0.675,-0.73%
2022년 04월 06일,0.688,0.719,0.719,0.675,0.00%
2022년 04월 05일,0.688,0.691,0.714,0.68,21.55%
2022년 04월 04일,0.566,0.528,0.568,0.528,7.75%
2022년 04월 03일,0.5253,0.5533,0.5533,0.5253,-0.49%
2022년 04월 01일,0.5279,0.533,0.556,0.52,1.52%
2022년 03월 31일,0.52,0.543,0.566,0.515,-3.35%
2022년 03월 30일,0.538,0.602,0.602,0.53,-6.27%
2022년 03월 29일,0.574,0.647,0.686,0.571,3.24%
2022년 03월 28일,0.556,0.518,0.581,0.51,6.35%
2022년 03월 27일,0.5228,0.5228,0.5228,0.5228,-2.83%
