날짜,종가,오픈,고가,저가,변동 %
2022년 05월 31일,2.5626,2.566,2.589,2.524,-0.31%
2022년 05월 30일,2.5706,2.5726,2.5726,2.5685,3.49%
2022년 05월 27일,2.4839,2.484,2.5,2.45,0.25%
2022년 05월 26일,2.4778,2.502,2.524,2.438,-0.97%
2022년 05월 25일,2.502,2.514,2.538,2.468,0.86%
2022년 05월 24일,2.4807,2.618,2.631,2.464,-5.63%
2022년 05월 23일,2.6287,2.612,2.645,2.589,0.57%
2022년 05월 22일,2.6139,2.6119,2.6139,2.6119,1.04%
2022년 05월 20일,2.5869,2.624,2.651,2.556,-0.94%
2022년 05월 19일,2.6115,2.659,2.686,2.58,-2.09%
2022년 05월 18일,2.6673,2.696,2.734,2.649,-1.60%
2022년 05월 17일,2.7106,2.578,2.715,2.568,5.31%
2022년 05월 16일,2.5739,2.603,2.619,2.543,-1.11%
2022년 05월 15일,2.6027,2.6295,2.6295,2.6027,0.56%
2022년 05월 13일,2.5883,2.592,2.636,2.561,0.33%
2022년 05월 12일,2.5797,2.656,2.672,2.514,-2.56%
2022년 05월 11일,2.6474,2.614,2.858,2.573,1.58%
2022년 05월 10일,2.6062,2.608,2.643,2.553,0.32%
2022년 05월 09일,2.5979,2.743,2.757,2.575,-5.29%
2022년 05월 08일,2.7431,2.739,2.7473,2.739,0.30%
2022년 05월 06일,2.7349,2.732,2.761,2.645,0.86%
2022년 05월 05일,2.7116,2.65,2.74,2.636,2.16%
2022년 05월 04일,2.6543,2.789,2.844,2.603,-4.67%
2022년 05월 03일,2.7844,2.731,2.786,2.701,1.95%
2022년 05월 02일,2.7311,2.745,2.751,2.691,-0.43%
2022년 05월 01일,2.743,2.7329,2.743,2.7329,0.44%
2022년 04월 29일,2.7309,2.613,2.757,2.613,4.50%
2022년 04월 28일,2.6132,2.5808,2.672,2.5586,0.86%
2022년 04월 27일,2.591,2.538,2.609,2.506,4.41%
2022년 04월 26일,2.4815,2.624,2.672,2.481,-5.34%
2022년 04월 25일,2.6215,2.6588,2.6693,2.5272,-1.48%
2022년 04월 24일,2.6609,2.6693,2.6693,2.6609,-0.63%
2022년 04월 22일,2.6777,2.722,2.789,2.671,0.14%
2022년 04월 21일,2.6739,2.577,2.73,2.575,3.83%
2022년 04월 20일,2.5753,2.61,2.629,2.546,-0.86%
2022년 04월 19일,2.5977,2.448,2.612,2.431,6.21%
2022년 04월 18일,2.4459,2.483,2.514,2.438,-1.57%
2022년 04월 17일,2.4849,2.4829,2.4849,2.4829,1.18%
2022년 04월 14일,2.456,2.371,2.479,2.301,3.87%
2022년 04월 13일,2.3645,2.401,2.447,2.274,-1.70%
2022년 04월 12일,2.4054,2.52,2.557,2.368,-3.77%
2022년 04월 11일,2.4996,2.542,2.594,2.483,-1.76%
2022년 04월 10일,2.5444,2.5362,2.5444,2.5362,1.14%
2022년 04월 08일,2.5156,2.47,2.549,2.451,1.94%
2022년 04월 07일,2.4677,2.459,2.474,2.408,-0.64%
2022년 04월 06일,2.4837,2.538,2.602,2.447,-1.60%
2022년 04월 05일,2.5241,2.414,2.532,2.402,4.38%
2022년 04월 04일,2.4181,2.493,2.495,2.406,-2.92%
2022년 04월 03일,2.4909,2.4868,2.4909,2.4848,1.15%
2022년 04월 01일,2.4625,2.343,2.471,2.343,5.48%
2022년 03월 31일,2.3346,2.298,2.339,2.268,0.96%
2022년 03월 30일,2.3123,2.365,2.377,2.294,-2.55%
2022년 03월 29일,2.3727,2.361,2.453,2.33,1.57%
2022년 03월 28일,2.3361,2.28,2.414,2.274,2.55%
2022년 03월 27일,2.278,2.2865,2.2865,2.278,-0.28%
2022년 03월 25일,2.2843,2.155,2.331,2.135,7.01%
2022년 03월 24일,2.1346,2.117,2.17,2.106,1.73%
2022년 03월 23일,2.0982,2.174,2.197,2.096,-3.14%
2022년 03월 22일,2.1662,2.122,2.202,2.122,2.30%
2022년 03월 21일,2.1174,1.96,2.136,1.96,9.02%
2022년 03월 20일,1.9423,1.9423,1.9423,1.9423,0.00%
2022년 03월 18일,1.9423,1.916,1.969,1.893,1.38%
2022년 03월 17일,1.9159,1.94,1.965,1.889,-1.66%
2022년 03월 16일,1.9482,1.859,2.002,1.833,5.25%
2022년 03월 15일,1.8511,1.861,1.894,1.788,-0.75%
2022년 03월 14일,1.865,1.787,1.867,1.779,4.38%
2022년 03월 13일,1.7868,1.7889,1.7929,1.7868,2.34%
2022년 03월 11일,1.746,1.706,1.762,1.672,2.56%
2022년 03월 10일,1.7024,1.682,1.735,1.65,1.59%
2022년 03월 09일,1.6757,1.615,1.688,1.593,4.68%
2022년 03월 08일,1.6008,1.554,1.641,1.552,2.86%
2022년 03월 07일,1.5563,1.426,1.564,1.422,9.01%
2022년 03월 06일,1.4277,1.4437,1.4437,1.4277,-4.17%
2022년 03월 04일,1.4899,1.552,1.554,1.412,-2.37%
2022년 03월 03일,1.526,1.472,1.56,1.462,0.80%
2022년 03월 02일,1.5139,1.367,1.534,1.275,13.60%
2022년 03월 01일,1.3327,1.456,1.48,1.261,-7.21%
2022년 02월 28일,1.4363,1.488,1.512,1.414,-3.48%
2022년 02월 27일,1.4881,1.494,1.498,1.4881,-5.20%
2022년 02월 25일,1.5697,1.57,1.626,1.554,-0.51%
2022년 02월 24일,1.5777,1.58,1.59,1.46,-1.74%
2022년 02월 23일,1.6056,1.643,1.643,1.568,2.82%
2022년 02월 22일,1.5615,1.436,1.566,1.429,8.70%
2022년 02월 21일,1.4365,1.4324,1.4365,1.4324,-2.25%
2022년 02월 18일,1.4696,1.454,1.507,1.438,-0.05%
2022년 02월 17일,1.4703,1.51,1.526,1.465,-3.71%
2022년 02월 16일,1.527,1.573,1.597,1.496,-3.20%
2022년 02월 15일,1.5774,1.579,1.612,1.553,0.46%
2022년 02월 14일,1.5702,1.52,1.62,1.503,5.56%
