날짜,종가,오픈,고가,저가,변동 %
2022년 02월 16일,2.701,2.738,2.742,2.697,-0.33%
2022년 02월 15일,2.71,2.715,2.723,2.696,0.11%
2022년 02월 14일,2.707,2.705,2.729,2.693,-1.02%
2022년 02월 13일,2.735,2.735,2.735,2.735,0.00%
2022년 02월 12일,2.735,2.735,2.735,2.735,-0.51%
2022년 02월 11일,2.749,2.692,2.776,2.692,2.35%
2022년 02월 10일,2.686,2.693,2.698,2.662,-0.11%
2022년 02월 09일,2.689,2.707,2.715,2.675,-1.65%
2022년 02월 08일,2.734,2.674,2.736,2.669,3.68%
2022년 02월 07일,2.637,2.631,2.663,2.621,1.35%
2022년 02월 06일,2.602,2.602,2.602,2.602,0.00%
2022년 02월 05일,2.602,2.602,2.602,2.602,-0.65%
2022년 02월 04일,2.619,2.617,2.649,2.613,1.99%
2022년 02월 03일,2.568,2.551,2.574,2.55,-0.85%
2022년 02월 02일,2.59,2.59,2.59,2.59,0.00%
2022년 02월 01일,2.59,2.59,2.59,2.59,0.00%
2022년 01월 31일,2.59,2.59,2.59,2.59,0.00%
2022년 01월 30일,2.59,2.59,2.59,2.59,0.00%
2022년 01월 29일,2.59,2.59,2.59,2.59,0.15%
2022년 01월 28일,2.586,2.597,2.617,2.577,-1.00%
2022년 01월 27일,2.612,2.59,2.639,2.589,1.52%
2022년 01월 26일,2.573,2.576,2.603,2.566,-0.12%
2022년 01월 25일,2.576,2.544,2.586,2.543,1.50%
2022년 01월 24일,2.538,2.547,2.56,2.532,-0.16%
2022년 01월 23일,2.542,2.542,2.542,2.542,0.00%
2022년 01월 22일,2.542,2.542,2.542,2.542,0.08%
2022년 01월 21일,2.54,2.515,2.542,2.504,-0.66%
2022년 01월 20일,2.557,2.553,2.567,2.521,0.83%
2022년 01월 19일,2.536,2.581,2.584,2.534,-0.67%
2022년 01월 18일,2.553,2.55,2.624,2.533,-0.58%
2022년 01월 17일,2.568,2.51,2.57,2.509,4.22%
2022년 01월 16일,2.464,2.464,2.464,2.464,0.00%
2022년 01월 15일,2.464,2.464,2.464,2.464,0.45%
2022년 01월 14일,2.453,2.388,2.463,2.388,2.34%
2022년 01월 13일,2.397,2.43,2.445,2.391,-1.28%
