날짜,종가,오픈,고가,저가,변동 %
2022년 05월 31일,2.849,2.81,2.884,2.799,1.35%
2022년 05월 30일,2.812,2.815,2.815,2.812,2.49%
2022년 05월 27일,2.743,2.752,2.769,2.709,0.06%
2022년 05월 26일,2.742,2.743,2.797,2.706,-0.33%
2022년 05월 25일,2.751,2.756,2.776,2.708,-0.13%
2022년 05월 24일,2.754,2.844,2.864,2.718,-3.72%
2022년 05월 23일,2.861,2.806,2.873,2.797,1.87%
2022년 05월 22일,2.808,2.806,2.808,2.806,0.71%
2022년 05월 20일,2.788,2.848,2.88,2.774,-1.72%
2022년 05월 19일,2.837,2.864,2.922,2.772,-1.63%
2022년 05월 18일,2.884,2.988,3.015,2.873,-3.71%
2022년 05월 17일,2.995,2.886,2.997,2.875,3.79%
2022년 05월 16일,2.886,2.94,2.953,2.853,-1.92%
2022년 05월 15일,2.942,2.944,2.944,2.942,0.50%
2022년 05월 13일,2.928,2.862,2.944,2.852,2.54%
2022년 05월 12일,2.855,2.911,2.911,2.816,-2.38%
2022년 05월 11일,2.925,2.991,3.076,2.907,-2.15%
2022년 05월 10일,2.989,3.034,3.072,2.942,-1.48%
2022년 05월 09일,3.034,3.142,3.203,3.028,-3.46%
2022년 05월 08일,3.142,3.138,3.142,3.138,0.00%
2022년 05월 06일,3.142,3.052,3.146,3.039,3.55%
2022년 05월 05일,3.035,2.964,3.108,2.925,3.00%
2022년 05월 04일,2.946,3.001,3.011,2.901,-1.10%
2022년 05월 03일,2.979,2.991,3.01,2.913,0.07%
2022년 05월 02일,2.977,2.932,3.01,2.907,1.47%
2022년 05월 01일,2.934,2.928,2.934,2.928,-0.13%
2022년 04월 29일,2.938,2.854,2.943,2.831,3.72%
2022년 04월 28일,2.832,2.834,2.888,2.796,0.22%
2022년 04월 27일,2.826,2.74,2.839,2.715,3.59%
2022년 04월 26일,2.728,2.818,2.866,2.724,-3.19%
2022년 04월 25일,2.818,2.889,2.895,2.76,-2.39%
2022년 04월 24일,2.887,2.891,2.893,2.887,-0.60%
2022년 04월 22일,2.905,2.929,2.974,2.864,-0.11%
2022년 04월 21일,2.908,2.836,2.954,2.836,2.60%
2022년 04월 20일,2.834,2.96,2.981,2.819,-3.61%
2022년 04월 19일,2.94,2.849,2.948,2.836,2.92%
2022년 04월 18일,2.857,2.847,2.884,2.81,0.35%
2022년 04월 17일,2.847,2.843,2.847,2.843,0.68%
2022년 04월 14일,2.828,2.699,2.835,2.648,4.63%
2022년 04월 13일,2.703,2.727,2.79,2.646,-0.90%
2022년 04월 12일,2.727,2.803,2.836,2.674,-1.70%
2022년 04월 11일,2.774,2.723,2.793,2.711,1.90%
2022년 04월 10일,2.723,2.719,2.723,2.719,0.70%
2022년 04월 08일,2.704,2.647,2.73,2.624,1.44%
2022년 04월 07일,2.665,2.594,2.673,2.555,2.61%
2022년 04월 06일,2.598,2.566,2.659,2.566,1.69%
2022년 04월 05일,2.554,2.393,2.567,2.384,6.73%
2022년 04월 04일,2.393,2.408,2.434,2.369,-0.30%
2022년 04월 03일,2.401,2.406,2.406,2.401,0.46%
2022년 04월 01일,2.389,2.352,2.456,2.352,1.89%
2022년 03월 31일,2.345,2.345,2.365,2.309,-0.54%
2022년 03월 30일,2.358,2.4,2.435,2.334,-1.67%
2022년 03월 29일,2.398,2.442,2.535,2.38,-2.75%
2022년 03월 28일,2.466,2.473,2.557,2.414,-0.22%
2022년 03월 27일,2.471,2.477,2.477,2.471,-0.67%
2022년 03월 25일,2.488,2.372,2.503,2.339,4.98%
2022년 03월 24일,2.37,2.306,2.397,2.304,3.50%
2022년 03월 23일,2.29,2.392,2.417,2.286,-3.82%
2022년 03월 22일,2.381,2.293,2.392,2.293,3.65%
2022년 03월 21일,2.297,2.149,2.32,2.148,6.68%
2022년 03월 20일,2.153,2.153,2.153,2.153,0.00%
2022년 03월 18일,2.153,2.158,2.19,2.133,-0.65%
2022년 03월 17일,2.167,2.185,2.214,2.106,-1.14%
2022년 03월 16일,2.192,2.149,2.246,2.135,2.00%
2022년 03월 15일,2.149,2.135,2.169,2.078,0.34%
2022년 03월 14일,2.142,2.034,2.147,2.025,5.04%
2022년 03월 13일,2.039,2.034,2.039,2.034,2.11%
