Date,,,,Fear Greed
2022-06-01,,,,25
2022-06-02,,,,28
2022-06-03,,,,27
2022-06-04,,,,27
2022-06-06,,,,29
2022-06-07,,,,31
2022-06-08,,,,32
2022-06-09,,,,31
2022-06-10,,,,28
2022-06-11,,,,28
2022-06-13,,,,17
2022-06-14,,,,17
2022-06-15,,,,20
2022-06-16,,,,13
2022-06-17,,,,14
2022-06-18,,,,14
2022-06-20,,,,14
2022-06-21,,,,19
2022-06-22,,,,21
2022-06-23,,,,22
2022-06-24,,,,27
2022-06-25,,,,27
2022-06-27,,,,28
2022-06-28,,,,26
2022-06-29,,,,25
2022-06-30,,,,22
2022-07-01,,,,24
2022-07-02,,,,24
2022-07-02,,,,24
