date,financial,insurance,invtrust,privequity,bank,financeetc,pension,institution,corporateetc,retail,foreigner,foreigneretc,total
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,-137409,2928,-670,3382,498,3238,-2380,-130414,7001,152706,-30775,1481,0
2020-01-03,-184098,4347,20474,19024,1228,1513,14179,-123333,-5131,66485,61435,543,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,-89532,1465,6226,4746,88,321,10357,-66329,210,23110,42705,304,0
2020-01-07,7472,-2885,6813,1367,205,55,-10054,2972,-417,-722,-3195,1362,0
2020-01-08,-62952,18283,10118,21261,540,109,16864,4221,-11445,-234778,242771,-769,0
2020-01-09,-94812,3716,13171,-9525,-373,121,-47335,-135036,-7773,-72445,216172,-919,0
2020-01-10,-134924,-6212,-10680,-25524,-42,149,2563,-174670,-768,78806,96290,342,0
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,-73734,1323,-3653,-8204,271,1041,-7377,-90332,534,4660,84833,305,0
2020-01-14,-91327,-9562,-12632,-17587,445,269,29427,-100968,19686,60503,20095,685,0
2020-01-15,-25533,17731,2883,-15096,-673,-139,35123,14294,3932,157764,-176292,301,0
2020-01-16,-56903,-480,-5641,3063,-131,-315,20321,-40087,572,-28748,67923,340,0
2020-01-17,-62420,-16040,-13898,8881,1069,1121,3273,-78014,6674,9652,60582,1106,0
2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,8479,-9465,-37376,1995,12033,372,38040,14078,4920,-5445,-13615,61,0
2020-01-21,-5427,-13102,-35650,-10230,601,-3044,-10366,-77217,8775,123547,-56016,912,0
2020-01-22,98946,-3210,2761,-12537,2162,-3029,16083,101177,-1938,-107263,8591,-567,0
2020-01-23,-99366,-3103,5706,-2260,1548,660,-19686,-116500,6016,246506,-138381,2360,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,48970,393,-9296,-12758,1767,1249,31960,62286,6420,243398,-313848,1745,0
2020-01-29,-195986,10881,7644,-9007,1860,128,34026,-150454,5324,116827,28470,-167,0
2020-01-30,-132527,8659,-3951,-11460,1488,1293,6272,-130226,25069,315711,-211508,954,0
2020-01-31,-6020,4426,16231,10971,-344,280,68979,94522,-5132,126644,-217621,1586,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,-7492,7400,31043,1539,176,-1472,29133,60327,-212,30993,-91118,9,0
2020-02-04,-258723,16065,19140,4462,-2802,4619,-3536,-220775,4641,4617,211509,7,0
2020-02-05,-300708,15123,26998,-12198,-592,1081,4555,-265739,2552,20990,242184,13,0
2020-02-06,76309,32432,-2878,652,936,-2356,44858,149953,5873,-202824,49868,-2870,0
2020-02-07,-122165,20602,-1049,-6047,916,1468,-41100,-147373,6372,106887,33338,776,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,-49849,2069,9013,-5784,622,-44,28423,-15550,3915,111736,-100929,826,0
2020-02-11,84826,4407,5385,2132,-322,83,17104,113616,332,-14165,-99813,30,0
2020-02-12,57235,4714,5448,5249,-72,-1318,20363,91618,-1464,-30284,-59773,-97,0
2020-02-13,-111325,-6449,-2008,1114,1033,-1266,2333,-116567,-18110,-123541,259960,-1742,0
2020-02-14,-25123,1391,18497,11699,1709,1756,33590,43520,-3685,-161350,122805,-1289,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,-153,5656,-4334,5052,-6,2375,20400,28989,-1058,44731,-72718,56,0
2020-02-18,-94896,2433,-12289,-11919,-414,2690,-34054,-148450,904,377335,-231814,2025,0
2020-02-19,8859,3699,-1856,1000,-1381,-2821,34227,41728,2776,69324,-114044,216,0
2020-02-20,-90755,2524,11935,12809,731,-2081,41938,-22900,4346,30248,-11378,-317,0
