date,financial,insurance,invtrust,privequity,bank,financeetc,pension,institution,corporateetc,retail,foreigner,foreigneretc,total
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,-2598,355,-531,-22,50,112,-9936,-12570,4600,21980,-14050,40,0
2020-01-03,-13522,-1553,-687,-1735,-43,-17,-3659,-21214,6353,42651,-27939,150,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,-9243,3266,-563,127,0,-9,1346,-5078,3571,2658,-1144,-7,0
2020-01-07,-2705,-755,-1738,81,3,0,-6291,-11405,3741,13532,-5817,-51,0
2020-01-08,-6117,-3,-1014,2514,2,-57,-16321,-20996,4562,17848,-1415,0,0
2020-01-09,-33684,-2443,-1591,-73,-56,-17,115,-37748,3607,26041,8062,39,0
2020-01-10,-3906,-1719,-887,-649,-323,0,3468,-4016,3896,11260,-11165,25,0
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,-5615,804,-430,-219,253,134,3681,-1392,3131,3621,-5405,45,0
2020-01-14,-6301,894,4199,1834,-3,32,-168,486,3529,8024,-12096,57,0
2020-01-15,-1178,521,1057,613,-140,54,6723,7650,3946,8151,-19758,11,0
2020-01-16,-4959,5131,10188,1344,-254,196,619,12265,4317,-6826,-9680,-77,0
2020-01-17,-4259,-46,1167,338,118,76,-2930,-5535,3850,6192,-4544,37,0
2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,-1294,272,-178,696,674,440,-2566,-1955,3883,3943,-5892,20,0
2020-01-21,1074,428,1648,1940,32,-1,-1140,3981,3411,7820,-15210,-2,0
2020-01-22,11015,5408,7394,16609,123,414,-8727,32237,-240,-61953,29900,56,0
2020-01-23,-8109,4652,10410,14828,606,40,5960,28386,3744,-52351,20005,216,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,2907,621,406,-29,192,39,-1158,2978,3511,-14343,7792,62,0
2020-01-29,-16652,782,4464,-1694,-12,-428,-5480,-19020,4022,-9550,24436,112,0
2020-01-30,-2338,-324,714,-5797,-106,-175,6603,-1423,4614,-7733,4631,-88,0
2020-01-31,-3212,1345,935,-526,-79,-5,-12186,-13727,4086,-7256,16955,-58,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,951,43,-1492,-5988,-76,-49,8065,1455,6854,-6480,-1840,12,0
2020-02-04,-14272,-307,-2,-3186,-531,477,-6009,-23829,4153,1755,17848,73,0
2020-02-05,-16019,-720,1589,1099,126,0,-5590,-19515,4156,-2110,17376,93,0
2020-02-06,1567,-280,1312,5954,-33,93,4838,13451,2242,-21354,5740,-79,0
2020-02-07,-6105,-1230,-2470,-669,0,9,1658,-8806,3038,2614,3162,-9,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,-4826,-268,-1102,-2931,11,32,4793,-4291,5787,-2589,952,141,0
2020-02-11,8592,-985,485,-2511,-68,-13,15181,20681,8152,-13647,-14997,-188,0
2020-02-12,-1787,272,-4248,-1761,29,7,-5314,-12801,4221,-19084,27653,12,0
2020-02-13,-1785,-1094,-2060,-582,-5,0,-25725,-31251,3186,22011,5943,111,0
2020-02-14,-2002,497,446,-203,-806,-27,3721,1625,4387,-1815,-4620,423,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,1688,213,-417,3761,-11,-1000,1105,5338,4318,-7448,-2469,261,0
2020-02-18,-10469,-234,-1085,-1006,-720,-65,-9789,-23369,4481,13012,5852,23,0
2020-02-19,-5973,-558,-1111,-2363,-144,-18,456,-9711,2224,783,6712,-7,0
2020-02-20,-7412,-153,-3943,-969,-6,41,5124,-7318,3909,-4179,7610,-22,0
2020-02-21,-5880,122,-2234,-1070,-51,-64,-2934,-12111,3928,927,7289,-34,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,3388,502,1207,-872,1958,-38,2174,8319,3101,-381,-11071,31,0
2020-02-25,-2558,195,452,-818,139,-9,7785,5185,3679,19990,-28881,26,0
2020-02-26,5331,404,877,-599,1161,135,20696,28005,3471,2673,-34242,93,0
2020-02-27,7654,1102,-1109,104,70,0,4133,11955,3887,-1275,-14593,27,0
2020-02-28,23834,283,1478,-6748,482,-150,782,19960,4331,12610,-36863,-38,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,-2578,674,12,352,39,275,-12452,-13678,2977,30791,-20126,36,0
2020-03-03,-8321,73,931,5125,-51,-20,-7396,-9659,602,35072,-25942,-73,0
2020-03-04,-636,-1397,-479,44,9,14,138,-2306,1253,31201,-30155,6,0
2020-03-05,-7163,355,116,4440,-12,16,6688,4440,816,21444,-26780,80,0
2020-03-06,-5225,1823,300,-688,-82,43,-159,-3988,5365,48259,-49782,146,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,-2775,3677,-3082,-5671,-189,88,5228,-2725,6497,21647,-25478,60,0
2020-03-10,12985,34,-3053,-2101,-587,132,-345,7065,324,58359,-65875,126,0
2020-03-11,-640,856,56,916,1111,16,2086,4401,838,27005,-32402,157,0
2020-03-12,14980,2107,366,782,1752,-1226,-12915,5845,2851,35904,-44810,209,0
2020-03-13,-27996,-1455,773,-3780,1439,-1002,4676,-27346,14119,115149,-102011,89,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0
