ixic,ixic_cr,ixic_f,ixic_f_cr,dji,dji_cr,dji_f,dji_f_cr,spx,spx_cr,spx_f,spx_f_cr,kospi,kospi_cr,kosdaq,kosdaq_cr,wti,dxy,krw,bond_usa_10,bond_usa_2,bond_usa_3m,bond_kor_10,bond_kor_2,vix,vix_cr,f_g_index,sox,sox_cr,cpi,cpi_anticipated,cpi_previous,pp,pp_cr,pp_con_num,fp,fp_cr,fp_con_num,itp,itp_cr,itp_con_num,penp,penp_cr,penp_con_num,pep,pep_cr,pep_con_num,gold,gold_cr,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,fed_rate,fed_rate_ann,fed_rate-imp,bok_rate,bok_rate_ann,bok_rate-imp,fu_date,op_date,open,high,high_time,low,low_time,close,vol,vol_cr
"13,539.30",-2.28%,,,"34,297.73",-0.19%,,,"4,356.45",-1.22%,,,"2,720.39",-2.56%,889.44,-2.84%,,,,,,,,,31.16,,22.0,"3,350.90",-3.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,542.12",0.02%,,,"34,168.09",-0.38%,,,"4,349.93",-0.15%,,,"2,709.24",-0.41%,882.09,-0.83%,,,,,,,,,31.959999,,21.0,"3,407.00",1.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,352.78",-1.40%,,,"34,160.78",-0.02%,,,"4,326.50",-0.54%,,,"2,614.49",-3.50%,849.23,-3.73%,,,,,,,,,30.49,,20.0,"3,244.00",-4.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,770.57",3.13%,,,"34,725.47",1.65%,,,"4,431.85",2.43%,,,"2,663.34",1.87%,872.87,2.78%,,,,,,,,,27.66,,23.0,"3,303.40",1.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,239.88",3.41%,,,"35,131.86",1.17%,,,"4,515.55",1.89%,,,,,,,,,,,,,,,24.83,,30.0,"3,483.20",5.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,346.00",0.75%,,,"35,405.24",0.78%,,,"4,546.54",0.69%,,,,,,,,,,,,,,,21.959999,,30.0,"3,510.90",0.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,417.55",0.50%,,,"35,629.33",0.63%,,,"4,589.32",0.94%,,,,,,,,,,,,,,,22.09,,27.0,"3,597.20",2.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,878.82",-3.74%,,,"35,111.16",-1.45%,,,"4,477.44",-2.44%,,,"2,707.82",1.67%,891.6,2.15%,,,,,,,,,24.35,,26.0,"3,432.50",-4.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,098.01",1.58%,,,"35,089.74",-0.06%,,,"4,500.54",0.52%,,,"2,750.26",1.57%,902.87,1.26%,,,,,,,,,23.219999,,27.0,"3,453.10",0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
