ixic,ixic_cr,ixic_f,ixic_f_cr,dji,dji_cr,dji_f,dji_f_cr,spx,spx_cr,spx_f,spx_f_cr,kospi,kospi_cr,kosdaq,kosdaq_cr,wti,dxy,krw,bond_usa_10,bond_usa_2,bond_usa_3m,bond_kor_10,bond_kor_2,vix,vix_cr,f_g_index,sox,sox_cr,cpi,cpi_anticipated,cpi_previous,pp,pp_cr,pp_con_num,fp,fp_cr,fp_con_num,itp,itp_cr,itp_con_num,penp,penp_cr,penp_con_num,pep,pep_cr,pep_con_num,gold,gold_cr,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,fed_rate,fed_rate_ann,fed_rate-imp,bok_rate,bok_rate_ann,bok_rate-imp,fu_date,op_date,open,high,high_time,low,low_time,close,vol,vol_cr
"14,532.55",1.90%,,,"34,921.88",0.30%,,,"4,582.64",0.81%,,,"2,757.90",0.66%,947.32,0.72%,,,,,,,,,18.57,,61.0,"3,424.90",1.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,204.17",-2.26%,,,"34,641.18",-0.80%,,,"4,525.12",-1.26%,,,"2,759.20",0.05%,952.47,0.54%,,,,,,,,,21.030001,,48.0,"3,269.80",-4.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,888.82",-2.22%,,,"34,496.51",-0.42%,,,"4,481.15",-0.97%,,,"2,735.03",-0.88%,943.13,-0.98%,,,,,,,,,22.1,,46.0,"3,194.00",-2.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,897.30",0.06%,,,"34,583.57",0.25%,,,"4,500.21",0.43%,,,"2,695.86",-1.43%,927.95,-1.61%,,,,,,,,,21.549999,,46.0,"3,197.40",0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,711.00",-1.34%,,,"34,721.12",0.40%,,,"4,488.28",-0.27%,,,"2,700.39",0.17%,934.73,0.73%,,,,,,,,,21.16,,46.0,"3,120.20",-2.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,411.96",-2.18%,,,"34,308.08",-1.19%,,,"4,412.53",-1.69%,,,"2,693.10",-0.27%,921.83,-1.38%,,,,,,,,,24.370001,,44.0,"3,055.10",-2.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,371.57",-0.30%,,,"34,220.36",-0.26%,,,"4,397.45",-0.34%,,,"2,666.76",-0.98%,913.82,-0.87%,,,,,,,,,24.26,,43.0,"3,047.50",-0.25%,8.5%,8.4%,7.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,643.59",2.03%,,,"34,564.59",1.01%,,,"4,446.59",1.12%,,,"2,716.49",1.86%,927.31,1.48%,,,,,,,,,21.82,,43.0,"3,119.30",2.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,351.08",-2.14%,,,"34,451.23",-0.33%,,,"4,392.59",-1.21%,,,"2,716.71",0.01%,928.01,0.08%,,,,,,,,,22.700001,,41.0,"3,028.20",-2.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"2,696.06",-0.76%,924.44,-0.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,332.36",-0.14%,,,"34,411.69",-0.11%,,,"4,391.69",-0.02%,,,"2,693.21",-0.11%,918.23,-0.67%,,,,,,,,,22.17,,39.0,"3,085.20",1.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,619.66",2.15%,,,"34,911.20",1.45%,,,"4,462.21",1.61%,,,"2,718.89",0.95%,931.56,1.45%,,,,,,,,,21.370001,,42.0,"3,153.20",2.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,453.07",-1.22%,,,"35,160.79",0.71%,,,"4,459.45",-0.06%,,,"2,718.69",-0.01%,928.93,-0.28%,,,,,,,,,20.32,,41.0,"3,142.20",-0.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,174.65",-2.07%,,,"34,792.76",-1.05%,,,"4,393.66",-1.48%,,,"2,728.21",0.35%,929.68,0.08%,,,,,,,,,22.68,,40.0,"3,058.70",-2.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,839.29",-2.55%,,,"33,811.40",-2.82%,,,"4,271.78",-2.77%,,,"2,704.71",-0.86%,922.78,-0.74%,,,,,,,,,28.209999,,32.0,"2,989.80",-2.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,004.85",1.29%,,,"34,049.46",0.70%,,,"4,296.12",0.57%,,,"2,657.13",-1.76%,899.84,-2.49%,,,,,,,,,27.02,,30.0,"3,042.40",1.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,490.74",-3.95%,,,"33,240.18",-2.38%,,,"4,175.20",-2.81%,,,"2,668.31",0.42%,911.16,1.26%,,,,,,,,,33.52,,20.0,"2,909.10",-4.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,488.93",-0.01%,,,"33,301.93",0.19%,,,"4,183.96",0.21%,,,"2,639.06",-1.10%,896.18,-1.64%,,,,,,,,,31.6,,19.0,"2,894.90",-0.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,871.53",3.06%,,,"33,916.39",1.85%,,,"4,287.50",2.47%,,,"2,667.49",1.08%,892.22,-0.44%,,,,,,,,,29.99,,23.0,"3,056.40",5.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,334.64",-4.17%,,,"32,977.21",-2.77%,,,"4,131.93",-3.63%,,,"2,695.05",1.03%,904.75,1.40%,,,,,,,,,33.400002,,18.0,"2,919.70",-4.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,536.02",1.63%,,,"33,061.50",0.26%,,,"4,155.38",0.57%,,,"2,687.45",-0.28%,901.82,-0.32%,,,,,,,,,32.34,,17.0,"3,022.20",3.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,563.76",0.22%,,,"33,128.79",0.20%,,,"4,175.48",0.48%,,,"2,680.46",-0.26%,907.57,0.64%,,,,,,,,,29.25,,30.0,"3,044.90",0.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,964.86",3.19%,,,"34,061.06",2.81%,,,"4,300.17",2.99%,,,"2,677.57",-0.11%,900.06,-0.83%,,,,,,,,,25.42,,22.0,"3,163.80",3.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,317.69",-4.99%,,,"32,997.97",-3.12%,,,"4,152.38",-3.44%,,,,,,,,,,,,,,,31.200001,,17.0,"3,005.50",-5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,144.66",-1.40%,,,"32,899.37",-0.30%,,,"4,123.34",-0.70%,,,"2,644.51",-1.23%,884.22,-1.76%,,,,,,,,,30.190001,,16.0,"2,982.10",-0.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,623.25",-4.29%,,,"32,245.70",-1.99%,,,"3,991.24",-3.20%,,,"2,610.81",-1.27%,860.84,-2.64%,,,,,,,,,34.75,,10.0,"2,829.10",-5.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,737.67",0.98%,,,"32,160.74",-0.26%,,,"4,001.05",0.25%,,,"2,596.56",-0.55%,856.14,-0.55%,,,,,,,,,32.990002,,10.0,"2,900.10",2.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,364.24",-3.18%,,,"31,834.37",-1.01%,,,"3,935.18",-1.65%,,,"2,592.27",-0.17%,866.34,1.19%,,,,,,,,,32.560001,,8.0,"2,811.90",-3.04%,8.3%,8.1%,8.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,370.96",0.06%,,,"31,730.04",-0.33%,,,"3,930.08",-0.13%,,,"2,550.08",-1.63%,833.66,-3.77%,,,,,,,,,31.77,,6.0,"2,827.20",0.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,805.00",3.82%,,,"32,195.94",1.47%,,,"4,023.89",2.39%,,,"2,604.24",2.12%,853.08,2.33%,,,,,,,,,28.870001,,11.0,"2,970.40",5.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,662.79",-1.20%,,,"32,224.01",0.09%,,,"4,008.01",-0.39%,,,"2,596.58",-0.29%,856.25,0.37%,,,,,,,,,27.469999,,14.0,"2,920.10",-1.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,984.52",2.76%,,,"32,655.05",1.34%,,,"4,088.85",2.02%,,,"2,620.44",0.92%,865.98,1.14%,,,,,,,,,26.1,,15.0,"3,066.50",5.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,418.15",-4.73%,,,"31,493.56",-3.56%,,,"3,923.68",-4.04%,,,"2,625.98",0.21%,871.57,0.65%,,,,,,,,,30.959999,,9.0,"2,908.00",-5.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,388.50",-0.26%,,,"31,253.26",-0.76%,,,"3,900.79",-0.58%,,,"2,592.34",-1.28%,863.8,-0.89%,,,,,,,,,29.35,,12.0,"2,890.30",-0.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,354.62",-0.30%,,,"31,260.58",0.02%,,,"3,901.36",0.01%,,,"2,639.29",1.81%,879.88,1.86%,,,,,,,,,29.43,,11.0,"2,882.70",-0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,535.27",1.59%,,,"31,880.64",1.98%,,,"3,973.75",1.86%,,,"2,647.38",0.31%,883.59,0.42%,,,,,,,,,28.48,,13.0,"2,898.40",0.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,264.45",-2.35%,,,"31,931.06",0.16%,,,"3,941.48",-0.81%,,,"2,605.87",-1.57%,865.07,-2.10%,,,,,,,,,29.450001,,11.0,"2,827.00",-2.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,434.74",1.51%,,,"32,121.53",0.60%,,,"3,978.73",0.95%,,,"2,617.22",0.44%,872.69,0.88%,,,,,,,,,28.370001,,13.0,"2,882.90",1.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,740.65",2.68%,,,"32,638.44",1.61%,,,"4,057.84",1.99%,,,"2,612.45",-0.18%,871.43,-0.14%,,,,,,,,,27.5,,17.0,"2,994.60",3.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,131.13",3.33%,,,"33,213.55",1.76%,,,"4,158.24",2.47%,,,"2,638.05",0.98%,873.97,0.29%,,,,,,,,,25.719999,,21.0,"3,115.40",4.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"2,669.66",1.20%,886.44,1.43%,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,081.39",-0.41%,,,"32,991.97",-0.67%,,,"4,132.15",-0.63%,,,"2,685.90",0.61%,893.36,0.78%,,,,,,,,,26.190001,,26.0,"3,098.70",-0.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,25.690001,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,24.719999,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,24.790001,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,25.07,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,24.02,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,23.959999,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,26.09,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,27.75,,28.0,,,8.6%,8.3%,8.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,34.02,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32.689999,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,29.620001,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,32.950001,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,31.129999,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,30.190001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,28.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3%,8.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
