item,abbr,English,Korean,exp1,exp2,
index,dji,DJI,다우지수,,,
index,dji_cr,DJI_change_rate,다우지수_변동률,,,
index,dji_f,DJI_future,다우선물지수,,,
index,dji_f_cr,DJI_future_change_rate,다우선물지수_변동률,,,
index,spx,SPX,S&P지수,,,
index,spx_cr,SPX_change_rate,S&P지수_변동률,,,
index,spx_f,SPX_future,S&P선물지수,,,
index,spx_f_cr,SPX_future_change_rate,S&P선물지수_변동률,,,
index,kospi,KS11,코스피지수,,,
index,kospi_cr,KS11_change_rate,코스피지수_변동률,,,
index,kosdaq,KQ11,코스닥지수,,,
index,kosdaq_cr,KQ11_change_rate,코스닥지수_변동률,,,
index,wti,WTI_rate,WTI선물지수,,,
index,wti_cr,WTI_rate_change_rate,WTI선물지수 변동률,,,
index,dxy,Dollar_index,미국달러지수,,,
index,dxy_cr,Dollar_index_change_rate,미국달러지수 변동률,,,
index,krw,USD_KRW,원화환율,,,
index,krw_cr,USD_KRW_change_rate,원화환율 변동률,,,
index,bond_usa_10,10_YEAR_BOND_YIELD_usa,미국10년만기국채수익률,,,
index,bond_usa_10_cr,10_YEAR_BOND_YIELD_usa_change_rate,미국10년만기국채수익률 변동률,,,
index,bond_usa_2,2_YEAR_BOND_YIELD_usa,미국2년만기국채수익률,,,
index,bond_usa_2_cr,2_YEAR_BOND_YIELD_usa_change_rate,미국2년만기국채수익률 변동률,,,
index,bond_usa_3m,3_MONTH_BOND_YIELD_usa,미국3개월만기국채수익률,,,
index,bond_usa_3m_cr,3_MONTH_BOND_YIELD_usa_change_rate,미국3개월만기국채수익률 변동률,,,
index,bond_kor_10,10_YEAR_BOND_YIELD_korea,한국10년만기국채수익률,,,
index,bond_kor_10_cr,10_YEAR_BOND_YIELD_korea_change_rate,한국10년만기국채수익률 변동률,,,
index,bond_kor_2,2_YEAR_BOND_YIELD_korea,한국2년만기국채수익률,,,
index,bond_kor_2_cr,2_YEAR_BOND_YIELD_korea_change_rate,한국2년만기국채수익률 변동률,,,
index,vix,VIX,VIX지수,,,
index,vix_cr,VIX_change_rate,VIX지수_변동률,,,
index,f_g_index,FEAR_GREED_INDEX,공포탐욕지수,,,
index,sox,SOX_INDEX,필라델피아 반도체지수,,,
index,sox_cr,SOX_INDEX_change_rate,필라델피아 반도체지수 변동률,,,
index,cpi,Consumer Price Index,소비자물가지수,,,
index,cpi_anticipated,anticipated consumer price index,예측 소비자물가지수,,,
index,cpi_previous,previous consumer price index,이전 소비자물가지수,,,
index,gold,Gold_Price_ounce_dollar,"금시세(ounce, US dollar)",,,
index,gold_cr,Gold_Price_change_rate,금시세변동률,,,
index,fed_rate,FED_interest_rate,연준금리,,,
index,fed_rate_fore,FED_interest_forecast_rate,연준금리인상예측,,,
index,fed_rate_prev,FED_interest_previous_rate,연준금리직전금리,,,
index,fed_rate_ann,FED_interest_rate_change_announcement_date,연준금리인상발표,,기준일 대비 -일로 표시,
index,fed_rate_imp,FED_interest_rate_change_implementation_date,연준금리인상실시날짜,,기준일 대비 -일로 표시,
index,bok_rate,BOK_interest_rate,한은금리,,,
index,bok_rate_fore,BOK_interest_forecast_rate,한은금리인상예측,,,
index,bok_rate_prev,BOK_interest_previous_rate,한은금리직전금리,,,
index,bok_rate_ann,BOK_interest_rate_change_announcement_date,한은금리인상발표,,,
index,bok_rate_imp,BOK_interest_rate_change_implementation_date,한은금리인상실시날짜,,,
expiration,fu_usa_date,Futures_Expiration_date,선물만기일(-일),,기준일 대비 -일로 표시,
expiration,op_usa_date,Option_Expiration_date,옵션만기일(-일),,기준일 대비 -일로 표시,
expiration,qw_usa_day,Quadruple_witching_day,네마녀의 날,,,
expiration,fu_kor_date,Futures_Expiration_date,선물만기일(-일),,기준일 대비 -일로 표시,
expiration,op_kor_date,Option_Expiration_date,옵션만기일(-일),,기준일 대비 -일로 표시,
expiration,dw_kor_day,Double_witching_day,선물과 옵션의 동시만기일,,,
