item,abbr,English,Korean,exp1,exp2,
investor,date,date,거래일자,,,
investor,retail,"Retail_Purchase_amount (Retail investor, Indivisual investor)",개인매수액,개인 : 일반인이 주식을 매매,,
investor,retail_cr,Retail_Purchase_amount_change_rate,개인매수변동률,,전전일대비 전일 변동률,
investor,retail_days,Retail_Purchase_number_of_consecutive_days,개인매수지속일,,"지난 5일간 순매수(+), 혹은 순매도(-)가 지속된 일수(+,-일수)",
investor,foreigner,Foreigner_Purchase_amount,외국인매수액,외국인 : 주로 외국계 증권사,,
investor,foreigner_cr,Foreigner_Purchase_amount_change_rate,외국인매수변동률,,,
investor,foreigner_days,Foreigner_Purchase_number_of_consecutive_days,외국인매수지속일,,,
investor,institution,Institutional_Purchase_amount,기관매수액,기관 : 개인을 제외한 투자자,,
investor,institution_cr,Institutional_Purchase_amount_change_rate,기관매수변동률,,,
investor,institution_days,Institutional_Purchase_amount_number_of_consecutive_days,기관매수지속일,,,
investor,financial,financial_Investment_amount,금융투자,"금융투자 : 증권사, 자산운용사 등이 회사자산을 이용하여 투자할 경우",,
investor,financial_cr,financial_Investment_amount_change_rate,금융투자변동률,,,
investor,financial_days,financial_Investment_amount_number_of_consecutive_days,금융투자지속일,,,
investor,invtrust,InvestmentTrust_Purchase_amount,투신매수액,"투자신탁 : 증권사, 자산운용사 등이 고객의 자산을 이용하여 투자, 펀드 등",,
investor,invtrust_cr,InvestmentTrust_Purchase_amount_change_rate,투신매수변동률,,,"국가 : 우체국, 보험공사, 주택공사등 공공기관"
investor,invtrust_days,InvestmentTrust_Purchase_number_of_consecutive_days,투신매수지속일,,,
investor,pension,Pension_Purchase_amount,연기금매수액,"연기금 : 각종 연금, 공제회 기금등을 직접 운용하여 투자",,
investor,pension_cr,Pension_Purchase_amount_change_rate,연기금매수변동률,,,
investor,pension_days,Pension_Purchase_number_of_consecutive_days,연기금매수지속일,,,
investor,privequity,PrivateEquity_Purchase_amount,사모펀드매수액,사모펀드 : 고객의 자산을 이용하여 투자.,,
investor,privequity_cr,PrivateEquity_Purchase_amount_change_rate,사모펀드매수변동률,,,
investor,privequity_days,PrivateEquity_Purchase_number_of_consecutive_days,사모펀드매수지속일,,,
investor,bank,bank_amount,은행매수액,은행 : 고객의 예금을 운용하여 투자,,
investor,bank_cr,bank_amount_change_rate,은행매수변동율,,,
investor,bank_days,bank_amount_number_of_consecutive_days,은행매수지속일,,,
investor,insurance,insurance,보험매수액,보험 : 고객의 보험금을 운용하여 투자,,
investor,insurance_cr,insurance_amount_change_rate,보험매수변동율,,,
investor,insurance_days,insurance_amount_number_of_consecutive_days,보험매수지속일,,,
investor,financeetc,,기타금융매수액,기타금융 : 상호저축은행 등,,
investor,financeetc_cr,,기타금융매수변동률,,,
investor,financeetc_days,,기타금융매수지속일,,,
investor,corporateetc,,기타법인매수액,"기타법인 : 투자기관이 아닌 법인이 투자할 경우, 자사주 매입등",,
investor,corporateetc_cr,,기타법인매수변동률,,,
investor,corporateetc_days,,기타법인매수지속일,,,
investor,foreigneretc,,기타외국인매수액,기타외국인 : 국내에 6개월 이상 거주하는 외국인. 주로 개인투자자,,
investor,foreigneretc_cr,,기타외국인매수변동율,,,
investor,foreigneretc_days,,기타외국인매수액지속일,,,
investor,rc1_pcr,Relevant_Company1_price_change_rate,관련업체1시가변동률,,전일 변동률,
investor,rc2_pcr,Relevant_Company2_price_change_rate,관련업체2시가변동률,,,
investor,rc3_pcr,Relevant_Company3_price_change_rate,관련업체3시가변동률,,,
investor,rc4_pcr,Relevant_Company4_price_change_rate,관련업체4시가변동률,,,
historical,open,Open_price,시가,,,
historical,high,High_price,최고가격,,,
historical,low,Low_price,최저가격,,,
historical,close,Close_price,종가,,,
historical,close_cr,close_price_change_rate,종가 변동률,,,
historical,vol,Volume,거래량,,,
historical,vol_cr,Volume_chang_rate,거래량변동률,,,
historical,high_time,High_price_time,최고가격시간,,,
historical,low_time,Low_price_time,최저가격시간,,,
index,ixic,IXIC,나스닥지수,,전일 지수,
index,ixic_cr,IXIC_change_rate,나스닥지수_변동률,1주 변동률 추이 검토,전일 변동률,
index,ixic_f,IXIC_future,나스닥선물지수,,,
index,ixic_f_cr,IXIC_future_change_rate,나스닥선물지수_변동률,,,
