,시간,현재가,등락,등락률(%),체결량,거래량
0,06/20 15:50,234000,"▼ 3,500",-1.47,145,715930
1,06/20 15:40,234000,"▼ 3,500",-1.47,1294,715785
2,06/20 15:30,234000,"▼ 3,500",-1.47,41035,714491
3,06/20 15:10,234500,"▼ 3,000",-1.26,42535,673456
4,06/20 15:00,233000,"▼ 4,500",-1.89,16382,630921
5,06/20 14:50,232000,"▼ 5,500",-2.32,14388,614539
6,06/20 14:40,232500,"▼ 5,000",-2.11,7293,600151
7,06/20 14:30,233000,"▼ 4,500",-1.89,19110,592858
8,06/20 14:20,231500,"▼ 6,000",-2.53,16360,573748
9,06/20 14:10,232000,"▼ 5,500",-2.32,12780,557388
10,06/20 14:00,232000,"▼ 5,500",-2.32,8193,544608
11,06/20 13:50,231500,"▼ 6,000",-2.53,9103,536415
12,06/20 13:40,232000,"▼ 5,500",-2.32,4316,527312
13,06/20 13:30,232000,"▼ 5,500",-2.32,18706,522996
14,06/20 13:20,232000,"▼ 5,500",-2.32,3755,504290
15,06/20 13:10,231500,"▼ 6,000",-2.53,13469,500535
16,06/20 13:00,232000,"▼ 5,500",-2.32,5939,487066
17,06/20 12:50,232000,"▼ 5,500",-2.32,7717,481127
18,06/20 12:40,232500,"▼ 5,000",-2.11,12893,473410
19,06/20 12:30,234000,"▼ 3,500",-1.47,8809,460517
0,06/20 13:20,232000,"▼ 5,500",-2.32,3755,504290
1,06/20 13:10,231500,"▼ 6,000",-2.53,13469,500535
2,06/20 13:00,232000,"▼ 5,500",-2.32,5939,487066
3,06/20 12:50,232000,"▼ 5,500",-2.32,7717,481127
4,06/20 12:40,232500,"▼ 5,000",-2.11,12893,473410
5,06/20 12:30,234000,"▼ 3,500",-1.47,8809,460517
6,06/20 12:20,233000,"▼ 4,500",-1.89,17365,451708
7,06/20 12:10,232000,"▼ 5,500",-2.32,2768,434343
8,06/20 12:00,232500,"▼ 5,000",-2.11,7485,431575
9,06/20 11:50,232500,"▼ 5,000",-2.11,9651,424090
10,06/20 11:40,233000,"▼ 4,500",-1.89,6972,414439
11,06/20 11:30,232500,"▼ 5,000",-2.11,21820,407467
12,06/20 11:20,231000,"▼ 6,500",-2.74,9860,385647
13,06/20 11:10,231000,"▼ 6,500",-2.74,9197,375787
14,06/20 11:00,231500,"▼ 6,000",-2.53,22004,366590
15,06/20 10:50,230000,"▼ 7,500",-3.16,14220,344586
16,06/20 10:40,231000,"▼ 6,500",-2.74,25586,330366
17,06/20 10:30,231000,"▼ 6,500",-2.74,24435,304780
18,06/20 10:20,231500,"▼ 6,000",-2.53,18661,280345
19,06/20 10:10,232000,"▼ 5,500",-2.32,14159,261684
0,06/20 10:00,232500,"▼ 5,000",-2.11,34286,247525
1,06/20 09:50,233000,"▼ 4,500",-1.89,27758,213239
2,06/20 09:40,234000,"▼ 3,500",-1.47,12238,185481
3,06/20 09:30,236000,"▼ 1,500",-0.63,34872,173243
4,06/20 09:20,234500,"▼ 3,000",-1.26,46083,138371
5,06/20 09:10,235500,"▼ 2,000",-0.84,31277,92288
6,06/20 09:00,236000,"▼ 1,500",-0.63,60998,61011
7,06/20 08:30,237500,0,0.0,13,13
