date,financial,insurance,invtrust,privequity,bank,financeetc,pension,institution,corporateetc,retail,foreigner,foreigneretc,total
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,-4659,-779,-2096,-187,48,13,1375,-6285,-194,5560,923,-3,0
2020-01-03,-7244,-928,165,66,-6,11,-1824,-9760,202,8622,864,72,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,-4026,313,202,-38,0,-80,-1487,-5116,149,2098,2879,-10,0
2020-01-07,-519,-188,-418,-160,0,0,-800,-2085,-352,5307,-2864,-7,0
2020-01-08,-5018,-165,-739,-397,1,-29,1401,-4946,219,3130,1605,-8,0
2020-01-09,821,1101,-562,-38,-2,0,-72,1248,25,1789,-3056,-6,0
2020-01-10,-7536,38,1232,548,8,-2,2977,-2735,-84,-9596,12413,3,0
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,-1484,261,114,213,85,0,-1338,-2149,2,918,1220,9,0
2020-01-14,-1215,-441,-593,-458,37,0,-1005,-3675,371,-209,3515,-2,0
2020-01-15,-1782,432,-922,611,-173,-17,-1224,-3076,45,800,2238,-8,0
2020-01-16,3264,-112,-505,-136,-10,-40,430,2892,-401,-1733,-757,0,0
2020-01-17,-516,-616,329,575,0,146,-4046,-4128,122,582,3404,20,0
2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,-1578,-1725,58,220,528,475,-1241,-3263,-89,5254,-1933,31,0
2020-01-21,1314,-50,508,-993,480,-472,26,813,17,-4982,4152,-1,0
2020-01-22,291,-728,-428,-5495,75,618,-948,-6617,95,-233,6755,0,0
2020-01-23,-1365,-1369,-1647,167,-70,-20,-8519,-12822,15,4908,7865,34,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,-1801,235,-1591,-3948,-3,0,-8075,-15182,52,-4883,20003,9,0
2020-01-29,-3411,1303,12259,3385,3015,1591,10738,28879,-1296,-43393,16136,-325,0
2020-01-30,-2117,341,1911,-1846,0,1489,2230,2009,145,579,-2729,-4,0
2020-01-31,-6518,1672,84,70,-20,9,3686,-1016,426,-5235,5828,-2,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,-3008,1253,944,-699,-15,-292,3069,1253,500,8226,-9982,3,0
2020-02-04,-9893,100,-844,-1259,21,413,-2618,-14079,1643,23270,-10861,28,0
2020-02-05,-10880,1519,534,-1109,0,50,7382,-2505,73,-1503,3924,12,0
2020-02-06,361,418,-1215,-2333,9,306,-3041,-5496,74,357,5082,-18,0
2020-02-07,-5163,-661,-60,-8,0,-24,2239,-3678,446,-2115,5341,6,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,-1452,-738,-784,133,0,30,-723,-3533,329,5384,-2185,5,0
2020-02-11,3274,-701,-3108,43,0,-111,96,-507,550,-1653,1612,-1,0
2020-02-12,2794,-356,-625,-467,-9,0,-816,521,160,829,-1560,50,0
2020-02-13,-811,-1777,-3602,-640,554,-218,-7896,-14390,455,11802,2127,6,0
2020-02-14,-2616,-3040,-5664,-574,0,-26,-4607,-16527,1155,32072,-16740,40,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,-840,-643,-1019,-479,0,372,-1835,-4444,121,3879,389,55,0
2020-02-18,-3314,-275,-831,160,288,9,-13687,-17649,899,13160,3524,66,0
2020-02-19,2600,-742,-2647,-217,-259,-11,-5216,-6492,969,11769,-6314,68,0
2020-02-20,562,-242,-2609,-147,121,0,-3732,-6047,646,5034,368,-1,0
2020-02-21,-4513,532,-4,-115,-23,0,2044,-2079,166,3314,-1421,20,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,-292,34,2040,1424,-1172,-12,5422,7444,415,-6114,-1744,-2,0
2020-02-25,-1694,-1005,-2041,-147,5,-17,833,-4065,215,2403,1410,37,0
2020-02-26,-309,664,184,-55,-58,571,2512,3509,295,1528,-5334,1,0
2020-02-27,-3570,2141,6674,2832,100,889,5318,14383,-25,-5930,-8391,-37,0
2020-02-28,3611,2707,1573,-824,50,65,822,8004,639,-2025,-6629,11,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,8,593,2574,-28,394,0,-1115,2425,411,-864,-1985,13,0
2020-03-03,-5222,-261,-200,-134,0,0,-217,-6034,651,6177,-827,33,0
2020-03-04,-4406,-11207,-21588,546,-236,-2927,-24133,-63951,814,17960,45180,-3,0
2020-03-05,-4550,-3947,-12178,-5652,-20,-2412,-25,-28784,694,8127,19931,31,0
2020-03-06,-5019,62,-1981,-1653,-144,-1080,2968,-6847,267,-2085,8654,11,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,-4053,-183,-632,-867,0,523,5743,532,433,-3569,2604,1,0
2020-03-10,4012,146,-138,-392,-187,65,3038,6543,126,-4825,-1835,-9,0
2020-03-11,-2369,336,-1986,-470,0,-177,-3350,-8017,256,-324,8085,1,0
2020-03-12,-126,-393,-4245,-1321,0,-181,-7121,-13387,1278,7360,4752,-3,0
2020-03-13,-803,1993,-1754,648,0,-871,-1473,-2259,522,-8089,9733,93,0
