날짜,종가,오픈,고가,저가,변동 %
2022년 05월 31일,2.778,2.703,2.78,2.703,3.39%
2022년 05월 30일,2.687,2.688,2.688,2.658,-0.04%
2022년 05월 29일,2.688,2.688,2.688,2.688,0.00%
2022년 05월 28일,2.688,2.688,2.688,2.688,-0.11%
2022년 05월 27일,2.691,2.704,2.727,2.691,-1.07%
2022년 05월 26일,2.72,2.713,2.762,2.705,0.74%
2022년 05월 25일,2.7,2.681,2.711,2.681,-0.74%
2022년 05월 24일,2.72,2.76,2.77,2.715,-1.41%
2022년 05월 23일,2.759,2.727,2.767,2.727,1.06%
2022년 05월 22일,2.73,2.73,2.73,2.73,0.00%
2022년 05월 21일,2.73,2.73,2.73,2.73,-0.36%
2022년 05월 20일,2.74,2.746,2.752,2.715,-1.33%
2022년 05월 19일,2.777,2.773,2.79,2.765,-0.79%
2022년 05월 18일,2.799,2.831,2.841,2.789,-0.28%
2022년 05월 17일,2.807,2.791,2.837,2.788,-0.60%
2022년 05월 16일,2.824,2.806,2.867,2.742,4.75%
2022년 05월 15일,2.696,2.696,2.696,2.696,0.00%
2022년 05월 14일,2.696,2.696,2.696,2.696,-0.33%
2022년 05월 13일,2.705,2.711,2.733,2.671,-0.92%
2022년 05월 12일,2.73,2.77,2.815,2.727,-0.87%
2022년 05월 11일,2.754,2.828,2.836,2.754,-3.44%
2022년 05월 10일,2.852,2.826,2.87,2.808,-0.73%
2022년 05월 09일,2.873,2.964,2.967,2.869,-1.78%
2022년 05월 08일,2.925,2.925,2.925,2.925,0.00%
2022년 05월 07일,2.925,2.925,2.925,2.925,0.07%
2022년 05월 06일,2.923,2.957,2.983,2.923,-1.18%
2022년 05월 05일,2.958,2.958,2.958,2.958,-1.40%
2022년 05월 04일,3,2.926,3,2.924,3.52%
2022년 05월 03일,2.898,2.932,2.932,2.83,0.35%
2022년 05월 02일,2.888,2.83,2.905,2.83,4.83%
2022년 05월 01일,2.755,2.755,2.755,2.755,0.00%
2022년 04월 30일,2.755,2.755,2.755,2.755,-0.90%
2022년 04월 29일,2.78,2.788,2.792,2.758,1.28%
2022년 04월 28일,2.745,2.68,2.759,2.68,2.62%
2022년 04월 27일,2.675,2.604,2.678,2.591,0.75%
2022년 04월 26일,2.655,2.661,2.69,2.639,-0.97%
2022년 04월 25일,2.681,2.721,2.73,2.681,-1.87%
2022년 04월 24일,2.732,2.732,2.732,2.732,0.00%
2022년 04월 23일,2.732,2.732,2.732,2.732,-1.19%
2022년 04월 22일,2.765,2.776,2.782,2.746,1.92%
2022년 04월 21일,2.713,2.72,2.747,2.713,-1.88%
2022년 04월 20일,2.765,2.82,2.837,2.738,-1.04%
2022년 04월 19일,2.794,2.794,2.849,2.735,-0.21%
2022년 04월 18일,2.8,2.852,2.857,2.793,1.08%
2022년 04월 17일,2.77,2.77,2.77,2.77,0.00%
2022년 04월 16일,2.77,2.77,2.77,2.77,-0.07%
2022년 04월 15일,2.772,2.786,2.833,2.767,0.29%
2022년 04월 14일,2.764,2.867,2.914,2.72,-4.36%
2022년 04월 13일,2.89,2.903,2.985,2.888,-3.51%
2022년 04월 12일,2.995,3.045,3.074,2.981,0.47%
2022년 04월 11일,2.981,2.876,2.981,2.876,6.46%
2022년 04월 10일,2.8,2.8,2.8,2.8,0.00%
2022년 04월 09일,2.8,2.8,2.8,2.8,-0.14%
2022년 04월 08일,2.804,2.725,2.818,2.725,3.13%
2022년 04월 07일,2.719,2.67,2.741,2.66,-1.06%
2022년 04월 06일,2.748,2.74,2.764,2.731,4.53%
2022년 04월 05일,2.629,2.51,2.629,2.51,1.70%
2022년 04월 04일,2.585,2.542,2.603,2.521,4.23%
2022년 04월 03일,2.48,2.48,2.48,2.48,0.00%
2022년 04월 02일,2.48,2.48,2.48,2.48,-0.12%
2022년 04월 01일,2.483,2.366,2.485,2.366,4.72%
2022년 03월 31일,2.371,2.31,2.371,2.294,0.81%
2022년 03월 30일,2.352,2.352,2.371,2.344,-2.29%
2022년 03월 29일,2.407,2.444,2.466,2.4,-1.76%
2022년 03월 28일,2.45,2.277,2.455,2.277,10.46%
2022년 03월 27일,2.218,2.218,2.218,2.218,0.00%
2022년 03월 26일,2.218,2.218,2.218,2.218,-0.14%
2022년 03월 25일,2.221,2.186,2.221,2.186,2.02%
2022년 03월 24일,2.177,2.141,2.192,2.111,0.32%
2022년 03월 23일,2.17,2.163,2.22,2.16,0.65%
2022년 03월 22일,2.156,2.116,2.187,2.116,4.10%
2022년 03월 21일,2.071,2.055,2.072,2.04,1.92%
2022년 03월 20일,2.032,2.032,2.032,2.032,-0.10%
2022년 03월 18일,2.034,2.014,2.062,2.008,1.24%
2022년 03월 17일,2.009,2.02,2.022,1.99,-1.76%
2022년 03월 16일,2.045,2.059,2.062,2.045,-1.40%
2022년 03월 15일,2.074,2.07,2.101,2.067,0.73%
2022년 03월 14일,2.059,2.07,2.07,2.059,0.93%
2022년 03월 13일,2.04,2.04,2.04,2.04,0.00%
2022년 03월 12일,2.04,2.04,2.04,2.04,-1.07%
2022년 03월 11일,2.062,2.092,2.092,2.05,-1.90%
2022년 03월 10일,2.102,2.086,2.122,2.086,0.14%
2022년 03월 09일,2.099,1.996,2.099,1.996,3.35%
2022년 03월 08일,2.031,2.036,2.062,2.001,-1.17%
2022년 03월 07일,2.055,1.942,2.064,1.942,5.93%
2022년 03월 06일,1.94,1.94,1.94,1.94,0.00%
2022년 03월 05일,1.94,1.94,1.94,1.94,-0.92%
2022년 03월 04일,1.958,1.939,1.967,1.927,0.05%
2022년 03월 03일,1.957,1.98,1.98,1.953,-0.05%
2022년 03월 02일,1.958,1.952,1.967,1.948,-1.61%
2022년 03월 01일,1.99,1.99,1.99,1.99,-0.05%
2022년 02월 28일,1.991,1.998,2.006,1.981,-0.70%
2022년 02월 27일,2.005,2.005,2.005,2.005,0.00%
2022년 02월 26일,2.005,2.005,2.005,2.005,-0.94%
2022년 02월 25일,2.024,2.045,2.067,2.024,0.30%
