날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,"32,971.00","33,201.00","33,434.00","32,722.00",219.70K,-0.82%
2022년 05월 30일,"33,245.00","33,213.00","33,434.00","33,155.00",34.10K,0.10%
2022년 05월 29일,"33,212.00","33,209.00","33,253.00","33,168.00",2.32K,0.16%
2022년 05월 27일,"33,158.00","32,531.00","33,239.00","32,485.00",139.30K,1.71%
2022년 05월 26일,"32,600.00","32,074.00","32,738.00","31,996.00",153.65K,1.63%
2022년 05월 25일,"32,076.00","31,943.00","32,215.00","31,683.00",180.97K,0.61%
2022년 05월 24일,"31,880.00","31,782.00","31,972.00","31,315.00",204.98K,0.13%
2022년 05월 23일,"31,839.00","31,288.00","31,925.00","31,286.00",181.35K,2.01%
2022년 05월 20일,"31,213.00","31,209.00","31,548.00","30,585.00",217.51K,0.04%
2022년 05월 19일,"31,202.00","31,397.00","31,524.00","30,955.00",222.59K,-0.76%
2022년 05월 18일,"31,440.00","32,629.00","32,651.00","31,299.00",168.60K,-3.50%
2022년 05월 17일,"32,581.00","32,139.00","32,692.00","32,129.00",166.27K,1.31%
2022년 05월 16일,"32,159.00","32,148.00","32,453.00","31,867.00",167.02K,0.22%
2022년 05월 14일,"32,087.00","32,087.00","32,087.00","32,087.00",-,-0.10%
2022년 05월 13일,"32,120.00","31,556.00","32,201.00","31,556.00",171.08K,1.48%
2022년 05월 12일,"31,652.00","31,803.00","31,893.00","31,148.00",256.20K,-0.29%
2022년 05월 11일,"31,743.00","32,048.00","32,506.00","31,715.00",264.40K,-1.07%
2022년 05월 10일,"32,087.00","32,206.00","32,663.00","31,805.00",239.43K,-0.23%
2022년 05월 09일,"32,161.00","32,624.00","32,690.00","32,037.00",242.48K,-1.77%
2022년 05월 07일,"32,742.00","32,742.00","32,742.00","32,742.00",-,-0.20%
2022년 05월 06일,"32,809.00","32,933.00","32,966.00","32,376.00",241.72K,-0.31%
2022년 05월 05일,"32,910.00","33,926.00","34,020.00","32,589.00",252.37K,-3.12%
2022년 05월 04일,"33,969.00","33,041.00","34,027.00","32,925.00",188.06K,2.83%
2022년 05월 03일,"33,033.00","32,960.00","33,254.00","32,806.00",162.76K,0.16%
2022년 05월 02일,"32,980.00","32,988.00","33,145.00","32,358.00",222.20K,0.30%
2022년 04월 29일,"32,882.00","33,735.00","33,903.00","32,820.00",202.18K,-2.80%
2022년 04월 28일,"33,828.00","33,308.00","33,968.00","33,155.00",211.62K,1.81%
2022년 04월 27일,"33,226.00","33,163.00","33,611.00","33,015.00",239.70K,0.20%
2022년 04월 26일,"33,160.00","33,965.00","34,038.00","33,081.00",222.15K,-2.37%
2022년 04월 25일,"33,965.00","33,644.00","34,021.00","33,230.00",265.19K,0.70%
2022년 04월 22일,"33,728.00","34,696.00","34,719.00","33,594.00",234.37K,-2.83%
2022년 04월 21일,"34,709.00","35,125.00","35,413.00","34,635.00",195.64K,-1.05%
2022년 04월 20일,"35,079.00","34,785.00","35,233.00","34,728.00",207.81K,0.68%
2022년 04월 19일,"34,841.00","34,397.00","34,897.00","34,226.00",172.17K,1.54%
2022년 04월 18일,"34,313.00","34,369.00","34,530.00","34,179.00",138.27K,-0.13%
2022년 04월 14일,"34,358.00","34,463.00","34,794.00","34,340.00",168.12K,-0.36%
2022년 04월 13일,"34,482.00","34,178.00","34,511.00","34,052.00",161.48K,1.00%
2022년 04월 12일,"34,139.00","34,232.00","34,582.00","34,002.00",193.14K,-0.23%
2022년 04월 11일,"34,219.00","34,636.00","34,668.00","34,181.00",159.04K,-1.14%
2022년 04월 08일,"34,613.00","34,481.00","34,820.00","34,368.00",156.89K,0.36%
2022년 04월 07일,"34,490.00","34,370.00","34,613.00","34,093.00",168.41K,0.26%
2022년 04월 06일,"34,399.00","34,595.00","34,608.00","34,178.00",185.47K,-0.44%
2022년 04월 05일,"34,550.00","34,802.00","35,015.00","34,469.00",152.77K,-0.80%
2022년 04월 04일,"34,829.00","34,688.00","34,849.00","34,514.00",117.20K,0.41%
2022년 04월 02일,"34,688.00","34,688.00","34,688.00","34,688.00",-,-0.09%
2022년 04월 01일,"34,718.00","34,702.00","34,805.00","34,437.00",152.09K,0.29%
2022년 03월 31일,"34,618.00","35,124.00","35,215.00","34,592.00",137.84K,-1.42%
2022년 03월 30일,"35,117.00","35,154.00","35,257.00","34,955.00",121.05K,-0.21%
2022년 03월 29일,"35,190.00","34,848.00","35,281.00","34,826.00",147.28K,0.97%
2022년 03월 28일,"34,853.00","34,762.00","34,886.00","34,445.00",129.89K,0.27%
2022년 03월 25일,"34,759.00","34,640.00","34,841.00","34,522.00",123.52K,0.45%
2022년 03월 24일,"34,604.00","34,252.00","34,655.00","34,214.00",123.38K,1.03%
2022년 03월 23일,"34,250.00","34,691.00","34,792.00","34,217.00",128.19K,-1.32%
2022년 03월 22일,"34,709.00","34,490.00","34,775.00","34,318.00",111.07K,0.79%
2022년 03월 21일,"34,436.00","34,670.00","34,694.00","34,228.00",153.66K,-0.47%
2022년 03월 20일,"34,600.00","34,704.00","34,704.00","34,593.00",2.33K,0.54%
2022년 03월 18일,"34,413.66","34,335.00","34,484.00","34,215.00",1.86K,-0.14%
2022년 03월 17일,"34,461.00","34,124.00","34,491.00","33,867.00",24.15K,1.18%
2022년 03월 16일,"34,059.00","33,510.00","34,160.00","33,388.00",42.65K,1.57%
2022년 03월 15일,"33,532.00","32,979.00","33,618.00","32,680.00",94.05K,1.78%
2022년 03월 14일,"32,944.00","33,012.00","33,395.00","32,815.00",111.93K,0.06%
2022년 03월 11일,"32,925.00","33,190.00","33,691.00","32,901.00",150.21K,-0.68%
2022년 03월 10일,"33,152.00","33,254.00","33,294.00","32,799.00",184.10K,-0.34%
