날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,"2,685.90","2,666.88","2,685.90","2,654.32",671.68M,0.61%
2022년 05월 30일,"2,669.66","2,662.31","2,672.74","2,654.18",469.80M,1.20%
2022년 05월 27일,"2,638.05","2,640.75","2,644.71","2,631.49",590.81M,0.98%
2022년 05월 26일,"2,612.45","2,616.99","2,641.91","2,602.01",595.85M,-0.18%
2022년 05월 25일,"2,617.22","2,621.75","2,630.17","2,602.94",712.61M,0.44%
2022년 05월 24일,"2,605.87","2,638.94","2,646.99","2,605.87",851.24M,-1.57%
2022년 05월 23일,"2,647.38","2,651.63","2,653.87","2,634.29",644.20M,0.31%
2022년 05월 20일,"2,639.29","2,605.78","2,641.68","2,605.38",755.65M,1.81%
2022년 05월 19일,"2,592.34","2,576.24","2,597.79","2,568.54",677.60M,-1.28%
2022년 05월 18일,"2,625.98","2,634.75","2,644.13","2,618.00",870.27M,0.21%
2022년 05월 17일,"2,620.44","2,603.58","2,621.84","2,603.58",873.52M,0.92%
2022년 05월 16일,"2,596.58","2,624.69","2,629.20","2,593.61",780.20M,-0.29%
2022년 05월 13일,"2,604.24","2,570.01","2,605.84","2,565.96",788.54M,2.12%
2022년 05월 12일,"2,550.08","2,569.50","2,591.57","2,546.80",900.33M,-1.63%
2022년 05월 11일,"2,592.27","2,586.52","2,599.11","2,579.09",679.51M,-0.17%
2022년 05월 10일,"2,596.56","2,590.13","2,602.75","2,553.01",841.46M,-0.55%
2022년 05월 09일,"2,610.81","2,634.32","2,642.75","2,606.08",892.65M,-1.27%
2022년 05월 06일,"2,644.51","2,650.89","2,652.51","2,635.97",1.33B,-1.23%
2022년 05월 04일,"2,677.57","2,690.45","2,696.03","2,667.23",1.18B,-0.11%
2022년 05월 03일,"2,680.46","2,690.16","2,702.10","2,680.46",883.40M,-0.26%
2022년 05월 02일,"2,687.45","2,669.21","2,689.91","2,667.85",873.72M,-0.28%
2022년 04월 29일,"2,695.05","2,669.18","2,696.10","2,664.06",962.40K,1.03%
2022년 04월 28일,"2,667.49","2,656.54","2,667.49","2,638.37",899.17M,1.08%
2022년 04월 27일,"2,639.06","2,630.58","2,641.82","2,615.50",1.07B,-1.10%
2022년 04월 26일,"2,668.31","2,674.00","2,678.05","2,663.83",889.94M,0.42%
2022년 04월 25일,"2,657.13","2,676.67","2,680.35","2,657.04",988.35K,-1.76%
2022년 04월 22일,"2,704.71","2,704.72","2,708.58","2,690.48",1.24B,-0.86%
2022년 04월 21일,"2,728.21","2,725.71","2,737.54","2,725.04",1.00B,0.35%
2022년 04월 20일,"2,718.69","2,718.49","2,724.46","2,702.84",1.74B,-0.01%
2022년 04월 19일,"2,718.89","2,707.76","2,723.98","2,705.32",1.26B,0.95%
2022년 04월 18일,"2,693.21","2,685.04","2,701.11","2,681.37",1.02B,-0.11%
2022년 04월 15일,"2,696.06","2,695.52","2,705.41","2,685.01",693.72M,-0.76%
2022년 04월 14일,"2,716.71","2,719.34","2,720.30","2,702.61",665.35M,0.01%
2022년 04월 13일,"2,716.49","2,677.53","2,717.63","2,672.60",733.24M,1.86%
2022년 04월 12일,"2,666.76","2,674.17","2,685.08","2,658.40",870.97M,-0.98%
2022년 04월 11일,"2,693.10","2,687.54","2,711.02","2,683.96",742.60M,-0.27%
2022년 04월 08일,"2,700.39","2,706.64","2,712.00","2,685.52",948.36M,0.17%
2022년 04월 07일,"2,695.86","2,714.70","2,718.50","2,693.36",999.28M,-1.43%
2022년 04월 06일,"2,735.03","2,739.07","2,747.85","2,730.66",1.32B,-0.88%
2022년 04월 05일,"2,759.20","2,765.50","2,769.18","2,750.50",1.61B,0.05%
2022년 04월 04일,"2,757.90","2,729.86","2,758.38","2,722.45",1.02B,0.66%
2022년 04월 01일,"2,739.85","2,745.85","2,745.85","2,729.68",1.31B,-0.65%
2022년 03월 31일,"2,757.65","2,743.24","2,765.20","2,743.20",1.03B,0.40%
2022년 03월 30일,"2,746.74","2,758.31","2,760.60","2,740.02",824.51K,0.21%
2022년 03월 29일,"2,741.07","2,745.62","2,754.18","2,733.22",732.16M,0.42%
2022년 03월 28일,"2,729.56","2,721.22","2,737.46","2,707.74",768.04M,-0.02%
2022년 03월 25일,"2,729.98","2,740.83","2,740.95","2,722.36",602.77M,0.01%
2022년 03월 24일,"2,729.66","2,716.25","2,729.66","2,705.14",960.90M,-0.20%
2022년 03월 23일,"2,735.05","2,727.12","2,742.27","2,720.83",883.37M,0.92%
2022년 03월 22일,"2,710.00","2,686.68","2,712.14","2,686.58",489.44M,0.89%
2022년 03월 21일,"2,686.05","2,717.81","2,717.81","2,683.69",502.40M,-0.77%
2022년 03월 18일,"2,707.02","2,695.64","2,708.16","2,688.71",644.02M,0.46%
2022년 03월 17일,"2,694.51","2,703.27","2,714.00","2,694.51",546.08M,1.33%
2022년 03월 16일,"2,659.23","2,649.85","2,659.90","2,630.03",736.35M,1.44%
2022년 03월 15일,"2,621.53","2,630.31","2,641.97","2,615.08",604.18M,-0.91%
2022년 03월 14일,"2,645.65","2,654.93","2,661.76","2,633.31",636.32M,-0.59%
2022년 03월 11일,"2,661.28","2,665.95","2,672.62","2,647.28",797.03M,-0.71%
2022년 03월 10일,"2,680.32","2,660.86","2,682.79","2,660.86",613.81M,2.21%
2022년 03월 08일,"2,622.40","2,617.33","2,647.18","2,605.81",540.37M,-1.09%
2022년 03월 07일,"2,651.31","2,680.17","2,680.17","2,644.10",571.56M,-2.29%
2022년 03월 04일,"2,713.43","2,736.58","2,736.58","2,702.34",765.68M,-1.22%
2022년 03월 03일,"2,747.08","2,729.86","2,748.21","2,726.35",614.51M,1.61%
2022년 03월 02일,"2,703.52","2,698.31","2,716.46","2,692.24",527.95M,0.16%
2022년 02월 28일,"2,699.18","2,663.00","2,699.18","2,658.25",613.47M,0.84%
2022년 02월 25일,"2,676.76","2,678.47","2,694.81","2,665.96",664.35M,1.06%
2022년 02월 24일,"2,648.80","2,689.28","2,694.55","2,642.63",926.40M,-2.60%
2022년 02월 23일,"2,719.53","2,727.43","2,729.56","2,705.31",537.84M,0.47%
2022년 02월 22일,"2,706.79","2,705.08","2,721.84","2,690.09",648.40M,-1.35%
2022년 02월 21일,"2,743.80","2,706.65","2,746.62","2,694.90",495.30M,-0.03%
2022년 02월 18일,"2,744.52","2,714.52","2,747.08","2,711.88",513.52M,0.02%
2022년 02월 17일,"2,744.09","2,735.11","2,770.66","2,711.99",611.42M,0.53%
2022년 02월 16일,"2,729.68","2,719.61","2,730.43","2,711.34",422.37M,1.99%
2022년 02월 15일,"2,676.54","2,712.45","2,716.45","2,665.47",589.04M,-1.03%
2022년 02월 14일,"2,704.48","2,715.10","2,724.72","2,688.24",616.34M,-1.57%
2022년 02월 11일,"2,747.71","2,739.14","2,766.70","2,735.08",480.52M,-0.87%
2022년 02월 10일,"2,771.93","2,787.44","2,788.27","2,761.76",509.61M,0.11%
2022년 02월 09일,"2,768.85","2,772.63","2,773.38","2,753.51",539.12M,0.81%
2022년 02월 08일,"2,746.47","2,767.76","2,779.85","2,726.72",560.53M,0.05%
2022년 02월 07일,"2,745.06","2,750.70","2,750.70","2,718.94",417.84M,-0.19%
2022년 02월 04일,"2,750.26","2,714.83","2,751.80","2,712.87",536.15M,1.57%
2022년 02월 03일,"2,707.82","2,706.34","2,735.34","2,702.78",435.71M,1.67%
2022년 01월 28일,"2,663.34","2,617.87","2,668.59","2,591.53",434.19M,1.87%
2022년 01월 27일,"2,614.49","2,709.24","2,722.86","2,614.49",487.73M,-3.50%
2022년 01월 26일,"2,709.24","2,729.75","2,744.14","2,708.10",472.65M,-0.41%
2022년 01월 25일,"2,720.39","2,786.41","2,789.62","2,703.99",639.96M,-2.56%
2022년 01월 24일,"2,792.00","2,823.76","2,828.11","2,780.68",473.99M,-1.49%
2022년 01월 21일,"2,834.29","2,837.49","2,847.95","2,817.11",532.75M,-0.99%
