날짜,개인,외국인계,기관계,증권,투신,은행,종금,보험,기금,기타
2022/06/20,-29579,-12351,43618,66331,-10484,1039,-83,-2956,7909,-1023
2022/06/17,-12312,-49409,61682,65647,-9163,2558,0,161,1318,364
2022/06/16,88348,-44917,-40091,8226,-17738,60,-1691,-14125,-11756,-3964
2022/06/15,64010,-52019,-29317,6113,-19843,-7000,-649,-6174,-10855,17675
2022/06/14,22199,-56083,33228,27384,-873,-1625,-552,1654,3929,735
2022/06/13,204007,-144428,-88886,-15047,-9699,1854,464,-7806,-53829,28400
2022/06/10,31994,-1757,-30185,-37278,21349,0,68,-4817,-10638,239
2022/06/09,106682,-68368,-38939,58159,-21029,-1800,-88,-12062,-63004,307
2022/06/08,12980,-17974,5958,-4954,1865,0,0,-1034,12412,-1039
2022/06/07,132724,-27144,-111969,-84750,-4090,0,0,-1043,-23027,4934
2022/06/03,-4155,-12047,19397,20264,5555,-170,906,-392,-8254,-2275
2022/06/02,-19818,68958,-49063,-87388,19780,0,-1000,4450,14566,-892
2022/05/31,-189907,202587,-11574,-84345,37395,3,-6830,13820,27492,-698
2022/05/30,-258012,36921,221987,68715,50681,3188,47,28541,68710,461
2022/05/27,-56393,34237,19920,57886,5619,650,0,-47,-46970,2366
2022/05/26,-38206,52212,-13733,2775,-3850,-90,0,-1090,-12862,-232
2022/05/25,54232,-92449,34874,69858,-17788,-63,-222,-8186,14182,3417
2022/05/24,298114,-191767,-112397,-27756,-4125,-2041,0,-6650,-57750,5438
2022/05/23,-26164,-14439,41464,40148,639,0,0,207,-526,-867
2022/05/20,-35220,-10297,53149,82575,1602,0,11,-2860,-26512,-7345
2022/05/19,44151,12485,-52881,-39166,8,-2640,-769,-1733,-5947,-4377
2022/05/18,16594,13815,-27879,-16725,1952,18,-483,968,-9638,-2645
2022/05/17,-21039,-35248,57648,53785,-804,0,-577,-2177,7001,-1503
2022/05/16,7279,14508,-22304,-14590,-73,88,-117,-1269,-3376,936
2022/05/13,-33563,-90704,114378,67797,-1652,-556,-549,-2711,49322,10096
2022/05/12,68773,9175,-77960,9736,-1784,0,-614,-4100,-60602,-371
2022/05/11,-2173,11645,-10511,-5681,1566,0,46,-8227,1732,1082
2022/05/10,-60815,14159,45708,20088,4749,101,-184,-384,-254,736
2022/05/09,-109534,85476,26467,27961,3363,123,-49,4267,-10209,-1788
2022/05/06,282179,-213809,-99402,-19099,-23941,780,-547,-12742,-38469,29598
2022/05/04,83040,-98018,12700,17994,-3557,0,-897,1075,279,1160
2022/05/03,399,9573,-17732,-20009,1898,-3500,-3,-4703,6242,7521
2022/05/02,133001,-21019,-109134,-10938,-28109,0,1003,-12773,-51912,-3607
2022/04/29,-28419,5494,25656,39215,-7306,1929,90,-10319,1936,-2050
2022/04/28,111284,-151190,32893,32329,2993,-2102,1000,-1600,972,6625
2022/04/27,269067,-213853,-72590,1050,-23444,-539,-4376,-630,-38477,17358
2022/04/26,250608,-277290,-14264,16963,2269,657,287,-11851,-22366,40263
2022/04/25,296365,-190384,-127832,-44677,-14533,602,936,-9944,-54028,19153
2022/04/22,523876,-184602,-351270,-107134,-103118,-2489,457,-27027,-102484,10529
2022/04/21,228200,-55778,-172507,55738,-82301,513,-68,-31268,-98954,-1223
2022/04/20,-69151,131735,-62144,-42126,-7075,3,0,-1846,-10745,-412
