날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,"4,131.25","4,164.50","4,202.25","4,102.75",2.22M,-1.11%
2022년 05월 30일,"4,177.75","4,167.25","4,202.25","4,161.50",210.47K,0.25%
2022년 05월 29일,"4,167.50","4,165.75","4,173.00","4,157.75",13.14K,0.28%
2022년 05월 27일,"4,155.75","4,047.50","4,168.25","4,041.25",1.55M,2.47%
2022년 05월 26일,"4,055.75","3,972.25","4,073.50","3,960.50",1.49M,1.99%
2022년 05월 25일,"3,976.75","3,950.00","3,997.75","3,913.50",1.74M,0.92%
2022년 05월 24일,"3,940.50","3,951.75","3,954.50","3,872.00",2.02M,-0.79%
2022년 05월 23일,"3,971.75","3,910.50","3,982.25","3,906.50",1.74M,1.85%
2022년 05월 20일,"3,899.50","3,900.50","3,949.50","3,807.50",2.41M,0.04%
2022년 05월 19일,"3,897.75","3,916.50","3,943.50","3,856.00",2.32M,-0.64%
2022년 05월 18일,"3,922.75","4,091.25","4,095.00","3,905.50",2.20M,-3.97%
2022년 05월 17일,"4,084.75","4,002.00","4,091.50","4,000.50",1.72M,2.00%
2022년 05월 16일,"4,004.75","4,025.00","4,043.50","3,979.50",1.70M,-0.23%
2022년 05월 14일,"4,014.00","4,014.00","4,014.00","4,014.00",-,-0.14%
2022년 05월 13일,"4,019.75","3,916.25","4,036.00","3,915.50",1.86M,2.36%
2022년 05월 12일,"3,927.25","3,939.75","3,961.75","3,855.00",2.38M,-0.08%
2022년 05월 11일,"3,930.25","3,990.50","4,050.50","3,923.75",2.16M,-1.66%
2022년 05월 10일,"3,996.75","3,993.25","4,065.50","3,953.00",2.25M,0.23%
2022년 05월 09일,"3,987.50","4,087.25","4,099.00","3,970.00",2.14M,-3.00%
2022년 05월 07일,"4,110.75","4,110.75","4,110.75","4,110.75",-,-0.21%
2022년 05월 06일,"4,119.50","4,146.50","4,153.25","4,062.00",2.31M,-0.57%
2022년 05월 05일,"4,143.25","4,289.75","4,300.75","4,099.25",2.39M,-3.54%
2022년 05월 04일,"4,295.25","4,171.25","4,303.00","4,142.75",1.78M,3.02%
2022년 05월 03일,"4,169.25","4,145.50","4,195.75","4,129.00",1.68M,0.44%
2022년 05월 02일,"4,151.00","4,144.00","4,165.75","4,056.00",2.35M,0.57%
2022년 04월 29일,"4,127.50","4,244.00","4,279.75","4,118.75",2.12M,-3.64%
2022년 04월 28일,"4,283.50","4,213.00","4,303.50","4,182.50",1.80M,2.47%
2022년 04월 27일,"4,180.25","4,149.50","4,236.25","4,149.00",2.04M,0.23%
2022년 04월 26일,"4,170.50","4,294.00","4,303.50","4,136.75",2.02M,-2.85%
2022년 04월 25일,"4,292.75","4,259.00","4,296.50","4,195.25",2.28M,0.60%
2022년 04월 22일,"4,267.25","4,385.75","4,393.25","4,247.50",2.04M,-2.81%
2022년 04월 21일,"4,390.50","4,468.00","4,509.00","4,380.00",1.70M,-1.46%
2022년 04월 20일,"4,455.50","4,441.00","4,484.25","4,432.75",1.42M,-0.08%
2022년 04월 19일,"4,459.25","4,399.00","4,467.00","4,371.75",1.47M,1.65%
2022년 04월 18일,"4,386.75","4,390.00","4,406.25","4,355.50",1.15M,-0.02%
2022년 04월 14일,"4,387.50","4,438.50","4,455.75","4,385.00",1.40M,-1.23%
2022년 04월 13일,"4,442.25","4,396.75","4,449.50","4,384.00",1.25M,1.12%
2022년 04월 12일,"4,393.00","4,411.00","4,466.75","4,375.50",1.74M,-0.36%
2022년 04월 11일,"4,409.00","4,488.75","4,491.25","4,403.50",1.43M,-1.66%
2022년 04월 08일,"4,483.50","4,494.75","4,519.75","4,468.75",1.36M,-0.28%
2022년 04월 07일,"4,496.25","4,471.25","4,517.25","4,444.50",1.45M,0.46%
2022년 04월 06일,"4,475.75","4,526.25","4,528.75","4,444.50",1.80M,-0.98%
2022년 04월 05일,"4,520.25","4,576.25","4,588.75","4,507.75",1.30M,-1.26%
2022년 04월 04일,"4,577.75","4,538.25","4,580.00","4,527.75",1.03M,0.86%
2022년 04월 02일,"4,538.50","4,538.50","4,538.50","4,538.50",-,-0.02%
2022년 04월 01일,"4,539.25","4,541.00","4,555.50","4,501.25",1.44M,0.19%
2022년 03월 31일,"4,530.75","4,599.00","4,614.25","4,526.25",1.65M,-1.42%
2022년 03월 30일,"4,596.00","4,621.25","4,627.50","4,574.75",1.21M,-0.64%
2022년 03월 29일,"4,625.50","4,570.25","4,631.00","4,565.25",1.35M,1.26%
2022년 03월 28일,"4,568.00","4,535.25","4,572.25","4,509.75",1.18M,0.69%
2022년 03월 25일,"4,536.50","4,516.25","4,539.00","4,493.25",1.25M,0.53%
2022년 03월 24일,"4,512.50","4,449.25","4,517.50","4,445.75",1.22M,1.46%
2022년 03월 23일,"4,447.50","4,504.00","4,514.00","4,444.75",1.34M,-1.28%
2022년 03월 22일,"4,505.00","4,456.75","4,514.75","4,433.00",1.21M,1.18%
2022년 03월 21일,"4,452.25","4,460.00","4,473.00","4,415.00",1.38M,0.00%
2022년 03월 20일,"4,452.25","4,465.00","4,465.00","4,451.50",17.75K,0.97%
2022년 03월 18일,"4,409.35","4,393.00","4,402.75","4,373.75",33.54K,-0.02%
2022년 03월 17일,"4,410.25","4,370.50","4,415.25","4,329.00",434.64K,1.20%
2022년 03월 16일,"4,358.00","4,257.50","4,376.00","4,246.25",722.60K,2.25%
2022년 03월 15일,"4,262.00","4,180.25","4,271.50","4,138.00",1.09M,2.16%
2022년 03월 14일,"4,172.00","4,216.00","4,254.50","4,160.75",1.44M,-0.70%
2022년 03월 11일,"4,201.50","4,258.50","4,335.50","4,198.00",1.65M,-1.31%
2022년 03월 10일,"4,257.25","4,279.00","4,282.25","4,207.00",1.75M,-0.42%
2022년 03월 09일,"4,275.25","4,153.00","4,298.25","4,152.00",1.66M,2.55%
2022년 03월 08일,"4,168.75","4,186.50","4,275.00","4,138.75",2.33M,-0.71%
2022년 03월 07일,"4,198.50","4,308.75","4,325.25","4,185.25",1.90M,-2.98%
2022년 03월 04일,"4,327.25","4,366.50","4,374.50","4,281.25",1.84M,-0.73%
