날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,893.36,888.44,893.42,884.11,1.32B,0.78%
2022년 05월 30일,886.44,882.17,886.44,881.46,1.02B,1.43%
2022년 05월 27일,873.97,881.41,883.36,873.21,1.28B,0.29%
2022년 05월 26일,871.43,876.19,885.12,868.81,947.42M,-0.14%
2022년 05월 25일,872.69,869.19,877.71,861.92,989.30M,0.88%
2022년 05월 24일,865.07,881.55,883.11,865.05,1.10B,-2.10%
2022년 05월 23일,883.59,883.78,884.39,878.9,1.08B,0.42%
2022년 05월 20일,879.88,866.76,880.17,866.76,1.08B,1.86%
2022년 05월 19일,863.8,853.23,866.61,849.59,1.17B,-0.89%
2022년 05월 18일,871.57,872.19,876.82,868.28,1.06B,0.65%
2022년 05월 17일,865.98,857.28,866.21,856.3,913.81M,1.14%
2022년 05월 16일,856.25,862.24,866.47,855.45,1.01B,0.37%
2022년 05월 13일,853.08,839.52,853.34,839.52,1.01B,2.33%
2022년 05월 12일,833.66,855.46,857.75,833.24,1.07B,-3.77%
2022년 05월 11일,866.34,853.73,866.81,852.23,1.08B,1.19%
2022년 05월 10일,856.14,848.08,858.43,831.59,1.27B,-0.55%
2022년 05월 09일,860.84,880.34,880.78,859.73,1.12B,-2.64%
2022년 05월 06일,884.22,888.54,892.43,883.31,1.14B,-1.76%
2022년 05월 04일,900.06,911.16,911.97,899.34,1.36B,-0.83%
2022년 05월 03일,907.57,905.05,912.67,905.05,1.61M,0.64%
2022년 05월 02일,901.82,894.03,903.26,892.54,1.20M,-0.32%
2022년 04월 29일,904.75,895.64,904.76,894.62,1.46B,1.40%
2022년 04월 28일,892.22,900.43,902.02,889.3,1.52M,-0.44%
2022년 04월 27일,896.18,898.02,898.02,888.97,1.86B,-1.64%
2022년 04월 26일,911.16,906.59,913.29,906.59,1.63B,1.26%
2022년 04월 25일,899.84,909.53,911.53,899.83,1.43B,-2.49%
2022년 04월 22일,922.78,922.77,924.16,916.65,1.38B,-0.74%
2022년 04월 21일,929.68,930.45,934.26,929.54,1.40B,0.08%
2022년 04월 20일,928.93,933.29,933.37,927.29,1.26B,-0.28%
2022년 04월 19일,931.56,922.6,931.56,922.6,1.30B,1.45%
2022년 04월 18일,918.23,921.69,923.51,917.53,1.10B,-0.67%
2022년 04월 15일,924.44,921.53,925.13,916.91,1.30B,-0.38%
2022년 04월 14일,928.01,930.69,931.81,925.61,1.17B,0.08%
2022년 04월 13일,927.31,915.89,927.33,913.92,1.11B,1.48%
2022년 04월 12일,913.82,914.28,916.76,905.18,1.14B,-0.87%
2022년 04월 11일,921.83,932.48,934.61,920.75,943.67M,-1.38%
2022년 04월 08일,934.73,931.98,935.68,924.73,906.47M,0.73%
2022년 04월 07일,927.95,936.92,936.92,925.91,1.18B,-1.61%
2022년 04월 06일,943.13,944.27,947.41,939.82,1.41B,-0.98%
2022년 04월 05일,952.47,950.89,953.06,949.46,1.64B,0.54%
2022년 04월 04일,947.32,940.47,947.33,938.45,1.09B,0.72%
2022년 04월 01일,940.57,940.49,942.22,936.86,1.25B,-0.42%
2022년 03월 31일,944.53,936.66,944.92,936.2,1.42B,0.58%
2022년 03월 30일,939.07,942.08,943.3,936.91,1.51M,0.13%
2022년 03월 29일,937.83,932.86,937.83,930.34,1.46B,1.16%
2022년 03월 28일,927.11,934.18,934.18,926.55,1.37B,-0.81%
2022년 03월 25일,934.69,936.94,937.69,933.09,1.57B,0.32%
2022년 03월 24일,931.75,926.29,931.87,920.69,1.38B,0.13%
2022년 03월 23일,930.57,929.35,933.27,927.02,1.44B,0.64%
2022년 03월 22일,924.67,916.7,924.72,914.33,1.39B,0.68%
2022년 03월 21일,918.4,926.86,926.86,917.93,1.33B,-0.49%
2022년 03월 18일,922.96,915.29,922.99,912,1.20B,0.97%
2022년 03월 17일,914.13,903.75,916.22,903.75,1.46B,2.50%
2022년 03월 16일,891.8,881.89,891.8,879.68,1.35B,2.36%
2022년 03월 15일,871.22,870.33,874.73,866.47,1.19B,-0.14%
2022년 03월 14일,872.44,893.18,893.18,870.81,1.15B,-2.16%
2022년 03월 11일,891.71,888.57,894.99,887.28,1.13B,0.30%
2022년 03월 10일,889.08,885.05,892.55,884.98,987.43M,2.18%
2022년 03월 08일,870.14,869.05,881.3,864.69,981.99M,-1.29%
2022년 03월 07일,881.54,889.95,889.95,878.45,865.67M,-2.16%
2022년 03월 04일,900.96,908.47,909.24,896.84,1.00B,-1.25%
2022년 03월 03일,912.32,901.28,912.35,899.85,1.06B,1.88%
2022년 03월 02일,895.45,880.62,896.8,879.03,1.04B,1.63%
2022년 02월 28일,881.07,870.27,881.07,868.91,1.07B,0.93%
2022년 02월 25일,872.98,864.72,872.98,863.47,1.37B,2.92%
2022년 02월 24일,848.21,869.24,870.58,847.86,1.68B,-3.32%
2022년 02월 23일,877.33,873.32,879.98,870.25,1.08B,1.06%
2022년 02월 22일,868.11,869.08,878.33,865.23,1.10B,-1.83%
2022년 02월 21일,884.25,871.23,884.26,865.58,865.99M,0.29%
2022년 02월 18일,881.71,862.19,882.01,860.81,953.40M,0.86%
2022년 02월 17일,874.22,879.12,890.78,858.78,1.17B,-0.45%
2022년 02월 16일,878.15,857.54,878.15,857.54,876.75M,4.55%
2022년 02월 15일,839.92,855.62,860.4,837.83,1.04B,-1.51%
2022년 02월 14일,852.79,864.49,867.24,850.28,889.90M,-2.81%
2022년 02월 11일,877.42,885.31,889.42,877.28,1.03B,-2.04%
2022년 02월 10일,895.68,914.65,914.92,893.21,858.88M,-1.63%
2022년 02월 09일,910.53,904.07,910.53,900.86,890.47M,1.70%
2022년 02월 08일,895.27,900.7,907.24,887.54,1.18B,-0.46%
2022년 02월 07일,899.4,905.96,905.96,893.91,901.97M,-0.38%
2022년 02월 04일,902.87,888.51,902.87,886.93,1.05B,1.26%
2022년 02월 03일,891.6,887.85,898.37,887.02,1.08B,2.15%
2022년 01월 28일,872.87,852.57,872.87,835.55,1.03B,2.78%
2022년 01월 27일,849.23,884.23,885,847.34,1.17B,-3.73%
2022년 01월 26일,882.09,892.01,900.38,881.68,1.12B,-0.83%
2022년 01월 25일,889.44,920.95,923.07,883.17,1.29B,-2.84%
2022년 01월 24일,915.4,935.13,935.13,911.02,1.04B,-2.91%
2022년 01월 21일,942.85,950.67,958.38,937.48,1.13B,-1.65%
2022년 01월 20일,958.7,934,958.7,933.97,1.04B,2.66%
2022년 01월 19일,933.9,935.06,944.81,929.15,1.22B,-1.06%
2022년 01월 18일,943.94,959.98,969.17,942.11,1.07B,-1.46%
2022년 01월 17일,957.9,971.81,971.81,954.82,1.11B,-1.39%
2022년 01월 14일,971.39,971.11,977.69,967.19,1.37B,-1.21%
2022년 01월 13일,983.25,994.55,994.55,981.31,1.24B,-0.82%
2022년 01월 12일,991.33,978.69,991.71,978.69,1.16B,2.21%
2022년 01월 11일,969.92,982.44,985.13,962.91,1.28B,-1.07%
2022년 01월 10일,980.38,992.49,992.49,976.41,1.27B,-1.49%
2022년 01월 07일,995.16,986.18,997.02,986.18,1.47B,1.52%
2022년 01월 06일,980.3,993.6,"1,003.01",979.83,1.46B,-2.90%
2022년 01월 05일,"1,009.62","1,029.12","1,029.12","1,007.84",1.50B,-2.14%
2022년 01월 04일,"1,031.66","1,041.07","1,041.29","1,025.23",1.32B,-0.59%
2022년 01월 03일,"1,037.83","1,038.97","1,039.67","1,030.57",1.05B,0.37%
2021년 12월 30일,"1,033.98","1,029.74","1,034.87","1,021.59",907.42M,0.58%
2021년 12월 29일,"1,028.05","1,028.46","1,034.05","1,022.73",950.94M,0.06%
2021년 12월 28일,"1,027.44","1,016.29","1,027.45","1,014.39",1.29B,1.59%
2021년 12월 27일,"1,011.36","1,008.90","1,013.70","1,006.87",1.15B,0.39%
