"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","50,000","50,200","50,400","49,950","461.39K","-0.79%"
"2023- 04- 20","50,400","49,700","50,500","49,200","0.05K","1.92%"
"2023- 04- 19","49,450","48,600","49,650","48,600","0.14K","2.17%"
"2023- 04- 18","48,400","48,200","48,950","47,700","854.87K","0.00%"
"2023- 04- 17","48,400","49,000","49,050","48,000","856.52K","-0.51%"
"2023- 04- 16","48,650","48,650","48,650","48,650","","0.00%"
"2023- 04- 14","48,650","47,700","49,200","47,550","1.85M","3.07%"
"2023- 04- 13","47,200","46,650","47,300","46,450","1.16M","0.64%"
"2023- 04- 12","46,900","46,800","47,150","46,550","0.31K","-0.11%"
"2023- 04- 11","46,950","46,900","47,300","46,550","1.03M","0.86%"
"2023- 04- 10","46,550","46,550","47,200","46,450","845.71K","-0.96%"
"2023- 04- 09","47,000","47,000","47,000","47,000","","0.00%"
"2023- 04- 07","47,000","46,800","47,350","46,450","634.44K","0.75%"
"2023- 04- 06","46,650","47,800","47,850","46,600","1.50M","-2.51%"
"2023- 04- 05","47,850","47,850","48,300","47,750","832.59K","0.21%"
"2023- 04- 04","47,750","47,450","47,800","47,150","0.00K","0.95%"
"2023- 04- 03","47,300","47,750","47,750","47,100","783.36K","-0.73%"
"2023- 04- 02","47,650","47,650","47,650","47,650","","0.00%"
"2023- 03- 31","47,650","46,900","47,900","46,900","1.30M","0.95%"
"2023- 03- 30","47,200","47,700","47,900","47,050","0.11K","-1.77%"
"2023- 03- 29","48,050","47,850","48,200","47,600","0.03K","0.31%"
"2023- 03- 28","47,900","47,550","48,450","47,500","0.14K","2.57%"
"2023- 03- 27","46,700","46,650","47,000","46,350","1.46M","-0.74%"
"2023- 03- 26","47,050","47,050","47,050","47,050","","0.00%"
"2023- 03- 24","47,050","48,550","48,750","47,000","2.13M","-3.88%"
"2023- 03- 23","48,950","48,800","49,250","48,650","890.94K","-0.41%"
"2023- 03- 22","49,150","49,400","49,650","48,900","870.41K","1.44%"
"2023- 03- 21","48,450","48,500","48,850","48,150","918.14K","0.10%"
"2023- 03- 20","48,400","48,350","49,250","47,800","995.78K","-0.10%"
"2023- 03- 19","48,450","48,450","48,450","48,450","","0.00%"
"2023- 03- 17","48,450","48,600","49,800","48,150","1.76M","0.83%"
"2023- 03- 16","48,050","48,100","48,900","47,950","0.00K","-1.94%"
"2023- 03- 15","49,000","48,650","49,950","48,650","0.00K","1.24%"
