"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","109,900","111,600","111,600","107,900","118.50K","-1.70%"
"2023- 04- 20","111,800","110,000","113,200","108,900","299.33K","1.64%"
"2023- 04- 19","110,000","106,000","110,800","105,400","0.04K","4.36%"
"2023- 04- 18","105,400","104,700","105,700","103,300","126.73K","-0.28%"
"2023- 04- 17","105,700","104,900","106,000","103,900","171.14K","0.96%"
"2023- 04- 16","104,700","104,700","104,700","104,700","","0.00%"
"2023- 04- 14","104,700","101,400","106,000","100,700","388.66K","3.36%"
"2023- 04- 13","101,300","100,500","101,500","99,200","147.98K","0.90%"
"2023- 04- 12","100,400","98,400","101,500","98,300","215.45K","2.03%"
"2023- 04- 11","98,400","99,300","99,300","96,900","194.20K","-0.81%"
"2023- 04- 10","99,200","99,800","99,800","97,700","184.54K","-0.70%"
"2023- 04- 07","99,900","99,100","100,700","98,600","99.29K","0.81%"
"2023- 04- 06","99,100","100,900","100,900","99,100","141.00K","-1.88%"
"2023- 04- 05","101,000","101,700","102,300","100,600","0.01K","-0.39%"
"2023- 04- 04","101,400","100,900","101,800","99,700","0.01K","1.00%"
"2023- 04- 03","100,400","100,800","101,700","99,700","149.11K","0.40%"
"2023- 03- 31","100,000","99,900","100,700","99,300","155.80K","0.81%"
"2023- 03- 30","99,200","99,800","100,200","98,000","0.05K","-0.30%"
"2023- 03- 29","99,500","99,800","100,400","98,500","137.05K","-0.20%"
"2023- 03- 28","99,700","97,700","101,500","97,700","0.00K","2.68%"
"2023- 03- 27","97,100","97,000","98,000","95,200","177.68K","-0.31%"
"2023- 03- 24","97,400","97,600","98,200","96,700","146.37K","-1.02%"
"2023- 03- 23","98,400","98,100","99,200","96,700","125.21K","0.20%"
"2023- 03- 22","98,200","101,200","101,700","97,900","0.01K","-2.39%"
"2023- 03- 21","100,600","97,700","100,800","97,600","288.71K","4.47%"
"2023- 03- 20","96,300","96,000","98,700","95,900","152.05K","0.63%"
"2023- 03- 19","95,700","95,700","95,700","95,700","","0.00%"
"2023- 03- 17","95,700","95,500","97,900","94,700","259.21K","0.95%"
"2023- 03- 16","94,800","94,700","95,000","93,700","159.98K","-1.96%"
"2023- 03- 15","96,700","95,200","98,900","95,000","0.02K","3.09%"
"2023- 03- 14","93,800","97,400","98,000","93,800","203.51K","-4.67%"
"2023- 03- 13","98,400","94,500","98,500","91,500","0.30K","3.69%"
"2023- 03- 12","94,900","94,900","94,900","94,900","","0.00%"
"2023- 03- 10","94,900","95,200","95,800","94,200","244.42K","-1.66%"
"2023- 03- 09","96,500","97,900","98,900","96,500","0.01K","-0.92%"
"2023- 03- 08","97,400","99,400","99,500","96,700","423.06K","-2.79%"
"2023- 03- 07","100,200","102,400","103,000","100,100","354.93K","-1.86%"
"2023- 03- 06","102,100","104,800","105,300","101,300","402.11K","-2.02%"
"2023- 03- 05","104,200","104,200","104,200","104,200","","0.00%"
"2023- 03- 03","104,200","106,400","106,500","103,900","294.60K","-1.61%"
"2023- 03- 02","105,900","106,400","108,300","105,800","199.65K","-0.47%"
"2023- 03- 01","106,400","106,400","106,400","106,400","","0.00%"
"2023- 02- 28","106,400","110,100","110,300","105,700","284.38K","-2.30%"
"2023- 02- 27","108,900","110,800","110,800","107,800","106.64K","-1.80%"
"2023- 02- 26","110,900","110,900","110,900","110,900","","0.00%"
"2023- 02- 24","110,900","112,000","112,500","110,000","100.68K","-0.98%"
"2023- 02- 23","112,000","113,200","113,200","110,900","130.31K","-0.71%"
"2023- 02- 22","112,800","110,700","113,600","110,300","209.05K","0.53%"
"2023- 02- 21","112,200","108,800","112,500","108,000","285.82K","3.89%"
"2023- 02- 20","108,000","108,300","109,000","107,100","128.93K","0.65%"
"2023- 02- 19","107,300","107,300","107,300","107,300","","0.00%"
"2023- 02- 17","107,300","105,900","108,400","105,500","135.82K","0.66%"
"2023- 02- 16","106,600","106,900","107,300","105,900","159.35K","0.57%"
"2023- 02- 15","106,000","109,800","111,100","105,900","323.75K","-3.64%"
"2023- 02- 14","110,000","110,600","110,700","109,400","138.80K","0.18%"
"2023- 02- 13","109,800","108,600","112,000","108,400","168.93K","1.10%"
"2023- 02- 10","108,600","107,000","109,900","105,900","200.55K","1.50%"
"2023- 02- 09","107,000","107,900","108,700","107,000","137.52K","-0.74%"
"2023- 02- 08","107,800","109,100","109,500","107,500","157.99K","-0.74%"
"2023- 02- 07","108,600","111,000","111,100","108,000","161.36K","-1.81%"
"2023- 02- 06","110,600","112,600","112,600","110,300","152.87K","-1.43%"
"2023- 02- 05","112,200","112,200","112,200","112,200","","0.00%"
"2023- 02- 03","112,200","111,200","113,900","110,800","167.76K","0.90%"
"2023- 02- 02","111,200","113,500","113,500","110,800","116.62K","-0.09%"
"2023- 02- 01","111,300","111,800","112,000","110,100","109.56K","0.45%"
"2023- 01- 31","110,800","110,500","112,500","109,800","192.94K","0.73%"
"2023- 01- 30","110,000","113,300","113,600","110,000","155.89K","-2.91%"
"2023- 01- 29","113,300","113,300","113,300","113,300","","0.00%"
"2023- 01- 27","113,300","108,500","115,500","108,400","368.35K","4.81%"
"2023- 01- 26","108,100","108,200","108,500","107,500","136.87K","0.00%"
"2023- 01- 25","108,100","109,200","109,500","108,000","84.32K","-0.37%"
"2023- 01- 20","108,500","107,500","109,000","107,000","103.64K","0.93%"
"2023- 01- 19","107,500","107,000","108,500","106,500","0.06K","-0.92%"
"2023- 01- 18","108,500","110,500","111,000","107,500","0.00K","-1.36%"
"2023- 01- 17","110,000","109,500","111,500","109,500","156.72K","0.92%"
"2023- 01- 16","109,000","111,500","112,000","109,000","134.53K","-1.80%"
"2023- 01- 13","111,000","110,500","112,000","109,500","176.52K","1.37%"
"2023- 01- 12","109,500","108,500","110,500","108,000","170.36K","1.86%"
"2023- 01- 11","107,500","107,500","108,000","106,000","118.18K","0.94%"
"2023- 01- 10","106,500","108,000","109,500","106,000","155.17K","-1.84%"
"2023- 01- 09","108,500","106,000","109,500","104,000","0.02K","4.33%"
"2023- 01- 06","104,000","105,500","107,000","103,500","270.49K","-1.89%"
"2023- 01- 05","106,000","109,500","109,500","105,000","0.00K","-2.75%"
"2023- 01- 04","109,000","113,500","113,500","107,500","516.44K","-4.80%"
"2023- 01- 03","114,500","118,000","118,000","112,000","143.21K","-2.55%"
"2023- 01- 02","117,500","116,500","119,500","115,500","0.01K","1.29%"
"2022- 12- 29","116,000","120,000","120,000","115,500","116.23K","-3.73%"
"2022- 12- 28","120,500","120,500","123,500","120,500","94.59K","-0.41%"
"2022- 12- 27","121,000","120,500","121,000","118,000","106.46K","0.83%"
"2022- 12- 26","120,000","120,500","121,000","118,000","0.00K","-0.41%"
"2022- 12- 25","120,500","120,500","120,500","120,500","","0.00%"
"2022- 12- 23","120,500","119,500","121,500","119,500","98.31K","-1.23%"
"2022- 12- 22","122,000","121,500","123,500","121,000","154.83K","0.83%"
"2022- 12- 21","121,000","118,500","122,000","117,500","0.00K","2.98%"
"2022- 12- 20","117,500","120,000","120,000","116,500","74.82K","-1.26%"
"2022- 12- 19","119,000","118,500","120,000","117,500","64.55K","0.42%"
"2022- 12- 16","118,500","115,500","120,000","115,000","150.80K","2.16%"
"2022- 12- 15","116,000","118,000","121,000","116,000","0.02K","-2.11%"
"2022- 12- 14","118,500","119,500","120,000","117,500","0.01K","0.00%"
"2022- 12- 13","118,500","115,500","121,000","115,500","165.92K","3.04%"
"2022- 12- 12","115,000","115,500","116,000","114,500","49.90K","-0.86%"
"2022- 12- 11","116,000","116,000","116,000","116,000","","0.00%"
"2022- 12- 09","116,000","118,000","118,500","115,000","143.23K","-1.28%"
"2022- 12- 08","117,500","118,500","119,500","115,500","119.41K","-0.84%"
"2022- 12- 07","118,500","118,500","121,000","118,000","141.47K","-0.42%"
