"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","21,550","21,700","21,750","21,050","1.14M","-1.37%"
"2023- 04- 20","21,850","21,600","22,150","21,500","0.09K","0.92%"
"2023- 04- 19","21,650","21,650","21,800","21,450","1.49M","0.23%"
"2023- 04- 18","21,600","21,350","21,700","21,150","2.32M","1.17%"
"2023- 04- 17","21,350","20,700","21,350","20,500","0.03K","3.64%"
"2023- 04- 16","20,600","20,600","20,600","20,600","","0.00%"
"2023- 04- 14","20,600","20,550","20,800","20,400","1.26M","0.00%"
"2023- 04- 13","20,600","20,250","21,450","20,250","0.11K","1.48%"
"2023- 04- 12","20,300","20,200","20,450","20,050","1.89K","1.25%"
"2023- 04- 11","20,050","19,960","20,200","19,910","1.25M","1.42%"
"2023- 04- 10","19,770","19,710","20,150","19,500","1.24M","0.30%"
"2023- 04- 07","19,710","19,610","19,860","19,510","1.09M","0.92%"
"2023- 04- 06","19,530","20,150","20,200","19,530","1.75M","-2.84%"
"2023- 04- 05","20,100","20,150","20,350","20,050","0.64K","0.00%"
"2023- 04- 04","20,100","20,050","20,100","19,980","0.19K","0.50%"
"2023- 04- 03","20,000","20,400","20,400","19,960","1.32M","-1.72%"
"2023- 04- 02","20,350","20,350","20,350","20,350","","0.00%"
"2023- 03- 31","20,350","20,050","20,650","19,940","1.67M","1.75%"
"2023- 03- 30","20,000","19,990","20,150","19,760","0.20K","0.45%"
"2023- 03- 29","19,910","20,100","20,200","19,860","0.31K","-0.70%"
"2023- 03- 28","20,050","19,800","20,100","19,800","0.29K","1.57%"
"2023- 03- 27","19,740","20,200","20,200","19,700","0.11K","-2.28%"
"2023- 03- 26","20,200","20,200","20,200","20,200","","0.00%"
"2023- 03- 24","20,200","20,150","20,200","19,990","991.91K","0.25%"
"2023- 03- 23","20,150","20,300","20,400","20,050","992.69K","-0.74%"
"2023- 03- 22","20,300","20,550","20,550","20,300","5.93K","-0.49%"
"2023- 03- 21","20,400","20,250","20,650","20,250","0.02K","1.49%"
"2023- 03- 20","20,100","20,400","20,550","20,100","759.80K","-1.47%"
"2023- 03- 17","20,400","20,350","20,400","19,950","1.68M","0.49%"
"2023- 03- 16","20,300","19,990","20,450","19,920","0.01K","0.74%"
"2023- 03- 15","20,150","20,200","20,500","20,050","0.76K","1.00%"
"2023- 03- 14","19,950","20,100","20,350","19,940","1.49M","-1.97%"
"2023- 03- 13","20,350","20,600","20,700","20,200","0.52K","-1.45%"
"2023- 03- 12","20,650","20,650","20,650","20,650","","0.00%"
"2023- 03- 10","20,650","20,250","20,650","20,150","1.10M","0.24%"
"2023- 03- 09","20,600","21,250","21,250","20,600","0.14K","-2.37%"
"2023- 03- 08","21,100","21,300","21,300","20,800","1.86M","-1.86%"
"2023- 03- 07","21,500","22,100","22,100","21,450","1.88M","-2.49%"
"2023- 03- 06","22,050","22,200","22,400","21,650","1.73M","-1.78%"
"2023- 03- 05","22,450","22,450","22,450","22,450","","0.00%"
"2023- 03- 03","22,450","22,800","22,850","22,200","1.50M","0.00%"
"2023- 03- 02","22,450","22,550","22,950","22,300","1.43M","-0.44%"
"2023- 03- 01","22,550","22,550","22,550","22,550","","0.00%"
"2023- 02- 28","22,550","22,700","23,150","22,500","1.99M","-0.44%"
"2023- 02- 27","22,650","23,050","23,050","22,450","1.52M","-1.74%"
"2023- 02- 26","23,050","23,050","23,050","23,050","","0.00%"
"2023- 02- 24","23,050","22,900","23,400","22,850","2.31M","1.10%"
"2023- 02- 23","22,800","22,700","23,450","22,400","5.73M","3.87%"
"2023- 02- 22","21,950","21,600","22,100","21,600","1.30M","-0.23%"
"2023- 02- 21","22,000","21,700","22,100","21,700","1.16M","1.38%"
"2023- 02- 20","21,700","21,900","22,050","21,450","1.35M","-2.03%"
"2023- 02- 19","22,150","22,150","22,150","22,150","","0.00%"
"2023- 02- 17","22,150","21,950","22,450","21,800","920.47K","-0.23%"
"2023- 02- 16","22,200","22,050","22,200","21,800","0.91K","0.91%"
"2023- 02- 15","22,000","22,250","22,450","21,950","1.59M","-0.68%"
"2023- 02- 14","22,150","21,800","22,400","21,800","1.04K","3.50%"
"2023- 02- 13","21,400","21,800","21,800","21,050","1.64M","-2.51%"
"2023- 02- 12","21,950","21,950","21,950","21,950","","0.00%"
"2023- 02- 10","21,950","21,750","22,150","21,400","1.19M","1.15%"
"2023- 02- 09","21,700","21,850","22,000","21,700","1.12M","-1.59%"
"2023- 02- 08","22,050","22,100","22,200","21,950","833.14K","0.46%"
"2023- 02- 07","21,950","21,750","22,050","21,650","1.13M","0.46%"
"2023- 02- 06","21,850","22,600","22,600","21,850","1.35M","-3.32%"
"2023- 02- 05","22,600","22,600","22,600","22,600","","0.00%"
"2023- 02- 03","22,600","22,700","22,700","22,050","1.46M","0.89%"
"2023- 02- 02","22,400","22,850","22,950","22,300","1.67M","-0.44%"
"2023- 02- 01","22,500","21,900","22,650","21,750","2.21M","3.45%"
"2023- 01- 31","21,750","22,100","22,350","21,750","0.10K","-1.58%"
"2023- 01- 30","22,100","23,050","23,200","22,050","3.29M","-5.15%"
"2023- 01- 29","23,300","23,300","23,300","23,300","","0.00%"
"2023- 01- 27","23,300","22,300","24,250","22,200","11.95M","6.88%"
"2023- 01- 26","21,800","21,950","21,950","21,450","1.53M","-1.58%"
"2023- 01- 25","22,150","21,450","22,200","21,450","0.87K","3.75%"
"2023- 01- 24","21,350","21,350","21,350","21,350","","0.00%"
"2023- 01- 20","21,350","21,350","21,500","20,950","1.05M","0.00%"
"2023- 01- 19","21,350","21,150","21,550","21,150","635.77K","-0.70%"
"2023- 01- 18","21,500","21,550","21,550","21,050","0.03K","-0.23%"
"2023- 01- 17","21,550","21,400","21,700","21,200","991.59K","0.70%"
"2023- 01- 16","21,400","21,350","21,650","21,050","0.10K","0.23%"
"2023- 01- 15","21,350","21,350","21,350","21,350","","0.00%"
"2023- 01- 13","21,350","20,100","21,450","20,100","3.04M","7.02%"
"2023- 01- 12","19,950","20,450","20,450","19,950","1.15M","-1.97%"
"2023- 01- 11","20,350","20,250","20,400","20,150","1.03M","1.50%"
"2023- 01- 10","20,050","19,950","20,400","19,900","0.00K","0.50%"
"2023- 01- 09","19,950","20,200","20,200","19,800","0.21K","0.25%"
"2023- 01- 08","19,900","19,900","19,900","19,900","","0.00%"
"2023- 01- 06","19,900","19,350","20,000","19,200","1.29M","1.79%"
"2023- 01- 05","19,550","19,600","20,000","19,300","0.02K","1.56%"
"2023- 01- 04","19,250","19,000","19,450","18,950","1.27M","1.05%"
"2023- 01- 03","19,050","19,300","19,500","18,700","0.21K","-1.55%"
"2023- 01- 02","19,350","19,350","20,100","19,300","1.19M","-1.02%"
"2022- 12- 29","19,550","19,900","20,000","19,500","1.70M","-2.74%"
"2022- 12- 28","20,100","20,900","20,900","19,750","0.02K","-8.01%"
"2022- 12- 27","21,850","21,900","22,300","21,800","1.05K","0.46%"
"2022- 12- 26","21,750","21,850","21,950","21,350","0.01K","0.23%"
"2022- 12- 25","21,700","21,700","21,700","21,700","","0.00%"
"2022- 12- 23","21,700","22,100","22,350","21,650","1.66M","-3.34%"
"2022- 12- 22","22,450","21,750","22,450","21,750","1.07K","4.42%"
"2022- 12- 21","21,500","21,900","21,900","21,250","0.00K","-0.69%"
"2022- 12- 20","21,650","22,550","22,650","21,500","1.82M","-3.99%"
"2022- 12- 19","22,550","21,850","23,000","21,800","4.30M","3.44%"
"2022- 12- 18","21,800","21,800","21,800","21,800","","0.00%"
"2022- 12- 16","21,800","21,100","21,800","21,050","1.17M","1.40%"
"2022- 12- 15","21,500","21,900","22,100","21,500","0.11K","-1.83%"
"2022- 12- 14","21,900","22,200","22,300","21,800","0.44K","-0.23%"
"2022- 12- 13","21,950","21,800","22,050","21,600","0.00K","1.15%"
"2022- 12- 12","21,700","21,800","22,050","21,600","0.01K","-1.59%"
"2022- 12- 11","22,050","22,050","22,050","22,050","","0.00%"
"2022- 12- 09","22,050","20,850","22,250","20,850","2.29M","5.76%"
"2022- 12- 08","20,850","21,000","21,200","20,550","0.00K","0.00%"
"2022- 12- 07","20,850","21,150","21,250","20,800","0.03K","-1.18%"
"2022- 12- 06","21,100","21,750","21,800","21,000","0.35K","-3.21%"
"2022- 12- 05","21,800","21,250","22,100","21,100","1.12K","1.87%"
"2022- 12- 04","21,400","21,400","21,400","21,400","","0.00%"
"2022- 12- 02","21,400","21,700","21,950","21,350","1.06M","-1.38%"
"2022- 12- 01","21,700","22,500","22,650","21,600","0.04K","-2.69%"
