"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 21","65,800","65,600","66,100","65,100","85.71K","0.00%"
"2023- 04- 20","65,800","65,000","65,800","64,800","147.02K","0.92%"
"2023- 04- 19","65,200","64,400","65,200","64,300","0.00K","0.93%"
"2023- 04- 18","64,600","64,100","65,000","64,000","158.09K","-0.15%"
"2023- 04- 17","64,700","64,300","64,900","64,200","128.32K","0.00%"
"2023- 04- 14","64,700","64,200","65,200","64,100","197.70K","0.94%"
"2023- 04- 13","64,100","63,300","64,100","63,300","0.00K","0.31%"
"2023- 04- 12","63,900","62,200","63,900","62,200","0.05K","2.40%"
"2023- 04- 11","62,400","61,600","62,800","61,600","176.40K","1.46%"
"2023- 04- 10","61,500","61,400","62,200","61,300","160.66K","-0.16%"
"2023- 04- 07","61,600","61,700","62,000","61,200","110.92K","0.00%"
"2023- 04- 06","61,600","62,600","62,700","61,600","166.37K","-1.44%"
"2023- 04- 05","62,500","62,900","63,400","62,400","114.25K","-0.48%"
"2023- 04- 04","62,800","62,500","62,800","62,100","0.00K","0.64%"
"2023- 04- 03","62,400","62,400","63,000","62,100","170.50K","-0.64%"
"2023- 03- 31","62,800","62,300","63,300","62,200","251.39K","0.32%"
"2023- 03- 30","62,600","63,000","63,300","62,200","258.45K","-1.26%"
"2023- 03- 29","63,400","63,100","63,700","62,600","219.13K","0.96%"
"2023- 03- 28","62,800","62,600","63,000","62,300","135.12K","0.64%"
"2023- 03- 27","62,400","62,700","62,800","61,600","245.51K","-0.32%"
"2023- 03- 24","62,600","63,500","63,600","62,200","317.33K","-2.19%"
"2023- 03- 23","64,000","64,300","65,300","63,500","252.89K","-1.69%"
"2023- 03- 22","65,100","64,700","65,800","64,300","229.64K","1.56%"
"2023- 03- 21","64,100","63,200","64,700","63,200","159.01K","0.79%"
"2023- 03- 20","63,600","64,400","64,500","63,200","135.09K","-0.78%"
"2023- 03- 19","64,100","64,100","64,100","64,100","","0.00%"
"2023- 03- 17","64,100","64,000","64,700","63,500","280.23K","0.47%"
"2023- 03- 16","63,800","65,000","65,300","63,500","267.49K","-3.33%"
"2023- 03- 15","66,000","65,900","66,400","65,600","0.00K","0.00%"
"2023- 03- 14","66,000","66,200","66,200","64,600","315.81K","-1.35%"
"2023- 03- 13","66,900","67,000","67,100","65,700","175.77K","0.45%"
"2023- 03- 10","66,600","66,600","67,300","66,200","251.75K","0.00%"
"2023- 03- 09","66,600","66,500","67,400","66,000","280.45K","0.30%"
"2023- 03- 08","66,400","66,600","67,200","65,900","201.44K","-1.34%"
"2023- 03- 07","67,300","67,000","67,800","66,800","159.39K","0.00%"
"2023- 03- 06","67,300","67,200","67,400","66,400","196.05K","0.60%"
"2023- 03- 03","66,900","67,000","67,700","66,600","205.69K","-0.74%"
"2023- 03- 02","67,400","67,500","68,200","66,800","282.73K","-1.03%"
"2023- 02- 28","68,100","67,200","68,200","67,200","247.91K","1.19%"
"2023- 02- 27","67,300","67,300","68,600","66,800","188.62K","-0.74%"
"2023- 02- 26","67,800","67,800","67,800","67,800","","0.00%"
"2023- 02- 24","67,800","67,100","68,200","67,100","184.46K","0.30%"
"2023- 02- 23","67,600","67,400","68,100","67,100","218.65K","0.45%"
"2023- 02- 22","67,300","67,100","67,600","66,600","219.77K","0.15%"
"2023- 02- 21","67,200","66,800","67,200","66,500","142.68K","0.15%"
"2023- 02- 20","67,100","66,800","67,400","66,400","128.47K","0.15%"
"2023- 02- 17","67,000","66,600","67,700","66,300","126.43K","-0.30%"
"2023- 02- 16","67,200","66,900","67,600","66,500","201.39K","0.60%"
"2023- 02- 15","66,800","66,900","67,400","65,700","213.18K","-0.45%"
"2023- 02- 14","67,100","67,600","67,700","66,700","141.67K","0.00%"
"2023- 02- 13","67,100","67,400","67,700","66,600","180.06K","-0.89%"
"2023- 02- 12","67,700","67,700","67,700","67,700","","0.00%"
"2023- 02- 10","67,700","67,000","67,700","66,800","192.71K","1.20%"
"2023- 02- 09","66,900","67,100","67,600","66,800","233.24K","-1.04%"
"2023- 02- 08","67,600","66,600","67,600","66,600","249.12K","1.50%"
"2023- 02- 07","66,600","66,500","66,900","66,400","216.32K","-0.45%"
"2023- 02- 06","66,900","66,900","67,500","66,700","294.66K","-0.45%"
"2023- 02- 05","67,200","67,200","67,200","67,200","","0.00%"
"2023- 02- 03","67,200","67,900","68,000","66,700","613.88K","-1.47%"
"2023- 02- 02","68,200","71,300","71,500","68,200","784.95K","-4.48%"
"2023- 02- 01","71,400","70,900","72,300","70,900","300.21K","0.71%"
"2023- 01- 31","70,900","71,500","71,900","70,300","285.78K","0.00%"
"2023- 01- 30","70,900","72,100","72,500","70,800","265.91K","-2.34%"
"2023- 01- 27","72,600","70,900","73,000","70,800","274.97K","1.82%"
"2023- 01- 26","71,300","71,000","72,300","70,800","276.55K","0.00%"
"2023- 01- 25","71,300","70,500","71,700","70,500","134.41K","0.28%"
"2023- 01- 20","71,100","71,500","72,400","70,800","137.88K","-1.25%"
"2023- 01- 19","72,000","71,100","72,500","71,000","165.74K","0.42%"
"2023- 01- 18","71,700","71,100","72,000","70,500","180.29K","0.99%"
"2023- 01- 17","71,000","71,200","71,700","70,100","208.37K","-0.70%"
"2023- 01- 16","71,500","71,900","72,300","71,200","0.00K","-0.42%"
"2023- 01- 13","71,800","71,300","72,000","70,900","263.22K","1.56%"
"2023- 01- 12","70,700","70,800","72,300","70,600","222.32K","-0.42%"
"2023- 01- 11","71,000","71,300","71,400","70,400","190.36K","-0.14%"
"2023- 01- 10","71,100","71,600","72,100","70,500","339.59K","-0.70%"
"2023- 01- 09","71,600","72,500","72,800","70,500","0.00K","-1.10%"
"2023- 01- 06","72,400","70,200","72,800","70,200","223.69K","1.97%"
"2023- 01- 05","71,000","69,700","71,500","69,600","231.35K","0.14%"
"2023- 01- 04","70,900","69,900","71,000","68,900","211.28K","2.16%"
"2023- 01- 03","69,400","71,000","71,000","68,400","0.00K","-1.42%"
"2023- 01- 02","70,400","71,500","71,700","70,000","134.88K","-0.85%"
"2022- 12- 29","71,000","71,100","71,900","70,600","211.06K","-1.39%"
"2022- 12- 28","72,000","70,400","72,500","69,600","310.71K","-0.28%"
"2022- 12- 27","72,200","73,800","73,800","71,800","321.76K","-1.50%"
"2022- 12- 26","73,300","74,000","74,100","72,900","150.49K","-1.21%"
"2022- 12- 23","74,200","74,200","74,700","74,100","146.45K","-0.67%"
"2022- 12- 22","74,700","73,700","74,700","73,400","229.25K","0.81%"
"2022- 12- 21","74,100","73,800","74,600","73,300","231.23K","1.23%"
"2022- 12- 20","73,200","73,500","73,700","72,800","147.28K","-0.81%"
